RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1,2015-08-24 06:51:56.0000000,1531,Info,Microsoft-Windows-User Profiles Service,Application,0,0,WIN-L0ZZQ76PMUF,0,S-1-5-18,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""@Name"":""EVENT_SERVICE_STARTED""}}"
2,2,2015-08-24 06:51:56.0000000,900,Info,Microsoft-Windows-Security-Licensing-SLC,Application,0,0,26L2233B1-02,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
3,3,2015-08-24 06:51:56.0000000,4625,Info,Microsoft-Windows-EventSystem,Application,0,0,26L2233B1-02,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""86400""},{""@Name"":""param2"",""#text"":""SuppressDuplicateDuration""},{""@Name"":""param3"",""#text"":""Software\\Microsoft\\EventSystem\\EventLog""}]}}"
4,4,2015-08-24 06:51:59.0000000,5615,LogAlways,Microsoft-Windows-WMI,Application,0,0,26L2233B1-02,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
5,5,2015-08-24 06:52:01.0000000,5617,LogAlways,Microsoft-Windows-WMI,Application,0,0,26L2233B1-02,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
6,6,2015-08-24 06:52:17.0000000,1025,Info,Microsoft-Windows-Security-Licensing-SLC,Application,0,0,26L2233B1-02,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""60, 3"",""Binary"":""""}}"
7,7,2015-08-24 06:52:17.0000000,1033,Info,Microsoft-Windows-Security-Licensing-SLC,Application,0,0,26L2233B1-02,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""(IIS-W3SVC-MaxConcurrentRequests) (Microsoft-Windows-AuxiliaryDisplay-EnableAPI) (Microsoft-Windows-AuxiliaryDisplay-EnableCPL) (Microsoft-Windows-AuxiliaryDisplay-EnableCPL_w) (Microsoft-Windows-AuxiliaryDisplay-EnableDriver) (Microsoft-Windows-AuxiliaryDisplay-EnableDriver_w) (Microsoft-Windows-AuxiliaryDisplay-EnableSDP) (Microsoft-Windows-AuxiliaryDisplay-EnableSDP_w) (Microsoft-Windows-CertificateServices-CA-AdvancedTemplateSupport) (Microsoft-Windows-CertificateServices-CA-AdvancedTemplateSupport_w) (Microsoft-Windows-CertificateServices-CA-CertificateManagerRestrictionSupport) (Microsoft-Windows-CertificateServices-CA-CertificateManagerRestrictionSupport_w) (Microsoft-Windows-CertificateServices-CA-ExitModuleSMTPSupport) (Microsoft-Windows-CertificateServices-CA-ExitModuleSMTPSupport_w) (Microsoft-Windows-CertificateServices-CA-RoleSeparationSupport) (Microsoft-Windows-CertificateServices-CA-RoleSeparationSupport_w) (Microsoft-Windows-Fax-Common-DeviceLimit) (Microsoft-Windows-Fax-Common-EnableServerPolicy) (PeerToPeerBase-IdManager-EnabledPolicy) (PeerToPeerBase-IdManager-EnabledPolicy_w) (PeerToPeerBase-Pnrp-EnabledPolicy) (PeerToPeerBase-Pnrp-EnabledPolicy_w) (Printing-Spooler-Pmc-Licensing-Enabled) (Printing-Spooler-Pmc-Licensing-Enabled_w) (SecureStartupFeature-Enabled) (SecureStartupFeature-Enabled-Driver) (SecureStartupFeature-Enabled_w) (SecureStartupFeature-PerfWarning) (TSProxy-EdgeAdapter-MaxConnections) (Telnet-Client-EnableTelnetClient) (Telnet-Client-EnableTelnetClient_w) (Telnet-Server-EnableTelnetServer) (Telnet-Server-EnableTelnetServer_w) (WindowsSearchEngine-Licensing-SearchEnabled) (WindowsSearchEngine-Licensing-SearchEnabled_w) (nfs-admincmdtools-enabled) (nfs-adminmmc-enabled) (nfs-clientcmdtools-enabled) (nfs-clientcore-enabled) (nfs-servercmdtools-enabled) (nfs-servercore-enabled) (psync-Enabled) (snis-Enabled) (snis-Enabled_w) (sua-EnableSUA) , 55c92734-d682-4d71-983e-d6ec3f16059f, 603504f9-109f-49f0-9271-8c66f7878f58"",""Binary"":""""}}"
8,8,2015-08-24 06:52:17.0000000,1003,Info,Microsoft-Windows-Security-Licensing-SLC,Application,0,0,26L2233B1-02,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""55c92734-d682-4d71-983e-d6ec3f16059f, \n{1,[15a581b4-f839-4d26-943c-b7e72f219849, 8, 0xC004F014,0x0]}\n\n{1,[56df4151-1f9f-41bf-acaa-2941c071872b, 8, 0xC004F014,0x0]}\n\n{1,[603504f9-109f-49f0-9271-8c66f7878f58, 0, 0x0,0x0],[0x1,0xC004F034,0x0,0,0,0x0],[0x10,0xC004F030,0x0,0,0,0x0],[0x0,0x0,0x0,0,0,0x15180],[60,3,0x15180]}\n\n{1,[7acd9eb8-e300-444c-b38a-47cdbe065508, 8, 0xC004F014,0x0]}\n\n{1,[ad2542d4-9154-4c6d-8a44-30f11ee96989, 8, 0xC004F014,0x0]}\n\n{1,[bb1d27c4-959d-4f82-b0fd-c02a7be54732, 8, 0xC004F014,0x0]}\n\n{1,[c90d1b4e-8aa8-439e-8b9e-b6d6b6a6d975, 8, 0xC004F014,0x0]}\n"",""Binary"":""""}}"
9,9,2015-08-24 06:52:17.0000000,1005,Info,Microsoft-Windows-Security-Licensing-SLC,Application,0,0,26L2233B1-02,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""hr=0x0"",""Binary"":""""}}"
10,10,2015-08-24 06:52:18.0000000,902,LogAlways,Microsoft-Windows-Security-Licensing-SLC,Application,0,0,26L2233B1-02,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
11,11,2015-08-24 06:52:54.0000000,901,Info,Microsoft-Windows-Security-Licensing-SLC,Application,0,0,26L2233B1-02,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
12,12,2015-08-24 06:52:54.0000000,903,LogAlways,Microsoft-Windows-Security-Licensing-SLC,Application,0,0,26L2233B1-02,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
13,13,2015-08-24 06:52:54.0000000,1532,Info,Microsoft-Windows-User Profiles Service,Application,0,0,26L2233B1-02,0,S-1-5-18,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""@Name"":""EVENT_SERVICE_STOPPED""}}"
14,14,2015-08-24 06:54:08.0000000,1531,Info,Microsoft-Windows-User Profiles Service,Application,0,0,WIN-L0ZZQ76PMUF,0,S-1-5-18,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""@Name"":""EVENT_SERVICE_STARTED""}}"
15,15,2015-08-24 06:54:09.0000000,4625,Info,Microsoft-Windows-EventSystem,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""86400""},{""@Name"":""param2"",""#text"":""SuppressDuplicateDuration""},{""@Name"":""param3"",""#text"":""Software\\Microsoft\\EventSystem\\EventLog""}]}}"
16,16,2015-08-24 06:54:19.0000000,5615,LogAlways,Microsoft-Windows-WMI,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
17,17,2015-08-24 06:54:21.0000000,5617,LogAlways,Microsoft-Windows-WMI,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
18,18,2015-08-24 06:55:20.1875000,1,Info,Microsoft-Windows-CertificateServicesClient,Application,1896,1212,WIN-L0ZZQ76PMUF,0,S-1-5-18,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,Classic,0,"{""EventData"":""""}"
19,19,2015-08-24 06:56:24.0000000,4202,Info,Microsoft-Windows-MSDTC 2,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""0""},{""@Name"":""param2"",""#text"":""0""},{""@Name"":""param3"",""#text"":""0""},{""@Name"":""param4"",""#text"":""0""},{""@Name"":""param5"",""#text"":""0""},{""@Name"":""param6"",""#text"":""0""},{""@Name"":""param7"",""#text"":""1""},{""@Name"":""param8"",""#text"":""Mutual Authentication Required""},{""@Name"":""param9"",""#text"":""NT AUTHORITY\\NetworkService""},{""@Name"":""param10"",""#text"":""0""},{""@Name"":""param11"",""#text"":""0""}]}}"
20,20,2015-08-24 06:57:40.0000000,4101,Info,Microsoft-Windows-Winlogon,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""0x00000000, 0x00000001"",""Binary"":""""}}"
21,21,2015-08-24 06:57:41.0000000,6000,Info,Microsoft-Windows-Winlogon,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""SessionEnv"",""Binary"":""D9-06-00-00""}}"
22,22,2015-08-24 06:57:41.0000000,9003,Info,Desktop Window Manager,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
23,23,2015-08-24 06:57:41.2031250,1,Info,Microsoft-Windows-CertificateServicesClient,Application,744,1936,WIN-L0ZZQ76PMUF,0,S-1-5-21-3848053756-3249532031-1848221756-500,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,Classic,0,"{""EventData"":""""}"
24,24,2015-08-24 06:58:20.0000000,63,Warning,Microsoft-Windows-WMI,Application,0,0,WIN-L0ZZQ76PMUF,0,S-1-5-18,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""WmiPerfClass, root\\cimv2"",""Binary"":""""}}"
25,25,2015-08-24 06:59:23.0000000,1000,Info,Microsoft-Windows-LoadPerf,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""UserData"":{""EventXML"":{""param1"":""WmiApRpl"",""param2"":""WmiApRpl"",""binaryDataSize"":""16"",""binaryData"":""EC-0E-00-00-92-0F-00-00-ED-0E-00-00-93-0F-00-00""}}}"
26,26,2015-08-24 07:02:09.0000000,1531,Info,Microsoft-Windows-User Profiles Service,Application,0,0,WIN-L0ZZQ76PMUF,0,S-1-5-18,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""@Name"":""EVENT_SERVICE_STARTED""}}"
27,27,2015-08-24 07:02:10.0000000,900,Info,Microsoft-Windows-Security-Licensing-SLC,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
28,28,2015-08-24 07:02:10.0000000,4625,Info,Microsoft-Windows-EventSystem,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""86400""},{""@Name"":""param2"",""#text"":""SuppressDuplicateDuration""},{""@Name"":""param3"",""#text"":""Software\\Microsoft\\EventSystem\\EventLog""}]}}"
29,29,2015-08-24 07:02:18.0000000,1033,Info,Microsoft-Windows-Security-Licensing-SLC,Application,0,0,WIN-L0ZZQ76PMUF,0,,,,,,,,,,,,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\winevt\logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""(IIS-W3SVC-MaxConcurrentRequests) (Microsoft-Windows-AuxiliaryDisplay-EnableAPI) (Microsoft-Windows-AuxiliaryDisplay-EnableCPL) (Microsoft-Windows-AuxiliaryDisplay-EnableCPL_w) (Microsoft-Windows-AuxiliaryDisplay-EnableDriver) (Microsoft-Windows-AuxiliaryDisplay-EnableDriver_w) (Microsoft-Windows-AuxiliaryDisplay-EnableSDP) (Microsoft-Windows-AuxiliaryDisplay-EnableSDP_w) (Microsoft-Windows-CertificateServices-CA-AdvancedTemplateSupport) (Microsoft-Windows-CertificateServices-CA-AdvancedTemplateSupport_w) (Microsoft-Windows-CertificateServices-CA-CertificateManagerRestrictionSupport) (Microsoft-Windows-CertificateServices-CA-CertificateManagerRestrictionSupport_w) (Microsoft-Windows-CertificateServices-CA-ExitModuleSMTPSupport) (Microsoft-Windows-CertificateServices-CA-ExitModuleSMTPSupport_w) (Microsoft-Windows-CertificateServices-CA-RoleSeparationSupport) (Microsoft-Windows-CertificateServices-CA-RoleSeparationSupport_w) (Microsoft-Windows-Fax-Common-DeviceLimit) (Microsoft-Windows-Fax-Common-EnableServerPolicy) (PeerToPeerBase-IdManager-EnabledPolicy) (PeerToPeerBase-IdManager-EnabledPolicy_w) (PeerToPeerBase-Pnrp-EnabledPolicy) (PeerToPeerBase-Pnrp-EnabledPolicy_w) (Printing-Spooler-Pmc-Licensing-Enabled) (Printing-Spooler-Pmc-Licensing-Enabled_w) (SecureStartupFeature-Enabled) (SecureStartupFeature-Enabled-Driver) (SecureStartupFeature-Enabled_w) (SecureStartupFeature-PerfWarning) (TSProxy-EdgeAdapter-MaxConnections) (Telnet-Client-EnableTelnetClient) (Telnet-Client-EnableTelnetClient_w) (Telnet-Server-EnableTelnetServer) (Telnet-Server-EnableTelnetServer_w) (WindowsSearchEngine-Licensing-SearchEnabled) (WindowsSearchEngine-Licensing-SearchEnabled_w) (nfs-admincmdtools-enabled) (nfs-adminmmc-enabled) (nfs-clientcmdtools-enabled) (nfs-clientcore-enabled) (nfs-servercmdtools-enabled) (nfs-servercore-enabled) (psync-Enabled) (snis-Enabled) (snis-Enabled_w) (sua-EnableSUA) , 55c92734-d682-4d71-983e-d6ec3f16059f, 603504f9-109f-49f0-9271-8c66f7878f58"",""Binary"":""""}}"
