BagPath,Slot,NodeSlot,MRUPosition,AbsolutePath,ShellType,Value,ChildBags,CreatedOn,ModifiedOn,AccessedOn,LastWriteTime,MFTEntry,MFTSequenceNumber,ExtensionBlockCount,FirstInteracted,LastInteracted,HasExplored,Miscellaneous
BagMRU,0,0,3,Desktop\Control Panel,Root folder: GUID,Control Panel,4,,,,2015-09-12 18:19:41,,,0,,,False,
BagMRU,1,0,0,Desktop\My Computer,Root folder: GUID,My Computer,2,,,,2015-09-12 18:19:41,,,0,,2015-09-12 18:19:41,False,
BagMRU,2,0,1,Desktop\Computers and Devices,Root folder: GUID,Computers and Devices,1,,,,2015-09-12 18:19:41,,,0,,,False,
BagMRU,3,0,2,Desktop\Shared Documents Folder (Users Files),Root folder: GUID,Shared Documents Folder (Users Files),1,,,,2015-09-12 18:19:41,,,0,,,False,
BagMRU\0,0,2,3,Desktop\Control Panel\User Accounts,GUID: Control panel,User Accounts,1,,,,2015-09-02 09:27:18,,,0,,,True,
BagMRU\0,1,5,0,Desktop\Control Panel\System,GUID: Control panel,System,0,,,,2015-09-02 09:27:18,,,0,2015-08-24 07:11:59,2015-09-02 09:27:18,True,
BagMRU\0,2,17,1,Desktop\Control Panel\Network Connections,GUID: Control panel,Network Connections,0,,,,2015-09-02 09:27:18,,,0,2015-08-23 10:33:04,,True,
BagMRU\0,3,18,2,Desktop\Control Panel\Network and Sharing Center,GUID: Control panel,Network and Sharing Center,0,,,,2015-09-02 09:27:18,,,0,2015-08-23 10:33:06,,True,
BagMRU\0\0,0,3,0,Desktop\Control Panel\User Accounts\Change Your Password,Variable: Users property view,Change Your Password,0,,,,2015-08-24 06:59:38,,,0,2015-08-24 06:59:38,2015-08-24 06:59:38,False,
BagMRU\1,0,6,0,Desktop\My Computer\E:,Drive letter,E:,2,,,,2015-09-12 18:19:38,,,0,,2015-09-12 18:19:38,True,
BagMRU\1,1,8,1,Desktop\My Computer\C:,Drive letter,C:,4,,,,2015-09-12 18:19:38,,,0,,,True,
BagMRU\1\0,0,7,1,Desktop\My Computer\E:\DVWA-1.0.8,Directory,DVWA-1.0.8,0,2015-08-23 21:51:18,2015-08-23 21:51:24,2015-08-23 21:51:24,2015-09-12 18:19:41,0,,1,2015-08-23 21:51:40,,True,
BagMRU\1\0,1,40,0,Desktop\My Computer\E:\FTK-Imager,Directory,FTK-Imager,0,2015-09-12 18:19:12,2015-05-02 15:43:34,2015-09-12 18:19:12,2015-09-12 18:19:41,0,,1,2015-09-12 18:19:41,2015-09-12 18:19:41,True,
BagMRU\1\1,0,9,0,Desktop\My Computer\C:\xampp,Directory,xampp,2,2015-08-23 21:41:48,2015-08-23 21:44:20,2015-08-23 21:44:20,2015-08-23 10:33:34,42729,2,1,,2015-08-23 10:33:34,True,NTFS file system
