ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,0,C:\Windows\system32\LogonUI.exe,2008-01-19 07:33:14,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\config\SYSTEM
1,1,C:\Windows\servicing\TrustedInstaller.exe,2008-01-19 07:33:33,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\config\SYSTEM
1,2,C:\Windows\system32\wuauclt.exe,2008-01-19 07:33:40,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\config\SYSTEM
1,3,C:\Windows\system32\shutdown.exe,2008-01-19 07:33:30,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\config\SYSTEM
1,4,C:\Windows\system32\oobe.exe,2008-01-19 11:23:31,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\config\SYSTEM
1,5,C:\Program Files\Windows Mail\wab.exe,2006-11-02 09:45:51,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\config\SYSTEM
1,6,C:\Windows\System32\cmd.exe,2008-01-19 07:33:04,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\config\SYSTEM
1,7,C:\xampp\xampp-control.exe,2013-06-17 11:42:32,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\config\SYSTEM
1,8,C:\Windows\System32\VBoxTray.exe,2015-07-10 11:11:56,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\config\SYSTEM
1,9,C:\Windows\system32\verclsid.exe,2006-11-02 09:45:50,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\config\SYSTEM
1,10,C:\Windows\Explorer.EXE,2008-01-19 07:33:10,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\config\SYSTEM
1,11,C:\Windows\system32\ServerManagerLauncher.exe,2008-01-19 11:23:31,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\config\SYSTEM
1,12,C:\Windows\system32\Dwm.exe,2008-01-19 07:33:08,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\config\SYSTEM
1,13,C:\Windows\system32\userinit.exe,2008-01-19 07:33:33,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\config\SYSTEM
1,14,C:\Windows\system32\taskeng.exe,2008-01-19 07:33:32,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\config\SYSTEM
1,15,C:\Windows\system32\DllHost.exe,2006-11-02 09:45:02,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\config\SYSTEM
1,16,C:\Windows\system32\mpnotify.exe,2006-11-02 09:45:25,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\config\SYSTEM
1,17,C:\Windows\system32\RacAgent.exe,2008-01-19 07:33:23,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\config\SYSTEM
1,18,C:\Windows\system32\mcbuilder.exe,2008-01-19 07:33:14,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\config\SYSTEM
1,19,C:\Windows\system32\lpremove.exe,2008-01-19 07:33:14,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\config\SYSTEM
1,20,C:\Windows\system32\schtasks.exe,2008-01-19 07:33:27,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\config\SYSTEM
1,21,C:\Windows\System32\wsqmcons.exe,2008-01-19 11:24:12,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\Windows\System32\config\SYSTEM
