CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
0,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\LogonUI.exe,AppCompatCache,2008-01-19 07:33:14.2580000
1,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\servicing\TrustedInstaller.exe,AppCompatCache,2008-01-19 07:33:33.0720000
2,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\wuauclt.exe,AppCompatCache,2008-01-19 07:33:40.6380000
3,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\shutdown.exe,AppCompatCache,2008-01-19 07:33:30.3730000
4,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\oobe.exe,AppCompatCache,2008-01-19 11:23:31.8339534
5,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\Windows Mail\wab.exe,AppCompatCache,2006-11-02 09:45:51.5330000
6,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\cmd.exe,AppCompatCache,2008-01-19 07:33:04.8200000
7,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\Session Manager\AppCompatCache,C:\xampp\xampp-control.exe,AppCompatCache,2013-06-17 11:42:32.0000000
8,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\VBoxTray.exe,AppCompatCache,2015-07-10 11:11:56.0000000
9,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\verclsid.exe,AppCompatCache,2006-11-02 09:45:50.7210000
