Timestamp,BatchKeyPath,DriverDesc,BatchValueName,DriverDate,DriverVersion,ProviderName,DeviceInstanceid
2015-08-24 07:00:08.4843750,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\Class\{4D36E972-E325-11CE-BFC1-08002BE10318}\0000,WAN Miniport (SSTP),Multiple,6-21-2006,6.0.6001.18000,Microsoft,
2015-08-24 07:00:08.4843750,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\Class\{4D36E972-E325-11CE-BFC1-08002BE10318}\0001,WAN Miniport (L2TP),Multiple,6-21-2006,6.0.6001.18000,Microsoft,
2015-08-24 07:00:08.4843750,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\Class\{4D36E972-E325-11CE-BFC1-08002BE10318}\0002,WAN Miniport (PPTP),Multiple,6-21-2006,6.0.6001.18000,Microsoft,
2015-08-24 07:00:08.4843750,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\Class\{4D36E972-E325-11CE-BFC1-08002BE10318}\0003,WAN Miniport (PPPOE),Multiple,6-21-2006,6.0.6001.18000,Microsoft,
2008-01-19 11:39:10.1957865,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\Class\{4D36E972-E325-11CE-BFC1-08002BE10318}\0004,WAN Miniport (IPv6),Multiple,6-21-2006,6.0.6001.18000,Microsoft,
2008-01-19 11:39:09.3533811,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\Class\{4D36E972-E325-11CE-BFC1-08002BE10318}\0005,WAN Miniport (Network Monitor),Multiple,6-21-2006,6.0.6001.18000,Microsoft,
2015-08-24 06:52:15.8437500,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\Class\{4D36E972-E325-11CE-BFC1-08002BE10318}\0006,Intel(R) PRO/1000 MT Desktop Adapter,Multiple,6-21-2006,8.3.2.8,Microsoft,
2015-09-02 06:01:50.5244816,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\Class\{4D36E972-E325-11CE-BFC1-08002BE10318}\0007,Microsoft ISATAP Adapter,Multiple,6-21-2006,6.0.6001.18000,Microsoft,
2015-08-24 06:52:05.0156250,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\Class\{4D36E972-E325-11CE-BFC1-08002BE10318}\0008,WAN Miniport (IP),Multiple,6-21-2006,6.0.6001.18000,Microsoft,
2015-08-24 06:52:38.3281250,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\Class\{4D36E972-E325-11CE-BFC1-08002BE10318}\0011,RAS Async Adapter,Multiple,6-21-2006,6.0.6001.18000,Microsoft,
2015-08-24 07:00:08.4843750,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet003\Control\Class\{4D36E972-E325-11CE-BFC1-08002BE10318}\0000,WAN Miniport (SSTP),Multiple,6-21-2006,6.0.6001.18000,Microsoft,
2015-08-24 07:00:08.4843750,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet003\Control\Class\{4D36E972-E325-11CE-BFC1-08002BE10318}\0001,WAN Miniport (L2TP),Multiple,6-21-2006,6.0.6001.18000,Microsoft,
2015-08-24 07:00:08.4843750,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet003\Control\Class\{4D36E972-E325-11CE-BFC1-08002BE10318}\0002,WAN Miniport (PPTP),Multiple,6-21-2006,6.0.6001.18000,Microsoft,
2015-08-24 07:00:08.4843750,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet003\Control\Class\{4D36E972-E325-11CE-BFC1-08002BE10318}\0003,WAN Miniport (PPPOE),Multiple,6-21-2006,6.0.6001.18000,Microsoft,
2008-01-19 11:39:10.1957865,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet003\Control\Class\{4D36E972-E325-11CE-BFC1-08002BE10318}\0004,WAN Miniport (IPv6),Multiple,6-21-2006,6.0.6001.18000,Microsoft,
2008-01-19 11:39:09.3533811,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet003\Control\Class\{4D36E972-E325-11CE-BFC1-08002BE10318}\0005,WAN Miniport (Network Monitor),Multiple,6-21-2006,6.0.6001.18000,Microsoft,
2015-08-24 06:52:15.8437500,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet003\Control\Class\{4D36E972-E325-11CE-BFC1-08002BE10318}\0006,Intel(R) PRO/1000 MT Desktop Adapter,Multiple,6-21-2006,8.3.2.8,Microsoft,
2015-09-02 06:01:50.5244816,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet003\Control\Class\{4D36E972-E325-11CE-BFC1-08002BE10318}\0007,Microsoft ISATAP Adapter,Multiple,6-21-2006,6.0.6001.18000,Microsoft,
2015-08-24 06:52:05.0156250,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet003\Control\Class\{4D36E972-E325-11CE-BFC1-08002BE10318}\0008,WAN Miniport (IP),Multiple,6-21-2006,6.0.6001.18000,Microsoft,
2015-08-24 06:52:38.3281250,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet003\Control\Class\{4D36E972-E325-11CE-BFC1-08002BE10318}\0011,RAS Async Adapter,Multiple,6-21-2006,6.0.6001.18000,Microsoft,
2015-08-24 06:52:37.9687500,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet003\Control\Class\{4D36E972-E325-11CE-BFC1-08002BE10318}\0007,Microsoft ISATAP Adapter,Multiple,6-21-2006,6.0.6001.18000,Microsoft,
