Name,BatchKeyPath,Description,BatchValueName,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
.NET CLR Data,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Disabled,Adapter,2008-01-19 11:37:29.7311425,,,,,
.NET CLR Networking,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Disabled,Adapter,2008-01-19 11:37:29.7311425,,,,,
.NET Data Provider for Oracle,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Disabled,Adapter,2008-01-19 11:37:29.7311425,,,,,
.NET Data Provider for SqlServer,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Disabled,Adapter,2008-01-19 11:37:29.7311425,,,,,
.NETFramework,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Disabled,Adapter,2008-01-19 11:37:29.7311425,,,,,
ACPI,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,Microsoft ACPI Driver,Boot,KernelDriver,2015-09-13 04:18:01.5781250,2008-01-19 11:37:29.7311425,Boot Bus Extender,system32\drivers\acpi.sys,,
adp94xx,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Disabled,KernelDriver,2015-08-24 06:51:52.9218750,2008-01-19 11:37:29.7311425,SCSI Miniport,\SystemRoot\system32\drivers\adp94xx.sys,,
adpahci,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Disabled,KernelDriver,2015-08-24 06:51:53.1718750,2008-01-19 11:37:29.7311425,SCSI Miniport,\SystemRoot\system32\drivers\adpahci.sys,,
adpu160m,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Disabled,KernelDriver,2015-08-24 06:51:53.0468750,2008-01-19 11:37:29.7311425,SCSI Miniport,\SystemRoot\system32\drivers\adpu160m.sys,,
adpu320,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Disabled,KernelDriver,2015-08-24 06:51:52.8906250,2008-01-19 11:37:29.7311425,SCSI Miniport,\SystemRoot\system32\drivers\adpu320.sys,,
adsi,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Disabled,Adapter,2008-01-19 11:37:29.7311425,,,,,
ad_driver,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,AccessData Driver,Manual,KernelDriver,2015-09-13 04:18:01.5625000,,,\??\C:\Users\ADMINI~1\AppData\Local\Temp\ad_driver.sys,,
AeLookupSvc,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,"@%SystemRoot%\system32\aelupsvc.dll,-2",None,"@%SystemRoot%\system32\aelupsvc.dll,-1",Automatic,Win32ShareProcess,2008-01-19 11:37:29.7311425,2008-01-19 11:37:29.7311425,,%systemroot%\system32\svchost.exe -k netsvcs,,SeTcbPrivilege SeImpersonatePrivilege
AFD,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,Ancilliary Function Driver for Winsock,None,Ancilliary Function Driver for Winsock,System,KernelDriver,2015-09-13 04:18:01.5625000,2008-01-19 11:37:29.7311425,PNP_TDI,\SystemRoot\system32\drivers\afd.sys,,
agp440,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,Intel AGP Bus Filter,Manual,KernelDriver,2008-01-19 11:37:29.7311425,2008-01-19 11:37:29.7311425,PnP Filter,\SystemRoot\system32\drivers\agp440.sys,,
aic78xx,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Disabled,KernelDriver,2015-08-24 06:51:53.0781250,2008-01-19 11:37:29.7311425,SCSI Miniport,\SystemRoot\system32\drivers\djsvs.sys,,
ALG,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,"@%SystemRoot%\system32\Alg.exe,-113",None,"@%SystemRoot%\system32\Alg.exe,-112",Manual,Win32OwnProcess,2008-01-19 11:37:29.7311425,,,%SystemRoot%\System32\alg.exe,,SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege
aliide,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Disabled,KernelDriver,2015-08-24 06:51:53.5312500,,System Bus Extender,\SystemRoot\system32\drivers\aliide.sys,,
amdagp,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,AMD AGP Bus Filter Driver,Manual,KernelDriver,2008-01-19 11:37:29.7311425,2008-01-19 11:37:29.7311425,PnP Filter,\SystemRoot\system32\drivers\amdagp.sys,,
