ValueName,BatchKeyPath,ValueData,BatchValueName,ValueDataRaw
Bias,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\TimeZoneInformation,480,Bias,480
StandardName,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\TimeZoneInformation,"@tzres.dll,-212",StandardName,"@tzres.dll,-212"
StandardBias,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\TimeZoneInformation,0,StandardBias,0
StandardStart,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\TimeZoneInformation,"Month 11, week of month 1, day of week 0, Hours:Minutes:Seconds:Milliseconds 2:0:0:0",StandardStart,00-00-0B-00-01-00-02-00-00-00-00-00-00-00-00-00
DaylightName,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\TimeZoneInformation,"@tzres.dll,-211",DaylightName,"@tzres.dll,-211"
DaylightBias,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\TimeZoneInformation,-60,DaylightBias,4294967236
DaylightStart,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\TimeZoneInformation,"Month 3, week of month 2, day of week 0, Hours:Minutes:Seconds:Milliseconds 2:0:0:0",DaylightStart,00-00-03-00-02-00-02-00-00-00-00-00-00-00-00-00
TimeZoneKeyName,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\TimeZoneInformation,Pacific Standard Time,TimeZoneKeyName,Pacific Standard Time
ActiveTimeBias,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Control\TimeZoneInformation,420,ActiveTimeBias,420
Bias,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet003\Control\TimeZoneInformation,480,Bias,480
StandardName,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet003\Control\TimeZoneInformation,"@tzres.dll,-212",StandardName,"@tzres.dll,-212"
StandardBias,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet003\Control\TimeZoneInformation,0,StandardBias,0
StandardStart,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet003\Control\TimeZoneInformation,"Month 11, week of month 1, day of week 0, Hours:Minutes:Seconds:Milliseconds 2:0:0:0",StandardStart,00-00-0B-00-01-00-02-00-00-00-00-00-00-00-00-00
DaylightName,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet003\Control\TimeZoneInformation,"@tzres.dll,-211",DaylightName,"@tzres.dll,-211"
DaylightBias,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet003\Control\TimeZoneInformation,-60,DaylightBias,4294967236
DaylightStart,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet003\Control\TimeZoneInformation,"Month 3, week of month 2, day of week 0, Hours:Minutes:Seconds:Milliseconds 2:0:0:0",DaylightStart,00-00-03-00-02-00-02-00-00-00-00-00-00-00-00-00
TimeZoneKeyName,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet003\Control\TimeZoneInformation,Pacific Standard Time,TimeZoneKeyName,Pacific Standard Time
ActiveTimeBias,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet003\Control\TimeZoneInformation,420,ActiveTimeBias,420
