Timestamp,BatchKeyPath,KeyName,BatchValueName,DisplayName,DisplayVersion,Publisher,InstallDate,InstallSource,InstallLocation,UninstallString
2008-01-19 11:40:26.9170783,CMI-CreateHive{15B28BB1-2B08-4072-9184-BB27037D0496}\Microsoft\Windows\CurrentVersion\Uninstall\AddressBook,AddressBook,Multiple,,,,,,,
2008-01-19 11:40:26.9170783,CMI-CreateHive{15B28BB1-2B08-4072-9184-BB27037D0496}\Microsoft\Windows\CurrentVersion\Uninstall\Connection Manager,Connection Manager,Multiple,,,,,,,
2008-01-19 11:40:26.9170783,CMI-CreateHive{15B28BB1-2B08-4072-9184-BB27037D0496}\Microsoft\Windows\CurrentVersion\Uninstall\DirectDrawEx,DirectDrawEx,Multiple,,,,,,,
2008-01-19 11:40:26.9170783,CMI-CreateHive{15B28BB1-2B08-4072-9184-BB27037D0496}\Microsoft\Windows\CurrentVersion\Uninstall\Fontcore,Fontcore,Multiple,,,,,,,
2008-01-19 11:40:26.9170783,CMI-CreateHive{15B28BB1-2B08-4072-9184-BB27037D0496}\Microsoft\Windows\CurrentVersion\Uninstall\IE40,IE40,Multiple,,,,,,,
2008-01-19 11:40:26.9170783,CMI-CreateHive{15B28BB1-2B08-4072-9184-BB27037D0496}\Microsoft\Windows\CurrentVersion\Uninstall\IE4Data,IE4Data,Multiple,,,,,,,
2008-01-19 11:40:26.9170783,CMI-CreateHive{15B28BB1-2B08-4072-9184-BB27037D0496}\Microsoft\Windows\CurrentVersion\Uninstall\IE5BAKEX,IE5BAKEX,Multiple,,,,,,,
2008-01-19 11:40:26.9170783,CMI-CreateHive{15B28BB1-2B08-4072-9184-BB27037D0496}\Microsoft\Windows\CurrentVersion\Uninstall\IEData,IEData,Multiple,,,,,,,
2008-01-19 11:40:26.9170783,CMI-CreateHive{15B28BB1-2B08-4072-9184-BB27037D0496}\Microsoft\Windows\CurrentVersion\Uninstall\MobileOptionPack,MobileOptionPack,Multiple,,,,,,,
2015-08-24 07:14:15.4375000,CMI-CreateHive{15B28BB1-2B08-4072-9184-BB27037D0496}\Microsoft\Windows\CurrentVersion\Uninstall\Oracle VM VirtualBox Guest Additions,Oracle VM VirtualBox Guest Additions,Multiple,Oracle VM VirtualBox Guest Additions 4.3.30,4.3.30.0,Oracle Corporation,,,,C:\Program Files\Oracle\VirtualBox Guest Additions\uninst.exe
2008-01-19 11:40:26.9170783,CMI-CreateHive{15B28BB1-2B08-4072-9184-BB27037D0496}\Microsoft\Windows\CurrentVersion\Uninstall\SchedulingAgent,SchedulingAgent,Multiple,,,,,,,
2015-08-23 21:44:08.9850000,CMI-CreateHive{15B28BB1-2B08-4072-9184-BB27037D0496}\Microsoft\Windows\CurrentVersion\Uninstall\xampp,xampp,Multiple,XAMPP,5.6.11-1,Bitnami,1440366248,,C:\xampp,C:\xampp\uninstall.exe
2015-08-23 21:43:54.4381250,CMI-CreateHive{15B28BB1-2B08-4072-9184-BB27037D0496}\Microsoft\Windows\CurrentVersion\Uninstall\{FF66E9F6-83E7-3A3E-AF14-8DE9A809A6A4},{FF66E9F6-83E7-3A3E-AF14-8DE9A809A6A4},Multiple,Microsoft Visual C++ 2008 Redistributable - x86 9.0.21022,9.0.21022,Microsoft Corporation,20150823,c:\caa296e7a236549269a0c5\,,MsiExec.exe /X{FF66E9F6-83E7-3A3E-AF14-8DE9A809A6A4}
