BatchKeyPath,BatchValueName,ProgramName,RunCounter,FocusCount,FocusTime,LastExecuted
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{0D6D4F41-2994-4BA0-8FEF-620E43CD2812}\Count,HRZR_PGYFRFFVBA,UEME_CTLSESSION,0,,"0d, 0h, 00m, 00s",
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{5E6AB780-7743-11CF-A12B-00AA004AE837}\Count,HRZR_PGYFRFFVBA,UEME_CTLSESSION,0,,"0d, 0h, 00m, 00s",
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_PGYFRFFVBA,UEME_CTLSESSION,0,,"0d, 0h, 00m, 00s",
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_EHACVQY:P:\CebtenzQngn\Zvpebfbsg\Jvaqbjf\Fgneg Zrah\Jvaqbjf Hcqngr.yax,UEME_RUNPIDL:C:\ProgramData\Microsoft\Windows\Start Menu\Windows Update.lnk,26,,"0d, 0h, 00m, 00s",2015-08-24 06:56:02.9695676
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_EHACVQY:%pfvqy2%\Vagrearg Rkcybere.yax,UEME_RUNPIDL:%csidl2%\Internet Explorer.lnk,26,,"0d, 0h, 00m, 00s",2015-08-24 07:00:06.5780000
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_EHACVQY:%pfvqy2%\Npprffbevrf\Abgrcnq.yax,UEME_RUNPIDL:%csidl2%\Accessories\Notepad.lnk,24,,"0d, 0h, 00m, 00s",2015-08-24 06:56:02.9695676
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_PGYPHNPbhag:pgbe,UEME_CTLCUACount:ctor,2,,"0d, 0h, 00m, 00s",
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_EHACNGU,UEME_RUNPATH,32,,"0d, 0h, 00m, 00s",2015-09-12 18:19:46.9070000
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_EHACNGU:P:\Jvaqbjf\flfgrz32\pbageby.rkr,UEME_RUNPATH:C:\Windows\system32\control.exe,6,,"0d, 0h, 00m, 00s",2015-08-24 06:58:39.4840000
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_EHACVQY,UEME_RUNPIDL,12,,"0d, 0h, 00m, 00s",2015-09-03 10:03:08.4660000
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_EHACNGU:P:\Cebtenz Svyrf\Vagrearg Rkcybere\vrkcyber.rkr,UEME_RUNPATH:C:\Program Files\Internet Explorer\iexplore.exe,6,,"0d, 0h, 00m, 00s",2015-08-24 07:00:06.6400000
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_EHACNGU:Q:\IObkJvaqbjfNqqvgvbaf.rkr,UEME_RUNPATH:D:\VBoxWindowsAdditions.exe,6,,"0d, 0h, 00m, 00s",2015-08-24 07:13:41.0620000
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_EHACNGU:P:\Hfref\Nqzvavfgengbe\Qrfxgbc\knzcc-jva32-5.6.11-1-IP11-vafgnyyre.rkr,UEME_RUNPATH:C:\Users\Administrator\Desktop\xampp-win32-5.6.11-1-VC11-installer.exe,6,,"0d, 0h, 00m, 00s",2015-08-23 21:40:21.1560000
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_EHACNGU:P:\Jvaqbjf\flfgrz32\ehaqyy32.rkr,UEME_RUNPATH:C:\Windows\system32\rundll32.exe,7,,"0d, 0h, 00m, 00s",2015-09-03 07:19:54.0880000
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_EHACNGU:P:\Jvaqbjf\flfgrz32\ABGRCNQ.RKR,UEME_RUNPATH:C:\Windows\system32\NOTEPAD.EXE,19,,"0d, 0h, 00m, 00s",2015-09-03 07:19:49.9000000
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_EHACVQY:%pfvqy23%\KNZCC\KNZCC Pbageby Cnary.yax,UEME_RUNPIDL:%csidl23%\XAMPP\XAMPP Control Panel.lnk,8,,"0d, 0h, 00m, 00s",2015-09-03 10:03:08.4660000
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_EHACNGU:P:\knzcc\knzcc-pbageby.rkr,UEME_RUNPATH:C:\xampp\xampp-control.exe,7,,"0d, 0h, 00m, 00s",2015-08-23 10:32:17.0570000
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_EHACNGU:P:\Jvaqbjf\flfgrz32\zfcnvag.rkr,UEME_RUNPATH:C:\Windows\system32\mspaint.exe,6,,"0d, 0h, 00m, 00s",2015-08-23 10:33:22.4690000
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_EHACNGU:P:\Jvaqbjf\flfgrz32\PbzcZtzgYnhapure.rkr,UEME_RUNPATH:C:\Windows\system32\CompMgmtLauncher.exe,6,,"0d, 0h, 00m, 00s",2015-09-02 09:01:02.5190000
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_EHACNGU:P:\Jvaqbjf\Flfgrz32\pzq.rkr,UEME_RUNPATH:C:\Windows\System32\cmd.exe,6,,"0d, 0h, 00m, 00s",2015-09-02 09:28:30.4110000
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_EHACVQY:%pfvqy23%\Npprffbevrf\Jbeqcnq.yax,UEME_RUNPIDL:%csidl23%\Accessories\Wordpad.lnk,6,,"0d, 0h, 00m, 00s",2015-09-03 07:20:06.4310000
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_EHACVQY:%pfvqy23%\KNZCC,UEME_RUNPIDL:%csidl23%\XAMPP,6,,"0d, 0h, 00m, 00s",2015-09-03 10:03:08.4660000
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_EHACVQY:%pfvqy23%,UEME_RUNPIDL:%csidl23%,6,,"0d, 0h, 00m, 00s",2015-09-03 10:03:08.4660000
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_EHACNGU:\\Iobkfie\101\SGX-Vzntre\SGX Vzntre.rkr,UEME_RUNPATH:\\Vboxsvr\101\FTK-Imager\FTK Imager.exe,6,,"0d, 0h, 00m, 00s",2015-09-03 10:03:37.8410000
CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1F-11D0-9888-006097DEACF9}\Count,HRZR_EHACNGU:R:\SGX-Vzntre\SGX Vzntre.rkr,UEME_RUNPATH:E:\FTK-Imager\FTK Imager.exe,6,,"0d, 0h, 00m, 00s",2015-09-12 18:19:46.9070000
