SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,EntryName,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments
M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\28c8b86deab549a1.customDestinations-ms,2016-06-21 08:43:55,2016-06-21 12:01:46,2021-08-30 12:27:34,28c8b86deab549a1,Internet Explorer 8.0.7600.16385 / 9,,2014-03-18 10:14:20,2014-03-18 10:14:20,2014-03-18 10:14:20,809648,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),669B1B2A,,C:\Program Files\Internet Explorer\iexplore.exe,,My Computer\C:\Program Files\Internet Explorer\iexplore.exe,0x465B,0x1,4orensics,00:15:5d:8d:a0:f0,2014-03-18 10:19:11,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",-private
M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\28c8b86deab549a1.customDestinations-ms,2016-06-21 08:43:55,2016-06-21 12:01:46,2021-08-30 12:27:34,28c8b86deab549a1,Internet Explorer 8.0.7600.16385 / 9,,2014-03-18 10:14:20,2014-03-18 10:14:20,2014-03-18 10:14:20,809648,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),669B1B2A,,C:\Program Files\Internet Explorer\iexplore.exe,,My Computer\C:\Program Files\Internet Explorer\iexplore.exe,0x465B,0x1,4orensics,00:15:5d:8d:a0:f0,2014-03-18 10:19:11,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",-newtab
M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\28c8b86deab549a1.customDestinations-ms,2016-06-21 08:43:55,2016-06-21 12:01:46,2021-08-30 12:27:34,28c8b86deab549a1,Internet Explorer 8.0.7600.16385 / 9,,2014-03-18 10:14:20,2014-03-18 10:14:20,2014-03-18 10:14:20,809648,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),669B1B2A,,C:\Program Files\Internet Explorer\iexplore.exe,,My Computer\C:\Program Files\Internet Explorer\iexplore.exe,0x465B,0x1,4orensics,00:15:5d:8d:a0:f0,2014-03-18 10:19:11,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",-restore
M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\5d696d521de238c3.customDestinations-ms,2016-06-21 08:43:23,2016-06-21 13:01:53,2021-08-30 12:27:34,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,Most visited,2016-06-21 08:43:03,2016-06-15 08:27:03,2016-06-21 08:43:03,1122456,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),669B1B2A,,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,,My Computer\C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,0x1488E,0x1,4orensics,08:00:27:d2:69:d7,2016-06-21 08:19:10,"IconEnvironmentDataBlock, PropertyStoreDataBlock, TrackerDataBaseBlock",--win-jumplist-action=most-visited https://www.google.com/
M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\5d696d521de238c3.customDestinations-ms,2016-06-21 08:43:23,2016-06-21 13:01:53,2021-08-30 12:27:34,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,Most visited,2016-06-21 08:43:03,2016-06-15 08:27:03,2016-06-21 08:43:03,1122456,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),669B1B2A,,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,,My Computer\C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,0x1488E,0x1,4orensics,08:00:27:d2:69:d7,2016-06-21 08:19:10,"IconEnvironmentDataBlock, PropertyStoreDataBlock, TrackerDataBaseBlock",--win-jumplist-action=most-visited http://python.org/
M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\5d696d521de238c3.customDestinations-ms,2016-06-21 08:43:23,2016-06-21 13:01:53,2021-08-30 12:27:34,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,Most visited,2016-06-21 08:43:03,2016-06-15 08:27:03,2016-06-21 08:43:03,1122456,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),669B1B2A,,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,,My Computer\C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,0x1488E,0x1,4orensics,08:00:27:d2:69:d7,2016-06-21 08:19:10,"IconEnvironmentDataBlock, PropertyStoreDataBlock, TrackerDataBaseBlock",--win-jumplist-action=most-visited http://7zip.org/
M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\5d696d521de238c3.customDestinations-ms,2016-06-21 08:43:23,2016-06-21 13:01:53,2021-08-30 12:27:34,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,Most visited,2016-06-21 08:43:03,2016-06-15 08:27:03,2016-06-21 08:43:03,1122456,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),669B1B2A,,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,,My Computer\C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,0x1488E,0x1,4orensics,08:00:27:d2:69:d7,2016-06-21 08:19:10,"IconEnvironmentDataBlock, PropertyStoreDataBlock, TrackerDataBaseBlock",--win-jumplist-action=most-visited http://kooora.com/
M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\5d696d521de238c3.customDestinations-ms,2016-06-21 08:43:23,2016-06-21 13:01:53,2021-08-30 12:27:34,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,Most visited,2016-06-21 08:43:03,2016-06-15 08:27:03,2016-06-21 08:43:03,1122456,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),669B1B2A,,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,,My Computer\C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,0x1488E,0x1,4orensics,08:00:27:d2:69:d7,2016-06-21 08:19:10,"IconEnvironmentDataBlock, PropertyStoreDataBlock, TrackerDataBaseBlock",--win-jumplist-action=most-visited http://web.whatsapp.com/
M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\5d696d521de238c3.customDestinations-ms,2016-06-21 08:43:23,2016-06-21 13:01:53,2021-08-30 12:27:34,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,Most visited,2016-06-21 08:43:03,2016-06-15 08:27:03,2016-06-21 08:43:03,1122456,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),669B1B2A,,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,,My Computer\C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,0x1488E,0x1,4orensics,08:00:27:d2:69:d7,2016-06-21 08:19:10,"PropertyStoreDataBlock, TrackerDataBaseBlock",--win-jumplist-action=most-visited http://tor.project.org/
M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\5d696d521de238c3.customDestinations-ms,2016-06-21 08:43:23,2016-06-21 13:01:53,2021-08-30 12:27:34,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,Most visited,2016-06-21 08:43:03,2016-06-15 08:27:03,2016-06-21 08:43:03,1122456,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),669B1B2A,,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,,My Computer\C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,0x1488E,0x1,4orensics,08:00:27:d2:69:d7,2016-06-21 08:19:10,"PropertyStoreDataBlock, TrackerDataBaseBlock",--win-jumplist-action=most-visited http://www.google.com/chrome/intl/en/welcome.html
