SourceFile,SourceCreated,SourceModified,SourceAccessed,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,NetworkPath,CommonPath,Arguments,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,MACVendor,TrackerCreatedOn,ExtraBlocksPresent
M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\Desktop\Dropbox.lnk,2016-06-21 01:50:12,2016-06-21 01:50:12,2021-08-30 12:27:35,2016-06-21 01:46:43,2016-05-31 18:34:50,2016-06-21 01:46:13,23972712,..\..\..\Program Files (x86)\Dropbox\Client\Dropbox.exe,C:\Program Files (x86)\Dropbox\Client,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasName, HasRelativePath, HasWorkingDir, HasArguments, IsUnicode",Fixed storage media (Hard drive),669B1B2A,,C:\Program Files (x86)\Dropbox\Client\Dropbox.exe,,,/home,My Computer\C:\Program Files (x86)\Dropbox\Client\Dropbox.exe,0x5DEA,0x2,4orensics,08:00:27:d2:69:d7,PCS SYSTEMTECHNIK,2016-06-21 11:40:41,"SpecialFolderDataBlock, KnownFolderDataBlock, PropertyStoreDataBlock, TrackerDataBaseBlock"
M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\Desktop\Google Drive.lnk,2016-06-21 01:54:21,2016-06-21 01:54:21,2021-08-30 12:27:35,2016-06-21 01:54:20,2016-06-21 01:54:21,2016-06-21 01:54:21,0,..\Google Drive,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, HasName, HasRelativePath, HasIconLocation, IsUnicode, HasExpIcon",Fixed storage media (Hard drive),669B1B2A,,C:\Users\,\\4ORENSICS\Users,Hunter\Google Drive,,Shared Documents Folder (Users Files)\Google Drive,0x5AB,0x3,4orensics,08:00:27:d2:69:d7,PCS SYSTEMTECHNIK,2016-06-21 11:40:41,"IconEnvironmentDataBlock, KnownFolderDataBlock, PropertyStoreDataBlock, TrackerDataBaseBlock"
M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\Desktop\Nmap - Zenmap GUI.lnk,2016-06-21 11:06:18,2016-06-21 11:06:18,2021-08-30 12:27:35,2016-03-29 15:41:16,2016-03-29 15:41:16,2016-06-21 11:02:03,441344,..\..\..\Program Files (x86)\Nmap\zenmap.exe,C:\Program Files (x86)\Nmap,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode",Fixed storage media (Hard drive),669B1B2A,,C:\Program Files (x86)\Nmap\zenmap.exe,,,,My Computer\C:\Program Files (x86)\Nmap\zenmap.exe,0x15DC8,0x5,4orensics,08:00:27:d2:69:d7,PCS SYSTEMTECHNIK,2016-06-21 11:40:41,"SpecialFolderDataBlock, KnownFolderDataBlock, PropertyStoreDataBlock, TrackerDataBaseBlock"
M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\Desktop\OLLYDBG.EXE - Shortcut.lnk,2016-06-21 11:08:05,2016-06-21 11:08:05,2021-08-30 12:27:35,2016-06-21 11:07:12,2004-05-23 08:10:00,2016-06-21 11:07:12,1117696,..\Downloads\Ollydbg\OLLYDBG.EXE,C:\Users\Hunter\Downloads\Ollydbg,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, EnableTargetMetadata",Fixed storage media (Hard drive),669B1B2A,,C:\Users\,\\4ORENSICS\Users,Hunter\Downloads\Ollydbg\OLLYDBG.EXE,,My Computer\Downloads\Ollydbg\OLLYDBG.EXE,0x15F4D,0x2,4orensics,08:00:27:d2:69:d7,PCS SYSTEMTECHNIK,2016-06-21 11:40:41,"SpecialFolderDataBlock, KnownFolderDataBlock, PropertyStoreDataBlock, TrackerDataBaseBlock"
M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\Desktop\pscp.exe - Shortcut.lnk,2016-06-21 11:08:15,2016-06-21 11:08:15,2021-08-30 12:27:35,2016-06-20 23:57:41,2016-06-20 23:57:42,2016-06-20 23:57:41,359336,..\Downloads\pscp.exe,C:\Users\Hunter\Downloads,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, EnableTargetMetadata",Fixed storage media (Hard drive),669B1B2A,,C:\Users\,\\4ORENSICS\Users,Hunter\Downloads\pscp.exe,,My Computer\Downloads\pscp.exe,0x17070,0x3,4orensics,08:00:27:d2:69:d7,PCS SYSTEMTECHNIK,2016-06-21 11:40:41,"SpecialFolderDataBlock, KnownFolderDataBlock, PropertyStoreDataBlock, TrackerDataBaseBlock"
M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\Desktop\putty.exe - Shortcut.lnk,2016-06-21 11:08:15,2016-06-21 11:08:15,2021-08-30 12:27:35,2016-06-20 23:57:34,2016-06-20 23:57:41,2016-06-20 23:57:34,531368,..\Downloads\putty.exe,C:\Users\Hunter\Downloads,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, EnableTargetMetadata",Fixed storage media (Hard drive),669B1B2A,,C:\Users\,\\4ORENSICS\Users,Hunter\Downloads\putty.exe,,My Computer\Downloads\putty.exe,0x1706B,0x1,4orensics,08:00:27:d2:69:d7,PCS SYSTEMTECHNIK,2016-06-21 11:40:41,"SpecialFolderDataBlock, KnownFolderDataBlock, PropertyStoreDataBlock, TrackerDataBaseBlock"
M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\Desktop\Start Tor Browser.lnk,2016-06-21 10:54:03,2016-06-21 10:54:03,2021-08-30 12:27:35,2000-01-01 00:00:00,2000-01-01 00:00:00,2016-06-21 10:51:23,336896,.\Tor Browser\Browser\firefox.exe,C:\Users\Hunter\Desktop\Tor Browser\Browser,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode",Fixed storage media (Hard drive),669B1B2A,,C:\Users\,\\4ORENSICS\Users,Hunter\Desktop\Tor Browser\Browser\firefox.exe,,Tor Browser\Browser\firefox.exe,0x6536,0x2,4orensics,08:00:27:d2:69:d7,PCS SYSTEMTECHNIK,2016-06-21 11:40:41,"PropertyStoreDataBlock, TrackerDataBaseBlock"
M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Hunter\Desktop\SysinternalsSuite - Shortcut.lnk,2016-06-21 11:19:39,2016-06-21 11:19:39,2021-08-30 12:27:35,2016-06-21 11:17:53,2016-06-21 11:18:03,2016-06-21 11:18:03,24576,..\Downloads\SysinternalsSuite,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, EnableTargetMetadata",Fixed storage media (Hard drive),669B1B2A,,C:\Users\,\\4ORENSICS\Users,Hunter\Downloads\SysinternalsSuite,,My Computer\Downloads\SysinternalsSuite,0x15FAF,0x2,4orensics,08:00:27:d2:69:d7,PCS SYSTEMTECHNIK,2016-06-21 11:40:41,"SpecialFolderDataBlock, KnownFolderDataBlock, PropertyStoreDataBlock, TrackerDataBaseBlock"
M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Public\Desktop\Acrobat Reader DC.lnk,2016-06-21 09:20:24,2016-06-21 09:20:24,2021-08-30 12:27:35,2016-05-03 14:41:20,2016-05-03 14:41:20,2016-06-21 09:20:16,2172600,..\..\..\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasIconLocation, IsUnicode, HasExpIcon",Fixed storage media (Hard drive),669B1B2A,,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe,,,,My Computer\C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe,0x1580E,0x8,4orensics,08:00:27:d2:69:d7,PCS SYSTEMTECHNIK,2016-06-21 08:19:10,"IconEnvironmentDataBlock, SpecialFolderDataBlock, KnownFolderDataBlock, PropertyStoreDataBlock, TrackerDataBaseBlock"
M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Users\Public\Desktop\CCleaner.lnk,2016-06-21 11:43:05,2016-06-21 11:43:05,2021-08-30 12:27:35,2016-06-15 13:53:54,2016-06-15 13:53:54,2016-06-21 11:43:03,8810200,..\..\..\Program Files\CCleaner\CCleaner64.exe,C:\Program Files\CCleaner,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode",Fixed storage media (Hard drive),669B1B2A,,C:\Program Files\CCleaner\CCleaner64.exe,,,,My Computer\C:\Program Files\CCleaner\CCleaner64.exe,0x15A77,0xA,4orensics,08:00:27:d2:69:d7,PCS SYSTEMTECHNIK,2016-06-21 11:40:41,"PropertyStoreDataBlock, TrackerDataBaseBlock"
