ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,0,SYSVOL\Windows\System32\SearchFilterHost.exe,2014-03-18 10:05:49,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,1,SYSVOL\Windows\System32\SearchProtocolHost.exe,2014-03-18 10:05:49,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,2,SYSVOL\Windows\System32\LogonUI.exe,2013-08-22 11:32:21,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,3,SYSVOL\Program Files (x86)\Google\Chrome\Application\chrome.exe,2016-06-15 08:27:03,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,4,SYSVOL\Windows\System32\ThumbnailExtractionHost.exe,2013-08-22 11:01:57,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,5,SYSVOL\Windows\System32\svchost.exe,2013-08-22 12:45:17,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,6,SYSVOL\Windows\System32\rundll32.exe,2013-08-22 11:03:41,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,7,SYSVOL\Windows\System32\dllhost.exe,2013-08-22 12:35:25,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,8,SYSVOL\Program Files (x86)\TeamViewer\TeamViewer.exe,2016-05-12 08:54:55,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,9,SYSVOL\Program Files (x86)\TeamViewer\tv_x64.exe,2016-05-12 07:51:01,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,10,SYSVOL\Program Files (x86)\TeamViewer\tv_w32.exe,2016-05-12 07:51:00,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,11,SYSVOL\Program Files (x86)\TeamViewer\TeamViewer_Service.exe,2016-05-12 08:54:56,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,12,SYSVOL\Windows\SysWOW64\schtasks.exe,2013-08-22 03:24:06,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,13,SYSVOL\Windows\System32\regsvr32.exe,2013-08-22 11:22:40,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,14,SYSVOL\Windows\SysWOW64\regsvr32.exe,2013-08-22 03:55:58,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,15,SYSVOL\Users\Hunter\AppData\Local\Temp\TeamViewer\TeamViewer_.exe,2016-05-12 09:00:56,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,16,SYSVOL\Windows\System32\consent.exe,2013-08-22 12:44:43,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,17,SYSVOL\Users\Hunter\Downloads\TeamViewer_Setup-vfa.exe,2016-06-21 00:52:33,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,18,SYSVOL\Windows\System32\SearchIndexer.exe,2014-03-18 10:05:49,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,19,SYSVOL\Windows\System32\RuntimeBroker.exe,2013-08-22 12:35:41,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,20,SYSVOL\Windows\System32\taskhost.exe,2014-03-18 10:05:00,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,21,SYSVOL\Windows\System32\Defrag.exe,2014-03-18 10:05:02,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,22,SYSVOL\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe,2016-04-22 15:56:22,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,23,SYSVOL\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARMHelper.exe,2016-04-22 15:56:22,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,24,SYSVOL\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe,2016-04-22 15:56:22,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,25,SYSVOL\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroCEF\RdrServicesUpdater.exe,2016-05-27 19:19:20,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,26,SYSVOL\Windows\System32\WerFault.exe,2014-03-18 10:05:23,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,27,SYSVOL\Windows\System32\wermgr.exe,2014-03-18 10:05:23,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,28,SYSVOL\Windows\Installer\MSI882D.tmp,2016-06-21 00:01:47,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,29,SYSVOL\Windows\SysWOW64\msiexec.exe,2013-08-22 03:56:51,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,30,SYSVOL\Windows\Microsoft.NET\Framework\v4.0.30319\ngen.exe,2013-08-10 00:54:18,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,31,SYSVOL\Program Files\Wireshark\Wireshark.exe,2016-06-07 18:38:48,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,32,SYSVOL\Program Files\Intel Security\True Key\Application\truekey.exe,2016-06-06 13:40:24,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,33,SYSVOL\Windows\Installer\{FC965A47-4839-40CA-B618-18F486F042C6}\SkypeIcon.exe,2016-06-21 08:59:07,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,34,SYSVOL\Program Files (x86)\Notepad++\notepad++.exe,2016-05-17 22:42:38,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,35,SYSVOL\Program Files (x86)\McAfee Security Scan\3.11.266\McUICnt.exe,2015-12-02 15:06:26,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,36,SYSVOL\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe,2016-05-03 14:41:20,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,37,SYSVOL\Windows\System32\wbem\WmiPrvSE.exe,2013-08-22 11:45:14,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,38,SYSVOL\Windows\Microsoft.NET\Framework64\v4.0.30319\ngen.exe,2013-08-10 00:41:20,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,39,SYSVOL\Program Files\Windows Media Player\wmpnetwk.exe,2014-03-18 10:05:55,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,40,SYSVOL\Windows\Microsoft.NET\Framework\v4.0.30319\ngentask.exe,2013-08-10 00:54:18,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,41,SYSVOL\Windows\Microsoft.NET\Framework64\v4.0.30319\ngentask.exe,2013-08-10 00:41:20,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,42,SYSVOL\Windows\Installer\MSI4F19.tmp,2016-06-21 00:00:23,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,43,SYSVOL\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe,2013-08-10 00:40:50,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,44,SYSVOL\Windows\System32\SppExtComObj.Exe,2013-08-22 10:51:10,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,45,SYSVOL\Windows\Installer\{90150000-0011-0000-1000-0000000FF1CE}\osmclienticon.exe,2016-06-20 23:59:26,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
1,46,SYSVOL\Windows\Installer\{90150000-0011-0000-1000-0000000FF1CE}\osmadminicon.exe,2016-06-20 23:59:26,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge2UserPolicyViolation\tout\E\Windows\System32\config\SYSTEM
