Timestamp,BatchKeyPath,FileName,BatchValueName,Path1,Path2
2016-06-21 09:18:13.1273278,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\7zFM.exe,7zFM.exe,Multiple,C:\Program Files\7-Zip\7zFM.exe,C:\Program Files\7-Zip\
2016-06-21 09:20:24.5845127,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\AcroRd32.exe,AcroRd32.exe,Multiple,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\
2016-06-21 11:44:53.2782181,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\BCWipe.exe,BCWipe.exe,Multiple,C:\Program Files (x86)\Jetico\BCWipe\BCWipe.exe,C:\Program Files (x86)\Jetico\BCWipe\;
2016-06-21 11:43:05.8556403,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\ccleaner.exe,ccleaner.exe,Multiple,C:\Program Files\CCleaner\CCleaner64.exe,C:\Program Files\CCleaner
2016-06-21 08:43:03.4311511,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\chrome.exe,chrome.exe,Multiple,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,C:\Program Files (x86)\Google\Chrome\Application
2013-08-22 15:43:52.6563190,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\cmmgr32.exe,cmmgr32.exe,Multiple,,
2013-08-22 15:37:08.4531959,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\dfshim.dll,dfshim.dll,Multiple,,
2016-06-20 23:59:33.9523687,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\excel.exe,excel.exe,Multiple,C:\PROGRA~1\MICROS~1\Office15\EXCEL.EXE,C:\Program Files\Microsoft Office\Office15\
2013-08-22 15:43:52.6563190,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\IEDIAG.EXE,IEDIAG.EXE,Multiple,C:\Program Files\Internet Explorer\IEDIAGCMD.EXE,C:\Program Files\Internet Explorer;
2013-08-22 15:43:52.6563190,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\IEDIAGCMD.EXE,IEDIAGCMD.EXE,Multiple,C:\Program Files\Internet Explorer\IEDIAGCMD.EXE,C:\Program Files\Internet Explorer;
