Extension,BatchKeyPath,ValueName,BatchValueName,TargetName,LnkName,MruPosition,OpenedOn,ExtensionLastOpened
RecentDocs,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,7,7,Outlook,Outlook.lnk,0,2016-06-21 13:15:00.0710332,2016-06-21 13:15:00.0710332
RecentDocs,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,6,6,backup.pst,backup.pst.lnk,1,,2016-06-21 13:15:00.0586280
RecentDocs,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,5,5,nmapscan.xml,nmapscan.xml.lnk,2,,2016-06-21 13:05:19.5884276
RecentDocs,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,4,4,Welcome.docx,Welcome.docx.lnk,3,,2016-06-21 12:27:37.9493610
RecentDocs,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,3,3,home-network-design-networking-for-a-single-family-home-case-house-arkko-1433-x-792.jpg,home-network-design-networking-for-a-single-family-home-case-house-arkko-1433-x-792.jpg.lnk,4,,2016-06-21 12:19:31.3802601
RecentDocs,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,1,1,Exfil,Exfil.lnk,5,,
RecentDocs,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,2,2,Exfiltration_Diagram.png,Exfiltration_Diagram.png.lnk,6,,2016-06-21 12:17:42.0055390
RecentDocs,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,0,0,dns-exfiltration-using-sqlmap-18-728.jpg,dns-exfiltration-using-sqlmap-18-728.jpg.lnk,7,,
Folder,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,1,1,Outlook,Outlook.lnk,0,2016-06-21 13:15:00.0710332,
Folder,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,0,0,Exfil,Exfil.lnk,1,,
.xml,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.xml,0,0,nmapscan.xml,nmapscan.xml.lnk,0,2016-06-21 13:05:19.5884276,
.pst,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pst,0,0,backup.pst,backup.pst.lnk,0,2016-06-21 13:15:00.0586280,
.png,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.png,0,0,Exfiltration_Diagram.png,Exfiltration_Diagram.png.lnk,0,2016-06-21 12:17:42.0055390,
.jpg,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,1,1,home-network-design-networking-for-a-single-family-home-case-house-arkko-1433-x-792.jpg,home-network-design-networking-for-a-single-family-home-case-house-arkko-1433-x-792.jpg.lnk,0,2016-06-21 12:19:31.3802601,
.jpg,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,0,0,dns-exfiltration-using-sqlmap-18-728.jpg,dns-exfiltration-using-sqlmap-18-728.jpg.lnk,1,,
.docx,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.docx,0,0,Welcome.docx,Welcome.docx.lnk,0,2016-06-21 12:27:37.9493610,
.docx,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.docx,0,0,Welcome.docx,Welcome.docx.lnk,0,2016-06-21 12:27:37.9493610,
.jpg,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,1,1,home-network-design-networking-for-a-single-family-home-case-house-arkko-1433-x-792.jpg,home-network-design-networking-for-a-single-family-home-case-house-arkko-1433-x-792.jpg.lnk,0,2016-06-21 12:19:31.3802601,
.jpg,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,0,0,dns-exfiltration-using-sqlmap-18-728.jpg,dns-exfiltration-using-sqlmap-18-728.jpg.lnk,1,,
.png,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.png,0,0,Exfiltration_Diagram.png,Exfiltration_Diagram.png.lnk,0,2016-06-21 12:17:42.0055390,
.pst,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pst,0,0,backup.pst,backup.pst.lnk,0,2016-06-21 13:15:00.0586280,
.xml,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.xml,0,0,nmapscan.xml,nmapscan.xml.lnk,0,2016-06-21 13:05:19.5884276,
Folder,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,1,1,Outlook,Outlook.lnk,0,2016-06-21 13:15:00.0710332,
Folder,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,0,0,Exfil,Exfil.lnk,1,,
