BagPath,Slot,NodeSlot,MRUPosition,AbsolutePath,ShellType,Value,ChildBags,CreatedOn,ModifiedOn,AccessedOn,LastWriteTime,MFTEntry,MFTSequenceNumber,ExtensionBlockCount,FirstInteracted,LastInteracted,HasExplored,Miscellaneous
BagMRU,0,0,4,Desktop\Control Panel,Root folder: GUID,Control Panel,4,,,,2016-06-21 13:18:09,,,0,,,False,
BagMRU,1,0,0,Desktop\My Computer,Root folder: GUID,My Computer,6,,,,2016-06-21 13:18:09,,,0,,2016-06-21 13:18:09,False,
BagMRU,2,0,1,Desktop\Shared Documents Folder (Users Files),Root folder: GUID,Shared Documents Folder (Users Files),5,,,,2016-06-21 13:18:09,,,1,,,False,
BagMRU,3,0,3,Desktop\Recent Places,Root folder: GUID,Recent Places,0,,,,2016-06-21 13:18:09,,,0,2016-06-21 11:48:35,,False,
BagMRU,4,0,2,Desktop\Computers and Devices,Root folder: GUID,Computers and Devices,1,,,,2016-06-21 13:18:09,,,0,,,False,
BagMRU\0,0,0,3,Desktop\Control Panel\Programs,Control Panel Category,Programs,1,,,,2016-06-21 09:24:19,,,0,,,False,
BagMRU\0,1,0,2,Desktop\Control Panel\System and Security,Control Panel Category,System and Security,1,,,,2016-06-21 09:24:19,,,0,,,False,
BagMRU\0,2,0,1,Desktop\Control Panel\Appearance and Personalization,Control Panel Category,Appearance and Personalization,1,,,,2016-06-21 09:24:19,,,0,,,False,
BagMRU\0,3,13,0,Desktop\Control Panel\All Control Panel Items,Control Panel Category,All Control Panel Items,3,,,,2016-06-21 09:24:19,,,0,,2016-06-21 09:24:19,True,
BagMRU\0\0,0,0,0,Desktop\Control Panel\Programs\Default Programs,GUID: Control panel,Default Programs,1,,,,2016-06-21 09:08:59,,,0,,2016-06-21 09:08:59,False,
BagMRU\0\0\0,0,0,0,Desktop\Control Panel\Programs\Default Programs\Set Default Programs,Variable: Users property view,Set Default Programs,1,,,,2016-06-21 09:08:59,,,0,,2016-06-21 09:08:59,False,
BagMRU\0\0\0\0,0,1,0,Desktop\Control Panel\Programs\Default Programs\Set Default Programs\Set Program Associations,Variable: Users property view,Set Program Associations,0,,,,2016-06-21 09:08:59,,,0,2016-06-21 09:08:59,2016-06-21 09:08:59,False,
BagMRU\0\1,0,2,0,Desktop\Control Panel\System and Security\System,GUID: Control panel,System,0,,,,2016-06-21 09:15:46,,,0,2016-06-21 09:15:46,2016-06-21 09:15:46,True,
BagMRU\0\2,0,3,0,Desktop\Control Panel\Appearance and Personalization\Personalization Control Panel,GUID: Control panel,Personalization Control Panel,0,,,,2016-06-21 09:15:59,,,0,2016-06-21 09:15:59,2016-06-21 09:15:59,True,
BagMRU\0\3,0,14,2,Desktop\Control Panel\All Control Panel Items\System Recovery,GUID: Control panel,System Recovery,0,,,,2016-06-21 09:25:23,,,0,2016-06-21 09:25:08,,True,
BagMRU\0\3,1,15,1,Desktop\Control Panel\All Control Panel Items\Power Options,GUID: Control panel,Power Options,0,,,,2016-06-21 09:25:23,,,0,2016-06-21 09:25:17,,True,
BagMRU\0\3,2,16,0,Desktop\Control Panel\All Control Panel Items\Windows Firewall,GUID: Control panel,Windows Firewall,0,,,,2016-06-21 09:25:23,,,0,2016-06-21 09:25:23,2016-06-21 09:25:23,True,
BagMRU\1,0,8,2,Desktop\My Computer\C:,Drive letter,C:,3,,,,2016-06-21 13:18:08,,,0,,,True,
BagMRU\1,1,6,1,Desktop\My Computer\Documents,Root folder: GUID,Documents,0,,,,2016-06-21 13:18:08,,,0,2016-06-21 09:18:54,,True,
BagMRU\1,2,7,0,Desktop\My Computer\Downloads,Root folder: GUID,Downloads,6,,,,2016-06-21 13:18:08,,,1,,2016-06-21 13:18:08,True,
BagMRU\1,3,17,5,Desktop\My Computer\Music,Root folder: GUID,Music,0,,,,2016-06-21 13:18:08,,,1,2016-06-21 09:28:34,,True,
BagMRU\1,4,18,3,Desktop\My Computer\Pictures,Root folder: GUID,Pictures,4,,,,2016-06-21 13:18:08,,,1,,,True,
BagMRU\1,5,31,4,Desktop\My Computer\E:,Drive letter,E:,1,,,,2016-06-21 13:18:08,,,0,,,True,
BagMRU\1\0,0,25,1,Desktop\My Computer\C:\Program Files (x86),Directory,Program Files (x86),1,2013-08-22 13:36:16,2016-06-21 09:18:28,2016-06-21 09:18:28,2016-06-21 01:45:52,1948,1,1,,,True,NTFS file system
BagMRU\1\0,1,9,0,Desktop\My Computer\C:\Users,Directory,Users,1,2013-08-22 13:36:16,2016-06-21 08:37:46,2016-06-21 08:37:46,2016-06-21 01:45:52,2121,1,1,,2016-06-21 01:45:52,True,NTFS file system
BagMRU\1\0,2,24,2,Desktop\My Computer\C:\PerfLogs,Directory,PerfLogs,0,2013-08-22 15:36:32,2013-08-22 15:22:36,2013-08-22 15:22:36,2016-06-21 01:45:52,60,1,1,2016-06-20 23:51:43,,False,NTFS file system
BagMRU\1\0\0,0,5,0,Desktop\My Computer\C:\Program Files (x86)\Notepad++,Directory,Notepad++,0,2016-06-21 09:18:28,2016-06-21 09:18:32,2016-06-21 09:18:32,2016-06-20 23:51:47,87563,1,1,2016-06-21 09:18:49,2016-06-20 23:51:47,False,NTFS file system
BagMRU\1\0\1,0,10,0,Desktop\My Computer\C:\Users\Hunter,Directory,Hunter,11,2016-06-21 08:37:46,2016-06-21 08:59:14,2016-06-21 08:59:14,2016-06-21 09:23:48,81358,1,1,,2016-06-21 09:23:48,True,NTFS file system
BagMRU\1\0\1\0,0,11,4,Desktop\My Computer\C:\Users\Hunter\Desktop,Directory,Desktop,0,2016-06-21 08:37:48,2016-06-21 08:37:54,2016-06-21 08:37:54,2016-06-21 13:14:00,81374,1,1,2016-06-21 09:23:50,,True,NTFS file system
BagMRU\1\0\1\0,1,26,6,Desktop\My Computer\C:\Users\Hunter\Dropbox,Directory,Dropbox,1,2016-06-21 01:50:12,2016-06-21 01:50:18,2016-06-21 01:50:18,2016-06-21 13:14:00,22438,3,1,,,True,NTFS file system
BagMRU\1\0\1\0,2,27,0,Desktop\My Computer\C:\Users\Hunter\Documents,Directory,Documents,2,2016-06-21 08:37:48,2016-06-20 23:58:10,2016-06-20 23:58:10,2016-06-21 13:14:00,81373,1,1,,2016-06-21 13:14:00,True,NTFS file system
BagMRU\1\0\1\0,3,34,1,Desktop\My Computer\C:\Users\Hunter\Downloads,Directory,Downloads,0,2016-06-21 08:37:48,2016-06-21 01:44:12,2016-06-21 01:44:12,2016-06-21 13:14:00,81372,1,1,2016-06-21 02:05:55,,False,NTFS file system
BagMRU\1\0\1\0,4,45,10,Desktop\My Computer\C:\Users\Hunter\New folder,Directory,New folder,0,2016-06-21 11:51:56,2016-06-21 11:51:56,2016-06-21 11:51:56,2016-06-21 13:14:00,110169,6,1,2016-06-21 11:51:55,,False,NTFS file system
BagMRU\1\0\1\0,5,46,8,Desktop\My Computer\C:\Users\Hunter\Info,Directory,Info,0,2016-06-21 11:51:56,2016-06-21 11:51:56,2016-06-21 11:51:56,2016-06-21 13:14:00,110169,6,1,2016-06-21 11:51:57,,True,NTFS file system
BagMRU\1\0\1\0,6,47,9,Desktop\My Computer\C:\Users\Hunter\Google Drive,Directory,Google Drive,0,2016-06-21 01:54:22,2016-06-21 02:04:50,2016-06-21 02:04:50,2016-06-21 13:14:00,1451,3,1,2016-06-21 11:52:38,,True,NTFS file system
BagMRU\1\0\1\0,7,48,7,Desktop\My Computer\C:\Users\Hunter\Tracing,Directory,Tracing,0,2016-06-21 08:59:14,2016-06-21 08:59:14,2016-06-21 08:59:14,2016-06-21 13:14:00,85216,2,1,2016-06-21 11:54:11,,True,NTFS file system
BagMRU\1\0\1\0,8,51,2,Desktop\My Computer\C:\Users\Hunter\Pictures,Directory,Pictures,1,,2016-06-21 12:01:44,2016-06-21 12:01:44,2016-06-21 13:14:00,81368,1,1,,,True,NTFS file system
BagMRU\1\0\1\0,9,53,3,Desktop\My Computer\C:\Users\Hunter\Links,Directory,Links,0,2016-06-21 08:37:48,2016-06-21 01:54:22,2016-06-21 01:54:22,2016-06-21 13:14:00,81370,1,1,2016-06-21 12:22:06,,True,NTFS file system
BagMRU\1\0\1\0,10,54,5,Desktop\My Computer\C:\Users\Hunter\Contacts,Directory,Contacts,0,2016-06-21 08:37:54,2016-06-21 08:37:54,2016-06-21 08:37:54,2016-06-21 13:14:00,81706,1,1,2016-06-21 12:22:09,,False,NTFS file system
BagMRU\1\0\1\0\1,0,50,0,Desktop\My Computer\C:\Users\Hunter\Dropbox\Info,Directory,Info,0,2016-06-21 11:52:28,2016-06-21 11:52:28,2016-06-21 11:52:28,2016-06-21 12:02:50,110198,3,1,2016-06-21 12:02:50,2016-06-21 12:02:50,True,NTFS file system
BagMRU\1\0\1\0\2,0,55,1,Desktop\My Computer\C:\Users\Hunter\Documents\Custom Office Templates,Directory,Custom Office Templates,0,2016-06-21 01:58:54,2016-06-21 01:58:54,2016-06-21 01:58:54,2016-06-21 13:14:00,23825,4,1,2016-06-21 12:25:57,,True,NTFS file system
BagMRU\1\0\1\0\2,1,58,0,Desktop\My Computer\C:\Users\Hunter\Documents\Outlook Files,Directory,Outlook Files,0,2016-06-21 13:13:42,2016-06-21 13:13:50,2016-06-21 13:13:50,2016-06-21 13:14:00,87317,10,1,2016-06-21 13:14:00,2016-06-21 13:14:00,False,NTFS file system
BagMRU\1\0\1\0\8,0,52,0,Desktop\My Computer\C:\Users\Hunter\Pictures\Exfil,Directory,Exfil,0,2016-06-21 09:37:38,2016-06-21 09:38:14,2016-06-21 09:38:14,2016-06-21 12:17:36,91546,3,1,2016-06-21 12:17:36,2016-06-21 12:17:36,True,NTFS file system
BagMRU\1\2,0,37,5,Desktop\My Computer\Downloads\Hash_Suite_Free_3_4.zip,File,Hash_Suite_Free_3_4.zip,1,2016-06-21 11:00:22,2016-06-21 11:00:44,2016-06-21 11:00:22,2016-06-21 13:18:09,0,,1,,,False,
BagMRU\1\2,1,39,4,Desktop\My Computer\Downloads\Hash_Suite_Free,Directory,Hash_Suite_Free,0,2015-04-29 04:16:18,2016-04-29 04:23:40,2016-04-29 04:23:40,2016-06-21 13:18:09,88807,10,1,2016-06-21 11:06:42,,True,NTFS file system
BagMRU\1\2,2,40,3,Desktop\My Computer\Downloads\New folder,Directory,New folder,0,2016-06-21 11:07:56,2016-06-21 11:07:56,2016-06-21 11:07:56,2016-06-21 13:18:09,89938,3,1,2016-06-21 11:07:54,,False,NTFS file system
BagMRU\1\2,3,41,2,Desktop\My Computer\Downloads\Ollydbg,Directory,Ollydbg,0,2016-06-21 11:07:56,2016-06-21 11:07:56,2016-06-21 11:07:56,2016-06-21 13:18:09,89938,3,1,2016-06-21 11:07:57,,True,NTFS file system
BagMRU\1\2,4,42,1,Desktop\My Computer\Downloads\SysinternalsSuite,Directory,SysinternalsSuite,0,2016-06-21 11:17:54,2016-06-21 11:18:04,2016-06-21 11:18:04,2016-06-21 13:18:09,90031,2,1,2016-06-21 11:19:31,,True,NTFS file system
BagMRU\1\2,5,60,0,Desktop\My Computer\Downloads\FTK-Imager,Directory,FTK-Imager,0,2016-06-21 02:06:06,2016-06-21 02:06:10,2016-06-21 02:06:10,2016-06-21 13:18:09,23863,3,1,2016-06-21 13:18:09,2016-06-21 13:18:09,False,NTFS file system
BagMRU\1\2\0,0,38,0,Desktop\My Computer\Downloads\Hash_Suite_Free_3_4.zip\Hash_Suite_Free,Zip file contents,Hash_Suite_Free,0,,,,2016-06-21 11:06:34,,,0,2016-06-21 11:06:34,2016-06-21 11:06:34,True,
BagMRU\1\4,0,19,1,Desktop\My Computer\Pictures\backgrounds,Directory,backgrounds,0,2016-06-21 09:35:16,2016-06-21 09:35:16,2016-06-21 09:35:16,2016-06-21 12:03:29,91667,4,1,2016-06-21 09:35:20,,True,NTFS file system
BagMRU\1\4,1,20,2,Desktop\My Computer\Pictures\Exfil,Directory,Exfil,0,2016-06-21 09:37:38,2016-06-21 09:37:38,2016-06-21 09:37:38,2016-06-21 12:03:29,91546,3,1,2016-06-21 09:37:46,,True,NTFS file system
BagMRU\1\4,2,21,0,Desktop\My Computer\Pictures\Private,Directory,Private,0,2016-06-21 09:43:18,2016-06-21 09:43:18,2016-06-21 09:43:18,2016-06-21 12:03:29,84953,4,1,2016-06-21 09:43:19,2016-06-21 12:03:29,True,NTFS file system
BagMRU\1\4,3,43,3,Desktop\My Computer\Pictures\fakeporn,Directory,fakeporn,0,2016-06-21 11:45:00,2016-06-21 11:45:00,2016-06-21 11:45:00,2016-06-21 12:03:29,109916,6,1,2016-06-21 11:45:05,,True,NTFS file system
BagMRU\1\5,0,32,0,Desktop\My Computer\E:\efi,Directory,efi,1,2014-04-16 04:18:06,2014-04-16 04:18:06,2014-04-15 07:00:00,2016-06-21 01:59:43,4608,,1,,2016-06-21 01:59:43,True,FAT file system
BagMRU\1\5\0,0,33,0,Desktop\My Computer\E:\efi\boot,Directory,boot,0,2014-04-16 04:18:06,2014-04-16 04:18:06,2014-04-15 07:00:00,2016-06-21 01:59:44,21056,,1,2016-06-21 01:59:44,2016-06-21 01:59:44,True,FAT file system
BagMRU\2,0,23,3,Desktop\Shared Documents Folder (Users Files)\Documents,Variable,Documents,0,,,,2016-06-21 13:14:07,,,0,2016-06-20 23:49:31,,False,
