RunTime,ExecutableName
2016-06-21 09:18:10,\DEVICE\HARDDISKVOLUME2\USERS\HUNTER\DOWNLOADS\7Z1602-X64.EXE
2016-06-21 09:43:04,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES\7-ZIP\7ZFM.EXE
2016-06-21 11:48:04,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES\7-ZIP\7ZG.EXE
2016-06-21 11:47:58,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES\7-ZIP\7ZG.EXE
2016-06-21 11:17:53,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES\7-ZIP\7ZG.EXE
2016-06-21 11:07:11,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES\7-ZIP\7ZG.EXE
2016-06-21 11:06:40,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES\7-ZIP\7ZG.EXE
2016-06-21 09:42:08,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES\7-ZIP\7ZG.EXE
2016-06-21 09:42:01,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES\7-ZIP\7ZG.EXE
2016-06-21 02:00:01,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES (X86)\ADOBE\ACROBAT READER DC\READER\ACRORD32.EXE
2016-06-21 01:59:27,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES (X86)\ADOBE\ACROBAT READER DC\READER\ACRORD32.EXE
2016-06-21 01:59:05,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES (X86)\ADOBE\ACROBAT READER DC\READER\ACRORD32.EXE
2016-06-20 23:59:38,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES (X86)\ADOBE\ACROBAT READER DC\READER\ACRORD32.EXE
2016-06-20 23:52:57,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES (X86)\ADOBE\ACROBAT READER DC\READER\ACRORD32.EXE
2016-06-20 23:51:29,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES (X86)\ADOBE\ACROBAT READER DC\READER\ACRORD32.EXE
2016-06-20 23:51:20,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES (X86)\ADOBE\ACROBAT READER DC\READER\ACRORD32.EXE
2016-06-20 23:49:39,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES (X86)\ADOBE\ACROBAT READER DC\READER\ACRORD32.EXE
2016-06-21 11:44:55,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES (X86)\JETICO\BCWIPE\BCRESIDENT.EXE
2016-06-21 12:02:35,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES (X86)\JETICO\BCWIPE\BCWIPE.EXE
2016-06-21 12:02:39,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES (X86)\JETICO\BCWIPE\BCWIPE.EXE
2016-06-21 12:01:35,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES (X86)\JETICO\BCWIPE\BCWIPE.EXE
2016-06-21 12:01:00,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES (X86)\JETICO\BCWIPE\BCWIPE.EXE
2016-06-21 12:00:56,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES (X86)\JETICO\BCWIPE\BCWIPE.EXE
