Name,BatchKeyPath,Description,BatchValueName,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
.NET CLR Data,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Disabled,Adapter,2013-08-22 15:37:09.8125661,,,,,
.NET CLR Networking,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Disabled,Adapter,2013-08-22 15:37:09.8125661,,,,,
.NET CLR Networking 4.0.0.0,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Disabled,Adapter,2013-08-22 15:37:09.8281909,,,,,
.NET Data Provider for Oracle,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Disabled,Adapter,2013-08-22 15:37:09.8281909,,,,,
.NET Data Provider for SqlServer,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Disabled,Adapter,2013-08-22 15:37:09.8125661,,,,,
.NET Memory Cache 4.0,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Disabled,Adapter,2013-08-22 15:37:09.8281909,,,,,
.NETFramework,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Disabled,Adapter,2013-08-22 15:37:09.8281909,,,,,
1394ohci,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,"@1394.inf,%PCI\CC_0C0010.DeviceDesc%;1394 OHCI Compliant Host Controller",Manual,KernelDriver,2013-08-22 14:47:55.8997343,,,\SystemRoot\System32\drivers\1394ohci.sys,,
3ware,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Boot,KernelDriver,2016-06-21 08:14:37.8961764,2013-08-22 15:33:19.7344451,SCSI miniport,System32\drivers\3ware.sys,,
ACPI,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,"@acpi.inf,%ACPI.SvcDesc%;Microsoft ACPI Driver",Boot,KernelDriver,2016-06-21 11:40:41.5748230,2013-08-22 14:44:30.7153538,Core,System32\drivers\ACPI.sys,,
acpiex,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,Microsoft ACPIEx Driver,Boot,KernelDriver,2013-08-22 14:44:30.6996607,2013-08-22 14:44:30.6996607,Boot Bus Extender,System32\Drivers\acpiex.sys,,
acpipagr,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,"@acpipagr.inf,%SvcDesc%;ACPI Processor Aggregator Driver",Manual,KernelDriver,2013-08-22 14:47:56.4778613,,,\SystemRoot\System32\drivers\acpipagr.sys,,
AcpiPmi,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,"@acpipmi.inf,%AcpiPmi.SvcDesc%;ACPI Power Meter Driver",Manual,KernelDriver,2013-08-22 14:47:56.6184871,,,\SystemRoot\System32\drivers\acpipmi.sys,,
acpitime,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,"@acpitime.inf,%AcpiTime.SvcDesc%;ACPI Wake Alarm Driver",Manual,KernelDriver,2013-08-22 15:33:28.2813206,,Extended Base,\SystemRoot\System32\drivers\acpitime.sys,,
AdobeARMservice,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,Adobe Acrobat Updater keeps your Adobe software up to date.,None,Adobe Acrobat Update Service,Automatic,Win32OwnProcess,2016-06-21 09:20:24.6047721,,,"""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe""",,
ADP80XX,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Boot,KernelDriver,2016-06-21 08:14:37.8961764,2013-08-22 15:33:22.1406918,SCSI Miniport,System32\drivers\ADP80XX.SYS,,
adsi,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Disabled,Adapter,2013-08-22 15:37:09.8281909,,,,,
ad_driver,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,AccessData Driver,Manual,KernelDriver,2016-06-21 13:18:45.7508404,,,\??\C:\Users\Hunter\AppData\Local\Temp\ad_driver.sys,,
AeLookupSvc,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\system32\aelupsvc.dll,-2",None,"@%SystemRoot%\system32\aelupsvc.dll,-1",Manual,Win32ShareProcess,2013-08-22 15:37:10.2969410,2013-08-22 15:37:09.7813154,,%systemroot%\system32\svchost.exe -k netsvcs,,SeTcbPrivilege SeImpersonatePrivilege
AFD,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%systemroot%\system32\drivers\afd.sys,-1000",None,"@%systemroot%\system32\drivers\afd.sys,-1000",System,KernelDriver,2013-08-22 13:25:43.5202917,2013-08-22 13:25:43.4890351,PNP_TDI,\SystemRoot\system32\drivers\afd.sys,,
agp440,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,"@machine.inf,%agp440_svcdesc%;Intel AGP Bus Filter",Boot,KernelDriver,2016-06-21 08:14:37.8961764,,PnP Filter,System32\drivers\agp440.sys,,
ahcache,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%systemroot%\system32\drivers\ahcache.sys,-101",None,"@%systemroot%\system32\drivers\ahcache.sys,-102",System,KernelDriver,2013-08-22 15:37:10.2813158,,,system32\DRIVERS\ahcache.sys,,
ALG,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\system32\Alg.exe,-113",None,"@%SystemRoot%\system32\Alg.exe,-112",Manual,Win32OwnProcess,2013-08-22 15:37:10.2813158,,,%SystemRoot%\System32\alg.exe,,SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege
AmdK8,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,"@cpu.inf,%AmdK8.SvcDesc%;AMD K8 Processor Driver",Manual,KernelDriver,2013-08-22 15:33:18.2188191,,Extended Base,\SystemRoot\System32\drivers\amdk8.sys,,
AmdPPM,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,"@cpu.inf,%AmdPPM.SvcDesc%;AMD Processor Driver",Manual,KernelDriver,2013-08-22 15:33:18.2500683,,Extended Base,\SystemRoot\System32\drivers\amdppm.sys,,
amdsata,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Boot,KernelDriver,2016-06-21 08:14:37.8961764,2013-08-22 15:33:21.6406964,SCSI miniport,System32\drivers\amdsata.sys,,
amdsbs,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Boot,KernelDriver,2016-06-21 08:14:37.8961764,2013-08-22 15:33:21.6719428,SCSI miniport,System32\drivers\amdsbs.sys,,
amdxata,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Boot,KernelDriver,2016-06-21 08:14:37.8961764,2013-08-22 15:33:21.6406964,SCSI miniport,System32\drivers\amdxata.sys,,
