Id,Timestamp,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,UserId,AppId,ConnectedTime,ConnectStartTime,InterfaceLuid,InterfaceType,L2ProfileFlags,L2ProfileId,ProfileName
8,2016-06-21 00:00:00,,,,UnknownOrUserSid,,,2,1,681,2016-06-20 23:48:38.5855341,1688849860263936,IF_TYPE_ETHERNET_CSMACD,0,0,
9,2016-06-21 00:00:00,,,,UnknownOrUserSid,,,2,1,674,2016-06-20 23:48:46.0076785,36873221965873152,IF_TYPE_TUNNEL,0,0,
10,2016-06-21 01:00:00,,,,UnknownOrUserSid,,,2,1,4281,2016-06-20 23:48:38.5855341,1688849860263936,IF_TYPE_ETHERNET_CSMACD,0,0,
11,2016-06-21 01:00:00,,,,UnknownOrUserSid,,,2,1,4274,2016-06-20 23:48:46.0076785,36873221965873152,IF_TYPE_TUNNEL,0,0,
12,2016-06-21 01:34:43,,,,UnknownOrUserSid,,,2,1,6321,2016-06-20 23:48:38.5855341,1688849860263936,IF_TYPE_ETHERNET_CSMACD,0,0,
13,2016-06-21 01:34:43,,,,UnknownOrUserSid,,,2,1,6313,2016-06-20 23:48:46.0076785,36873221965873152,IF_TYPE_TUNNEL,0,0,
14,2016-06-21 02:00:00,,,,UnknownOrUserSid,,,2,1,1122,2016-06-21 01:41:18.0433263,1688849860263936,IF_TYPE_ETHERNET_CSMACD,0,0,
15,2016-06-21 02:00:00,,,,UnknownOrUserSid,,,2,1,1118,2016-06-21 01:41:21.9026977,36873221965873152,IF_TYPE_TUNNEL,0,0,
16,2016-06-21 02:24:00,,,,UnknownOrUserSid,,,2,1,2561,2016-06-21 01:41:18.0433263,1688849860263936,IF_TYPE_ETHERNET_CSMACD,0,0,
17,2016-06-21 02:24:00,,,,UnknownOrUserSid,,,2,1,2558,2016-06-21 01:41:21.9026977,36873221965873152,IF_TYPE_TUNNEL,0,0,
1,2016-06-21 08:18:54,,,,UnknownOrUserSid,,,2,1,158,2016-06-21 08:15:21.9747945,1688849860263936,IF_TYPE_ETHERNET_CSMACD,0,0,
2,2016-06-21 09:00:00,,,,UnknownOrUserSid,,,2,1,58,2016-06-21 08:30:03.6029355,1688849860263936,IF_TYPE_ETHERNET_CSMACD,0,0,
3,2016-06-21 09:00:00,,,,UnknownOrUserSid,,,2,1,55,2016-06-21 08:30:06.8215408,36873221965873152,IF_TYPE_TUNNEL,0,0,
4,2016-06-21 09:00:00,,,,UnknownOrUserSid,,,2,1,1287,2016-06-21 08:38:32.6968034,1688849860263936,IF_TYPE_ETHERNET_CSMACD,0,0,
5,2016-06-21 09:00:00,,,,UnknownOrUserSid,,,2,1,1284,2016-06-21 08:38:35.7742860,36873221965873152,IF_TYPE_TUNNEL,0,0,
6,2016-06-21 09:47:50,,,,UnknownOrUserSid,,,2,1,4107,2016-06-21 08:38:32.6968034,1688849860263936,IF_TYPE_ETHERNET_CSMACD,0,0,
7,2016-06-21 09:47:50,,,,UnknownOrUserSid,,,2,1,4104,2016-06-21 08:38:35.7742860,36873221965873152,IF_TYPE_TUNNEL,0,0,
18,2016-06-21 11:00:00,,,,UnknownOrUserSid,,,2,1,2569,2016-06-21 01:41:18.0433263,1688849860263936,IF_TYPE_ETHERNET_CSMACD,0,0,
19,2016-06-21 11:00:00,,,,UnknownOrUserSid,,,2,1,2565,2016-06-21 01:41:21.9026977,36873221965873152,IF_TYPE_TUNNEL,0,0,
20,2016-06-21 11:00:00,,,,UnknownOrUserSid,,,2,1,30947,2016-06-21 02:24:12.0660099,1688849860263936,IF_TYPE_ETHERNET_CSMACD,0,0,
21,2016-06-21 11:00:00,,,,UnknownOrUserSid,,,2,1,30947,2016-06-21 02:24:12.1555158,36873221965873152,IF_TYPE_TUNNEL,0,0,
22,2016-06-21 11:59:00,,,,UnknownOrUserSid,,,2,1,34487,2016-06-21 02:24:12.0660099,1688849860263936,IF_TYPE_ETHERNET_CSMACD,0,0,
23,2016-06-21 11:59:00,,,,UnknownOrUserSid,,,2,1,34487,2016-06-21 02:24:12.1555158,36873221965873152,IF_TYPE_TUNNEL,0,0,
24,2016-06-21 13:00:00,,,,UnknownOrUserSid,,,2,1,37865,2016-06-21 02:24:12.0660099,1688849860263936,IF_TYPE_ETHERNET_CSMACD,0,0,
25,2016-06-21 13:00:00,,,,UnknownOrUserSid,,,2,1,37865,2016-06-21 02:24:12.1555158,36873221965873152,IF_TYPE_TUNNEL,0,0,
26,2016-06-21 13:00:00,,,,UnknownOrUserSid,,,2,1,113,2016-06-21 12:58:06.3678716,1688849860263936,IF_TYPE_ETHERNET_CSMACD,0,0,
27,2016-06-21 13:00:00,,,,UnknownOrUserSid,,,2,1,113,2016-06-21 12:58:06.5073194,36873221965873152,IF_TYPE_TUNNEL,0,0,
