SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,DestListVersion,LastUsedEntryNumber,MRU,EntryNumber,CreationTime,LastModified,Hostname,MacAddress,Path,InteractionCount,PinStatus,FileBirthDroid,FileDroid,VolumeBirthDroid,VolumeDroid,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments,Notes
M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\9b9cdc69c1c24e2b.automaticDestinations-ms,2015-12-12 03:23:34,2015-12-12 03:24:08,2021-08-30 11:06:10,9b9cdc69c1c24e2b,Notepad 64-bit,1,2,0,2,2015-12-12 03:21:58,2015-12-12 03:24:08,敳獮楥,08:00:27:49:97:16,C:\Tools\README.txt,0,False,80aed7df-a07f-11e5-8252-080027499716,80aed7df-a07f-11e5-8252-080027499716,e40e54fc-5b05-4207-af45-d66911556b00,e40e54fc-5b05-4207-af45-d66911556b00,2015-12-12 03:24:04,2015-12-12 03:24:04,2015-12-12 03:24:04,0,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),049DF4C9,,C:\Tools\README.txt,,My Computer\C:\Tools\README.txt,0x14A86,0x1,sensei,08:00:27:49:97:16,2015-12-12 03:21:58,"PropertyStoreDataBlock, TrackerDataBaseBlock",,
M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\9b9cdc69c1c24e2b.automaticDestinations-ms,2015-12-12 03:23:34,2015-12-12 03:24:08,2021-08-30 11:06:10,9b9cdc69c1c24e2b,Notepad 64-bit,1,2,1,1,2015-12-12 03:21:58,2015-12-12 03:23:34,敳獮楥,08:00:27:49:97:16,C:\Users\master\Desktop\Docs\README.txt,0,False,80aed7dd-a07f-11e5-8252-080027499716,80aed7dd-a07f-11e5-8252-080027499716,e40e54fc-5b05-4207-af45-d66911556b00,e40e54fc-5b05-4207-af45-d66911556b00,2015-12-12 03:23:31,2015-12-12 03:23:31,2015-12-12 03:23:31,0,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),049DF4C9,,C:\Users\master\Desktop\Docs\README.txt,,My Computer\C:\Users\master\Desktop\Docs\README.txt,0x14A7B,0x1,sensei,08:00:27:49:97:16,2015-12-12 03:21:58,"PropertyStoreDataBlock, TrackerDataBaseBlock",,
M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2015-12-12 03:22:43,2015-12-12 03:24:08,2021-08-30 11:06:10,f01b4d95cf55d32a,Windows Explorer Windows 8.1,1,6,0,6,2015-12-12 03:21:58,2015-12-12 03:24:08,敳獮楥,08:00:27:49:97:16,C:\Tools,0,False,80aed7e1-a07f-11e5-8252-080027499716,80aed7e1-a07f-11e5-8252-080027499716,e40e54fc-5b05-4207-af45-d66911556b00,e40e54fc-5b05-4207-af45-d66911556b00,2015-12-12 03:23:52,2015-12-12 03:24:08,2015-12-12 03:24:08,0,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),049DF4C9,,C:\Tools,,My Computer\C:\Tools,0x14A81,0x1,sensei,08:00:27:49:97:16,2015-12-12 03:21:58,"PropertyStoreDataBlock, TrackerDataBaseBlock",,
M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2015-12-12 03:22:43,2015-12-12 03:24:08,2021-08-30 11:06:10,f01b4d95cf55d32a,Windows Explorer Windows 8.1,1,6,1,5,2015-12-12 02:20:53,2015-12-12 03:23:34,敳獮楥,08:00:27:49:97:16,C:\Users\master\Desktop\Docs,0,False,f82cf0da-a076-11e5-8250-080027499716,f82cf0da-a076-11e5-8250-080027499716,e40e54fc-5b05-4207-af45-d66911556b00,e40e54fc-5b05-4207-af45-d66911556b00,2015-12-12 03:08:30,2015-12-12 03:23:33,2015-12-12 03:23:33,0,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),049DF4C9,,C:\Users\master\Desktop\Docs,,My Computer\C:\Users\master\Desktop\Docs,0xC72C,0x2,sensei,08:00:27:49:97:16,2015-12-12 02:20:53,"PropertyStoreDataBlock, TrackerDataBaseBlock",,
M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2015-12-12 03:22:43,2015-12-12 03:24:08,2021-08-30 11:06:10,f01b4d95cf55d32a,Windows Explorer Windows 8.1,1,6,2,4,2015-12-12 03:21:58,2015-12-12 03:22:43,敳獮楥,08:00:27:49:97:16,::{031E4825-7B94-4DC3-B131-E946B44C8DD5}\Videos.library-ms ==> User Libraries\Videos.library-ms,0,False,80aed7b9-a07f-11e5-8252-080027499716,80aed7b9-a07f-11e5-8252-080027499716,e40e54fc-5b05-4207-af45-d66911556b00,e40e54fc-5b05-4207-af45-d66911556b00,2015-12-12 03:22:40,2015-12-12 03:22:40,2015-12-12 03:22:40,2013,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),049DF4C9,,C:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Libraries\Videos.library-ms,,User Libraries\Videos,,,sensei,08:00:27:49:97:16,2015-12-12 03:21:58,"PropertyStoreDataBlock, TrackerDataBaseBlock",,
M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2015-12-12 03:22:43,2015-12-12 03:24:08,2021-08-30 11:06:10,f01b4d95cf55d32a,Windows Explorer Windows 8.1,1,6,3,3,2015-12-12 03:21:58,2015-12-12 03:22:43,敳獮楥,08:00:27:49:97:16,::{031E4825-7B94-4DC3-B131-E946B44C8DD5}\Music.library-ms ==> User Libraries\Music.library-ms,0,False,80aed7b8-a07f-11e5-8252-080027499716,80aed7b8-a07f-11e5-8252-080027499716,e40e54fc-5b05-4207-af45-d66911556b00,e40e54fc-5b05-4207-af45-d66911556b00,2015-12-12 03:22:40,2015-12-12 03:22:40,2015-12-12 03:22:40,2006,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),049DF4C9,,C:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Libraries\Music.library-ms,,User Libraries\Music,,,sensei,08:00:27:49:97:16,2015-12-12 03:21:58,"PropertyStoreDataBlock, TrackerDataBaseBlock",,
M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2015-12-12 03:22:43,2015-12-12 03:24:08,2021-08-30 11:06:10,f01b4d95cf55d32a,Windows Explorer Windows 8.1,1,6,4,2,2015-12-12 03:21:58,2015-12-12 03:22:43,敳獮楥,08:00:27:49:97:16,::{031E4825-7B94-4DC3-B131-E946B44C8DD5}\Pictures.library-ms ==> User Libraries\Pictures.library-ms,0,False,80aed7b7-a07f-11e5-8252-080027499716,80aed7b7-a07f-11e5-8252-080027499716,e40e54fc-5b05-4207-af45-d66911556b00,e40e54fc-5b05-4207-af45-d66911556b00,2015-12-12 03:22:40,2015-12-12 03:22:40,2015-12-12 03:22:40,2024,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),049DF4C9,,C:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Libraries\Pictures.library-ms,,User Libraries\Pictures,,,sensei,08:00:27:49:97:16,2015-12-12 03:21:58,"PropertyStoreDataBlock, TrackerDataBaseBlock",,
M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2015-12-12 03:22:43,2015-12-12 03:24:08,2021-08-30 11:06:10,f01b4d95cf55d32a,Windows Explorer Windows 8.1,1,6,5,1,2015-12-12 03:21:58,2015-12-12 03:22:43,敳獮楥,08:00:27:49:97:16,::{031E4825-7B94-4DC3-B131-E946B44C8DD5}\Documents.library-ms ==> User Libraries\Documents.library-ms,0,False,80aed7b6-a07f-11e5-8252-080027499716,80aed7b6-a07f-11e5-8252-080027499716,e40e54fc-5b05-4207-af45-d66911556b00,e40e54fc-5b05-4207-af45-d66911556b00,2015-12-12 03:22:40,2015-12-12 03:22:40,2015-12-12 03:22:40,2028,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),049DF4C9,,C:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Libraries\Documents.library-ms,,User Libraries\Documents,,,sensei,08:00:27:49:97:16,2015-12-12 03:21:58,"PropertyStoreDataBlock, TrackerDataBaseBlock",,
M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Users\master\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\7e4dca80246863e3.automaticDestinations-ms,2015-12-12 03:05:09,2015-12-12 03:05:09,2021-08-30 11:06:10,7e4dca80246863e3,Control Panel - Settings,1,1,0,1,,2015-12-12 03:05:09,,,::{26EE0668-A00A-44D7-9371-BEB064C98683}\1\::{C555438B-3C23-4769-A71F-B6D3D9B6053A}\Settings ==> Control Panel\1\Display\Settings,0,False,,,,,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,Control Panel\Appearance and Personalization\Display\Screen Resolution,,,,,,PropertyStoreDataBlock,,
M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Users\master\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\9b9cdc69c1c24e2b.automaticDestinations-ms,2015-12-12 03:09:00,2015-12-12 03:27:23,2021-08-30 11:06:10,9b9cdc69c1c24e2b,Notepad 64-bit,1,3,0,3,2015-12-12 03:21:58,2015-12-12 03:27:23,敳獮楥,08:00:27:49:97:16,C:\Tools\README.txt,0,False,80aed7df-a07f-11e5-8252-080027499716,80aed7df-a07f-11e5-8252-080027499716,e40e54fc-5b05-4207-af45-d66911556b00,e40e54fc-5b05-4207-af45-d66911556b00,2015-12-12 03:24:04,2015-12-12 03:24:39,2015-12-12 03:24:04,69,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),049DF4C9,,C:\Tools\README.txt,,My Computer\C:\Tools\README.txt,0x14A86,0x1,sensei,08:00:27:49:97:16,2015-12-12 03:21:58,"PropertyStoreDataBlock, TrackerDataBaseBlock",,
