ProgramName,ProgramID,VolumeID,VolumeIDLastWriteTimestamp,FileID,FileIDLastWriteTimestamp,SHA1,FullPath,FileExtension,MFTEntryNumber,MFTSequenceNumber,FileSize,FileVersionString,FileVersionNumber,FileDescription,SizeOfImage,PEHeaderHash,PEHeaderChecksum,BinProductVersion,BinFileVersion,LinkerVersion,BinaryType,IsLocal,GuessProgramID,Created,LastModified,LastModifiedStore,LinkDate,LanguageID,ProductName,CompanyName,SwitchBackContext
Unassociated,,a08efec3-a076-11e5-824f-806e6f6e6963,2015-12-11 17:31:00,1000046d8,2015-12-12 03:04:00,cbb6623059cc31c6160b59a7a9955630721b4192,C:\Program Files\Windows Defender\MpCmdRun.exe,.exe,18136,1,,,,,,,,0,0,0,0,1,0,,,2013-08-22 12:32:00,,,,,
Unassociated,,a08efec3-a076-11e5-824f-806e6f6e6963,2015-12-11 17:31:00,1000046e1,2015-12-12 03:03:57,55e9859aa7dba87678e7c529b571fdf6b7181339,C:\Program Files\Windows Defender\MsMpEng.exe,.exe,18145,1,,,,,,,,0,0,0,0,1,0,,,2013-08-22 12:32:00,,,,,
Unassociated,,a08efec3-a076-11e5-824f-806e6f6e6963,2015-12-11 17:31:00,1000046eb,2015-12-12 03:03:58,61360d03bf042e6b114fa756aeaedf06fcc00c14,C:\Program Files\Windows Defender\NisSrv.exe,.exe,18155,1,,,,,,,,0,0,0,0,1,0,,,2013-08-22 12:32:01,,,,,
Unassociated,,a08efec3-a076-11e5-824f-806e6f6e6963,2015-12-11 17:31:00,10000760a,2015-12-12 03:04:00,2fd807ac9a6abd1c4fbe1f14922731b3eda213ff,C:\Windows\explorer.exe,.exe,30218,1,,,,,,,,0,0,0,0,1,0,,,2014-03-18 10:05:20,,,,,
Unassociated,,a08efec3-a076-11e5-824f-806e6f6e6963,2015-12-11 17:31:00,10000a0a3,2015-12-12 03:03:55,c79e4586989ebb8e8f8084b5eb49afbfd243a625,C:\Windows\System32\csrss.exe,.exe,41123,1,,,,,,,,0,0,0,0,1,0,,,2013-08-22 13:25:40,,,,,
Unassociated,,a08efec3-a076-11e5-824f-806e6f6e6963,2015-12-11 17:31:00,10000a19b,2015-12-12 03:04:00,42ee69ea7a75800da5b2104f2b30907d9ff0b50f,C:\Windows\System32\dllhost.exe,.exe,41371,1,,,,,,,,0,0,0,0,1,0,,,2013-08-22 12:35:25,,,,,
Unassociated,,a08efec3-a076-11e5-824f-806e6f6e6963,2015-12-11 17:31:00,10000a1f0,2015-12-12 03:03:57,b01ccc4ad883516bc18bf9ee36db49286e5e8dd0,C:\Windows\System32\dwm.exe,.exe,41456,1,,,,,,,,0,0,0,0,1,0,,,2014-03-18 10:05:24,,,,,
Unassociated,,a08efec3-a076-11e5-824f-806e6f6e6963,2015-12-11 17:31:00,10000a541,2015-12-12 03:03:59,00e95fd493d6169db28a4dc736173efc135f8391,C:\Windows\System32\LogonUI.exe,.exe,42305,1,,,,,,,,0,0,0,0,1,0,,,2013-08-22 11:32:21,,,,,
Unassociated,,a08efec3-a076-11e5-824f-806e6f6e6963,2015-12-11 17:31:00,10000a549,2015-12-12 03:03:56,bcbce61852df6cc59f897c78471c222e564b32b3,C:\Windows\System32\lsass.exe,.exe,42313,1,,,,,,,,0,0,0,0,1,0,,,2013-08-22 13:25:35,,,,,
Unassociated,,a08efec3-a076-11e5-824f-806e6f6e6963,2015-12-11 17:31:00,10000a8b7,2015-12-12 03:04:00,7c341e51a38b93e4fe329f0f2ef6f0a5fe94cb44,C:\Windows\System32\rundll32.exe,.exe,43191,1,,,,,,,,0,0,0,0,1,0,,,2013-08-22 11:03:41,,,,,
