SourceFile,SourceCreated,SourceModified,SourceAccessed,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,NetworkPath,CommonPath,Arguments,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,MACVendor,TrackerCreatedOn,ExtraBlocksPresent
M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\ProgramData\Microsoft\Windows\Start Menu\Programs\Camera.lnk,2013-08-22 06:57:22,2013-08-22 06:57:21,2021-08-30 11:06:11,,,,0,,%HOMEDRIVE%%HOMEPATH%,0,"HasName, HasWorkingDir, HasIconLocation, IsUnicode, ForceNoLinkInfo, HasExpString, PreferEnvironmentPath",(None),,,,,,,,,,,,,,"PropertyStoreDataBlock, EnvironmentVariableDataBlock"
M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\ProgramData\Microsoft\Windows\Start Menu\Programs\Desktop.lnk,2013-08-22 06:57:05,2013-08-22 06:57:05,2021-08-30 11:06:11,,,,0,,,0,"HasTargetIdList, HasName, HasIconLocation, IsUnicode, ForceNoLinkInfo",(None),,,,,,,Show Desktop,,,,,,,PropertyStoreDataBlock
M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\ProgramData\Microsoft\Windows\Start Menu\Programs\FileManager.lnk,2014-03-18 10:05:34,2014-03-18 10:05:34,2021-08-30 11:06:11,,,,0,,%HOMEDRIVE%%HOMEPATH%,0,"HasName, HasWorkingDir, HasIconLocation, IsUnicode, ForceNoLinkInfo, HasExpString, PreferEnvironmentPath",(None),,,,,,,,,,,,,,"PropertyStoreDataBlock, EnvironmentVariableDataBlock"
M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\ProgramData\Microsoft\Windows\Start Menu\Programs\Immersive Control Panel.lnk,2013-08-22 06:54:10,2013-08-22 06:54:10,2021-08-30 11:06:11,,,,0,,%HOMEDRIVE%%HOMEPATH%,0,"HasName, HasWorkingDir, HasIconLocation, IsUnicode, ForceNoLinkInfo, HasExpString, PreferEnvironmentPath",(None),,,,,,,,,,,,,,"PropertyStoreDataBlock, EnvironmentVariableDataBlock"
M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\ProgramData\Microsoft\Windows\Start Menu\Programs\PhotosApp.lnk,2013-08-22 06:57:08,2013-08-22 06:57:07,2021-08-30 11:06:11,,,,0,,%HOMEDRIVE%%HOMEPATH%,0,"HasName, HasWorkingDir, HasIconLocation, IsUnicode, ForceNoLinkInfo, HasExpString, PreferEnvironmentPath",(None),,,,,,,,,,,,,,"PropertyStoreDataBlock, EnvironmentVariableDataBlock"
M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\ProgramData\Microsoft\Windows\Start Menu\Programs\Search.lnk,2013-08-22 06:45:50,2013-08-22 06:45:50,2021-08-30 11:06:11,,,,0,,,0,"HasArguments, HasIconLocation, IsUnicode, ForceNoLinkInfo, HasExpString, PreferEnvironmentPath",(None),,,,,,-sta {C90FB8CA-3295-4462-A721-2935E83694BA},,,,,,,,"PropertyStoreDataBlock, EnvironmentVariableDataBlock"
M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Store.lnk,2013-08-22 06:48:43,2013-08-22 06:48:47,2021-08-30 11:06:11,,,,0,,%HOMEDRIVE%%HOMEPATH%,0,"HasName, HasWorkingDir, HasIconLocation, IsUnicode, ForceNoLinkInfo, HasExpString, PreferEnvironmentPath",(None),,,,,,,,,,,,,,"PropertyStoreDataBlock, EnvironmentVariableDataBlock"
M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Users\Administrator\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\Shows Desktop.lnk,2015-12-12 03:22:19,2013-08-22 06:54:22,2021-08-30 11:06:11,,,,0,,,0,"HasTargetIdList, HasName, HasIconLocation, IsUnicode, ForceNoLinkInfo",(None),,,,,,,Show Desktop,,,,,,,PropertyStoreDataBlock
M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Users\Administrator\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\Window Switcher.lnk,2015-12-12 03:22:19,2013-08-22 06:54:22,2021-08-30 11:06:11,,,,0,,,0,"HasTargetIdList, HasName, HasIconLocation, IsUnicode, ForceNoLinkInfo",(None),,,,,,,Window Switcher,,,,,,,PropertyStoreDataBlock
M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\Docs.lnk,2015-12-12 03:23:34,2015-12-12 03:23:34,2021-08-30 11:06:11,2015-12-12 03:08:30,2015-12-12 03:23:33,2015-12-12 03:23:33,0,..\..\..\..\..\..\master\Desktop\Docs,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),049DF4C9,,C:\Users\master\Desktop\Docs,,,,My Computer\C:\Users\master\Desktop\Docs,0xC72C,0x2,sensei,08:00:27:49:97:16,PCS SYSTEMTECHNIK,2015-12-12 02:20:53,"PropertyStoreDataBlock, TrackerDataBaseBlock"
