ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,0,SYSVOL\Windows\System32\rundll32.exe,2013-08-22 11:03:41,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,1,SYSVOL\Windows\System32\wbem\WmiPrvSE.exe,2013-08-22 11:45:14,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,2,SYSVOL\Windows\System32\SearchFilterHost.exe,2014-03-18 10:05:49,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,3,SYSVOL\Windows\System32\LogonUI.exe,2013-08-22 11:32:21,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,4,SYSVOL\Windows\System32\sppsvc.exe,2014-03-18 10:05:07,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,5,SYSVOL\Windows\WinStore\WSHost.exe,2014-03-18 10:05:55,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,6,SYSVOL\Windows\System32\wbem\WMIADAP.exe,2013-08-22 11:44:42,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,7,SYSVOL\Program Files\Oracle\VirtualBox Guest Additions\uninst.exe,2015-11-10 17:01:36,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,8,SYSVOL\Windows\System32\takeown.exe,2013-08-22 11:21:24,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,9,SYSVOL\Program Files\Oracle\VirtualBox Guest Additions\VBoxDrvInst.exe,2015-11-10 16:59:54,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,10,SYSVOL\Windows\System32\ThumbnailExtractionHost.exe,2013-08-22 11:01:57,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,11,SYSVOL\Windows\System32\drvinst.exe,2013-08-22 11:28:57,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,12,SYSVOL\Windows\System32\sc.exe,2013-08-22 10:03:11,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,13,D:\VBOXWINDOWSADDITIONS-AMD64.EXE,2015-11-10 18:02:07,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,14,SYSVOL\Windows\System32\dllhost.exe,2013-08-22 12:35:25,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,15,SYSVOL\Windows\System32\consent.exe,2013-08-22 12:44:43,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,16,D:\VBoxWindowsAdditions.exe,2015-11-10 17:56:40,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,17,SYSVOL\Program Files\Windows Defender\NisSrv.exe,2013-08-22 12:32:01,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,18,SYSVOL\Windows\System32\notepad.exe,2013-08-22 11:00:12,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,19,SYSVOL\Windows\System32\mobsync.exe,2013-08-22 11:01:25,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,20,SYSVOL\Windows\System32\SearchProtocolHost.exe,2014-03-18 10:05:49,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,21,SYSVOL\Windows\System32\SearchIndexer.exe,2014-03-18 10:05:49,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,22,SYSVOL\Windows\System32\svchost.exe,2013-08-22 12:45:17,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,23,SYSVOL\Windows\System32\slui.exe,2013-08-22 10:43:18,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,24,SYSVOL\Windows\explorer.exe,2014-03-18 10:05:20,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,25,SYSVOL\Windows\System32\taskhost.exe,2014-03-18 10:05:00,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
