CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
0,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\rundll32.exe,AppCompatCache,2013-08-22 11:03:41.8766734
1,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\wbem\WmiPrvSE.exe,AppCompatCache,2013-08-22 11:45:14.6550812
2,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\SearchFilterHost.exe,AppCompatCache,2014-03-18 10:05:49.4778545
3,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\LogonUI.exe,AppCompatCache,2013-08-22 11:32:21.7094617
4,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\sppsvc.exe,AppCompatCache,2014-03-18 10:05:07.9622280
5,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\WinStore\WSHost.exe,AppCompatCache,2014-03-18 10:05:55.0559801
6,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\wbem\WMIADAP.exe,AppCompatCache,2013-08-22 11:44:42.5740259
7,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Program Files\Oracle\VirtualBox Guest Additions\uninst.exe,AppCompatCache,2015-11-10 17:01:36.0000000
8,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\takeown.exe,AppCompatCache,2013-08-22 11:21:24.6650566
9,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Program Files\Oracle\VirtualBox Guest Additions\VBoxDrvInst.exe,AppCompatCache,2015-11-10 16:59:54.0000000
10,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\ThumbnailExtractionHost.exe,AppCompatCache,2013-08-22 11:01:57.0858492
11,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\drvinst.exe,AppCompatCache,2013-08-22 11:28:57.5189312
12,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\sc.exe,AppCompatCache,2013-08-22 10:03:11.0027168
13,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,D:\VBOXWINDOWSADDITIONS-AMD64.EXE,AppCompatCache,2015-11-10 18:02:07.0000000
14,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\dllhost.exe,AppCompatCache,2013-08-22 12:35:25.3750709
15,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\consent.exe,AppCompatCache,2013-08-22 12:44:43.2113128
16,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,D:\VBoxWindowsAdditions.exe,AppCompatCache,2015-11-10 17:56:40.0000000
17,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Program Files\Windows Defender\NisSrv.exe,AppCompatCache,2013-08-22 12:32:01.0115625
18,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\notepad.exe,AppCompatCache,2013-08-22 11:00:12.5919275
19,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\mobsync.exe,AppCompatCache,2013-08-22 11:01:25.4892124
20,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\SearchProtocolHost.exe,AppCompatCache,2014-03-18 10:05:49.3528538
21,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\SearchIndexer.exe,AppCompatCache,2014-03-18 10:05:49.5559780
22,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\svchost.exe,AppCompatCache,2013-08-22 12:45:17.9041279
23,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\slui.exe,AppCompatCache,2013-08-22 10:43:18.7764004
24,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\explorer.exe,AppCompatCache,2014-03-18 10:05:20.8216057
25,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\taskhost.exe,AppCompatCache,2014-03-18 10:05:00.4934785
26,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\userinit.exe,AppCompatCache,2013-08-22 10:03:12.8467176
27,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\taskhostex.exe,AppCompatCache,2014-03-18 10:05:00.4778528
28,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\SppExtComObj.Exe,AppCompatCache,2013-08-22 10:51:10.9330182
29,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Program Files\Windows Defender\MsMpEng.exe,AppCompatCache,2013-08-22 12:32:00.7615657
30,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\spoolsv.exe,AppCompatCache,2013-08-22 09:10:12.2465167
31,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\dwm.exe,AppCompatCache,2014-03-18 10:05:24.6184778
32,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\lsass.exe,AppCompatCache,2013-08-22 13:25:35.7998969
33,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\services.exe,AppCompatCache,2013-08-22 13:25:40.7853341
34,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\net1.exe,AppCompatCache,2013-08-22 10:01:15.1245974
35,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\net.exe,AppCompatCache,2013-08-22 10:01:50.3821088
