Extension,BatchKeyPath,ValueName,BatchValueName,TargetName,LnkName,MruPosition,OpenedOn,ExtensionLastOpened
RecentDocs,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,3,3,Tools,Tools.lnk,0,2015-12-12 03:27:23.2578230,2015-12-12 03:27:23.2578230
RecentDocs,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,2,2,README.txt,README.lnk,1,,2015-12-12 03:27:23.2430266
RecentDocs,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,1,1,Docs,Docs.lnk,2,,
RecentDocs,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,0,0,Info.txt,Info.lnk,3,,
Folder,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,1,1,Tools,Tools.lnk,0,2015-12-12 03:27:23.2578230,
Folder,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,0,0,Docs,Docs.lnk,1,,
.txt,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,1,1,README.txt,README.lnk,0,2015-12-12 03:27:23.2430266,
.txt,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,0,0,Info.txt,Info.lnk,1,,
.txt,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,1,1,README.txt,README.lnk,0,2015-12-12 03:27:23.2430266,
.txt,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,0,0,Info.txt,Info.lnk,1,,
Folder,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,1,1,Tools,Tools.lnk,0,2015-12-12 03:27:23.2578230,
Folder,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,0,0,Docs,Docs.lnk,1,,
