Id,ActivityTypeOrg,ActivityType,Executable,DisplayText,ContentInfo,Payload,ClipboardPayload,StartTime,EndTime,Duration,LastModifiedTime,LastModifiedOnClient,OriginalLastModifiedOnClient,ExpirationTime,CreatedInCloud,IsLocalOnly,ETag,PackageIdHash,PlatformDeviceId,DevicePlatform,TimeZone
a3813ff8-2245-9677-f5ce-bbb821df67a3,5,ExecuteOpen,Microsoft.Windows.Explorer,File Explorer,,"{""displayText"":""File Explorer"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""File Explorer"",""backgroundColor"":""black""}",,2019-05-26 08:29:46,,,2019-05-26 08:29:46,2019-05-26 08:29:46,,2019-06-25 08:29:46,,False,35,MRa59sYbwGAAeZAEU7GTDEKxfmoX3dxP0PnmQDGng5o=,bKGJKw677ezdas2TfXsv8NJmymjeQOiMD6G0AapkdUE=,,
bb5006ad-32b8-9fc2-bdbd-9ffd75e05d9c,6,InFocus,Microsoft.Windows.Explorer,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":19,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""America/Los_Angeles""}",,2019-05-26 08:29:46,2019-05-26 08:32:43,00:02:57,2019-05-26 08:29:55,2019-05-26 08:32:43,,2019-06-25 08:32:43,,False,69,MRa59sYbwGAAeZAEU7GTDEKxfmoX3dxP0PnmQDGng5o=,bKGJKw677ezdas2TfXsv8NJmymjeQOiMD6G0AapkdUE=,,America/Los_Angeles
ea092c6e-9f9c-4e05-1853-fc80311087e3,5,ExecuteOpen,System32\cmd.exe,Command Prompt,,"{""displayText"":""Command Prompt"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""Command Prompt"",""backgroundColor"":""black""}",,2019-05-26 08:30:08,,,2019-05-26 08:30:08,2019-05-26 08:30:08,,2019-06-25 08:30:08,,False,39,mXE9mLzm2HxZZ/KmhKgOw6A9W6psHKjojdDYlTOFvxo=,bKGJKw677ezdas2TfXsv8NJmymjeQOiMD6G0AapkdUE=,,
11b04f27-b348-2a28-582e-0b3cd2aa31ad,6,InFocus,System32\cmd.exe,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":742,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""America/Los_Angeles""}",,2019-05-26 08:30:17,2019-05-26 08:46:03,00:15:46,2019-05-26 08:31:48,2019-05-26 08:46:03,,2019-06-25 08:46:03,,False,110,mXE9mLzm2HxZZ/KmhKgOw6A9W6psHKjojdDYlTOFvxo=,bKGJKw677ezdas2TfXsv8NJmymjeQOiMD6G0AapkdUE=,,America/Los_Angeles
e81b5adc-a1d0-3da5-6b13-628bc3ed1236,6,InFocus,Microsoft.Windows.Explorer,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":5,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""America/Los_Angeles""}",,2019-05-26 08:31:51,2019-05-26 08:32:48,00:00:57,2019-05-26 08:31:53,2019-05-26 08:32:48,,2019-06-25 08:32:48,,False,72,MRa59sYbwGAAeZAEU7GTDEKxfmoX3dxP0PnmQDGng5o=,bKGJKw677ezdas2TfXsv8NJmymjeQOiMD6G0AapkdUE=,,America/Los_Angeles
7ef78ad7-178e-f156-ee07-06148acf4c91,5,ExecuteOpen,System32\notepad.exe,welcome.txt (Notepad),C:\Users\IEUser\Desktop\creepy\welcome.txt (file:Unmapped GUID: //C:/Users/IEUser/Desktop/creepy/welome.txt?VolumeId={20B25A2A-0000-0000-0000-100000000000}&ObjectId={0282E6B5-7F90-11E9-A75B-000C29C3F036}&KnownFolderId=ThisPCDesktopFolder&KnownFolderLength=23),"{""displayText"":""welcome.txt"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""Notepad"",""description"":""C:\\Users\\IEUser\\Desktop\\creepy\\welcome.txt"",""backgroundColor"":""black"",""contentUri"":""file:///C:/Users/IEUser/Desktop/creepy/welcome.txt?VolumeId={20B25A2A-0000-0000-0000-100000000000}&ObjectId={0282E6B5-7F90-11E9-A75B-000C29C3F036}&KnownFolderId=ThisPCDesktopFolder&KnownFolderLength=23""}",,2019-05-26 08:31:53,,,2019-05-26 08:31:53,2019-05-26 08:31:53,,2019-06-25 08:31:53,,False,49,eUssiHYOx8gt4grLn60pEG2m1QnscYA3695n7jpHJwY=,bKGJKw677ezdas2TfXsv8NJmymjeQOiMD6G0AapkdUE=,,
8c2564d1-66d9-3bc5-466a-6bdc7f2a454d,6,InFocus,System32\notepad.exe,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":3,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""America/Los_Angeles""}",,2019-05-26 08:31:53,2019-05-26 08:31:56,00:00:03,2019-05-26 08:31:53,2019-05-26 08:31:56,,2019-06-25 08:31:56,,False,53,eUssiHYOx8gt4grLn60pEG2m1QnscYA3695n7jpHJwY=,bKGJKw677ezdas2TfXsv8NJmymjeQOiMD6G0AapkdUE=,,America/Los_Angeles
215079ce-5247-9254-debf-0c0e09ef6f62,5,ExecuteOpen,Microsoft.Windows.SecHealthUI_cw5n1h2txyewy!SecHealthUI,Windows Security,,"{""displayText"":""Windows Security"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""Windows Security"",""backgroundColor"":""black""}",,2019-05-26 08:32:09,,,2019-05-26 08:32:09,2019-05-26 08:32:09,,2019-06-25 08:32:09,,False,65,6+MiWXoQOn5QBe7p/PiZHef1eKp/MdLnduKFO3pSHYA=,bKGJKw677ezdas2TfXsv8NJmymjeQOiMD6G0AapkdUE=,,
f1392e59-02ce-4cda-5570-acacd79cd5e5,6,InFocus,Microsoft.Windows.SecHealthUI_cw5n1h2txyewy!SecHealthUI,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":25,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""America/Los_Angeles""}",,2019-05-26 08:32:09,2019-05-26 08:32:34,00:00:25,2019-05-26 08:32:34,2019-05-26 08:32:34,,2019-06-25 08:32:34,,False,66,6+MiWXoQOn5QBe7p/PiZHef1eKp/MdLnduKFO3pSHYA=,bKGJKw677ezdas2TfXsv8NJmymjeQOiMD6G0AapkdUE=,,America/Los_Angeles
1b95e75c-b692-2703-27df-e73f79504cf9,5,ExecuteOpen,Microsoft.SkyDrive.Desktop,OneDrive,,"{""displayText"":""OneDrive"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""OneDrive"",""backgroundColor"":""black""}",,2019-05-26 08:38:53,,,2019-05-26 08:38:53,2019-05-26 08:38:53,,2019-06-25 08:38:53,,False,78,qK3jiWjVOTZ33qXWTNQgW2k+Mi0L0tSPk9nausgwWLw=,bKGJKw677ezdas2TfXsv8NJmymjeQOiMD6G0AapkdUE=,,
