ApplicationName,ProgramId,FileKeyLastWriteTimestamp,SHA1,IsOsComponent,FullPath,Name,FileExtension,LinkDate,ProductName,Size,Version,ProductVersion,LongPathHash,BinaryType,IsPeFile,BinFileVersion,BinProductVersion,Usn,Language,Description
Microsoft Silverlight,00006b62966f87123b188e1a3a4d47265c5800000904,2019-05-26 08:31:01,16a602cb8835763a69f2ca2093829685aa6ce4c2,False,c:\program files\microsoft silverlight\5.1.50918.0\agcp.exe,agcp.exe,.exe,2018-10-24 02:28:33,microsoft® silverlight,17544,5.1.50918.0,5.1.50918.0,agcp.exe|b633ab633ffe809c,pe64_amd64,True,5.1.50918.0,5.1.50918.0,8302256,1033,
Microsoft Silverlight,00006b62966f87123b188e1a3a4d47265c5800000904,2019-05-26 08:31:01,f446b5edb7ac15a8fbdef89d9be1df77fd91b5fa,False,c:\program files\microsoft silverlight\5.1.50918.0\coregen.exe,coregen.exe,.exe,2018-10-24 02:25:24,microsoft® silverlight,80008,5.1.50918.0 built by: sl_v5_svc,5.1.50918.0,coregen.exe|e8e9c1d1a1f1632e,pe64_amd64,True,5.1.50918.0,5.1.50918.0,8314968,1033,
Microsoft Silverlight,00006b62966f87123b188e1a3a4d47265c5800000904,2019-05-26 08:31:01,41ec4218edba07f3b10f565967a7ca7617d1ce7b,False,c:\program files\microsoft silverlight\5.1.50918.0\silverlight.configuration.exe,Silverlight.Configuration.exe,.exe,2018-10-24 02:31:33,microsoft® silverlight,304776,5.1.50918.0,5.1.50918.0,silverlight.conf|9711bd5978aae468,pe64_amd64,True,5.1.50918.0,5.1.50918.0,8631256,1033,
Microsoft Silverlight,00006b62966f87123b188e1a3a4d47265c5800000904,2019-05-26 08:31:01,e48b9d3eb2a30f1138129f421471ed6012f1fdbf,False,c:\program files\microsoft silverlight\sllauncher.exe,sllauncher.exe,.exe,2018-10-24 02:31:23,microsoft® silverlight,524424,5.1.50918.0,5.1.50918.0,sllauncher.exe|94d73ae72e690de7,pe64_amd64,True,5.1.50918.0,5.1.50918.0,8295048,1033,
Puppet (64-bit),00009ab73cd40a32ace0d617698ded13954c00000904,2019-05-26 08:31:00,bb48a2485adb705350225765a5b08c5bca747814,False,c:\program files\puppet labs\puppet\sys\tools\bin\elevate.exe,elevate.exe,.exe,2007-10-28 07:03:22,elevate,20480,4.0.10326.0,4.0.10326.0,elevate.exe|af7d883c1cd841d0,pe32_clr_il,True,4.0.10326.0,4.0.10326.0,81447040,0,
Puppet (64-bit),00009ab73cd40a32ace0d617698ded13954c00000904,2019-05-26 08:31:00,3955fc876dcd3fc5673853e3121e61317313cf92,False,c:\program files\puppet labs\puppet\sys\ruby\bin\ruby.exe,ruby.exe,.exe,2016-03-28 20:41:26,ruby interpreter 2.0.0p648 [x64-mingw32],148828,2.0.0p648,2.0.0p648,ruby.exe|5aecfee5b068a482,pe64_amd64,True,2.0.0.648,2.0.0.648,81621312,0,
Puppet (64-bit),00009ab73cd40a32ace0d617698ded13954c00000904,2019-05-26 08:31:00,5de57fd589722da30401a6c0a071705aaa4af750,False,c:\program files\puppet labs\puppet\sys\ruby\bin\rubyw.exe,rubyw.exe,.exe,2016-03-28 20:41:27,ruby interpreter 2.0.0p648 [x64-mingw32],148828,2.0.0p648,2.0.0p648,rubyw.exe|87c053eac78e6b3b,pe64_amd64,True,2.0.0.648,2.0.0.648,80339024,0,
Microsoft OneDrive,0000abc5ac215924769bf3962e0bc5eb23c80000ffff,2019-05-26 08:31:01,2da34120765a07e57a59d8259c3394baf23e2219,False,c:\users\ieuser\appdata\local\microsoft\onedrive\18.143.0717.0002\filecoauth.exe,FileCoAuth.exe,.exe,2018-09-11 21:57:37,microsoft onedrive,465720,18.143.0717.0002,18.143.0717.0002,filecoauth.exe|ccadf0cf874f4ac2,pe32_i386,True,18.143.717.2,18.143.717.2,6078800,1033,
Microsoft OneDrive,0000abc5ac215924769bf3962e0bc5eb23c80000ffff,2019-05-26 08:31:01,ee143df409c69b4e97fbf9f0d4b173dc26207a4a,False,c:\users\ieuser\appdata\local\microsoft\onedrive\18.143.0717.0002\filesyncconfig.exe,FileSyncConfig.exe,.exe,2018-09-11 21:56:15,microsoft onedrive,263480,18.143.0717.0002,18.143.0717.0002,filesyncconfig.e|b68b6ee064a5ac0f,pe32_i386,True,18.143.717.2,18.143.717.2,6081632,1033,
Microsoft OneDrive,0000abc5ac215924769bf3962e0bc5eb23c80000ffff,2019-05-26 08:31:01,96152df3b9c594fe0939e478a48fe211f2f1a39b,False,c:\users\ieuser\appdata\local\microsoft\onedrive\18.143.0717.0002\onedrivesetup.exe,OneDriveSetup.exe,.exe,2018-09-11 21:57:42,microsoft onedrive,27860280,18.143.0717.0002,18.143.0717.0002,onedrivesetup.ex|aaa68ea4ec773780,pe32_i386,True,18.143.717.2,18.143.717.2,13427264,1033,
