ApplicationName,ProgramId,FileKeyLastWriteTimestamp,SHA1,IsOsComponent,FullPath,Name,FileExtension,LinkDate,ProductName,Size,Version,ProductVersion,LongPathHash,BinaryType,IsPeFile,BinFileVersion,BinProductVersion,Usn,Language,Description
Unassociated,0006844b143cabfef1697f83ccef3c527f9200000904,2019-05-26 08:31:01,4b86657c583802d58e2704e4a664b9db325d190c,False,c:\program files (x86)\microsoft silverlight\5.1.50918.0\agcp.exe,agcp.exe,.exe,2018-10-24 02:19:42,microsoft® silverlight,16520,5.1.50918.0,5.1.50918.0,agcp.exe|1afb9835f4df2158,pe32_i386,True,5.1.50918.0,5.1.50918.0,8301856,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-03-19 13:06:33,cb91407f81d32e05d97ab017789406d0d14b7c13,True,c:\windows\system32\applicationframehost.exe,ApplicationFrameHost.exe,.exe,2012-02-04 15:07:10,microsoft® windows® operating system,72776,10.0.17763.1 (winbuild.160101.0800),10.0.17763.1,applicationframe|7c5c9be1b612bbd,pe64_amd64,True,10.0.17763.1,10.0.17763.1,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-05-26 08:30:52,339e4e69d2120b97ce34b9a8d3597ff8e0a73561,True,c:\windows\system32\backgroundtaskhost.exe,backgroundTaskHost.exe,.exe,2029-06-26 14:02:39,microsoft® windows® operating system,19768,10.0.17763.1 (winbuild.160101.0800),10.0.17763.1,backgroundtaskho|d626d8b11be2d0c2,pe64_amd64,True,10.0.17763.1,10.0.17763.1,4635240,1033,
Unassociated,000672313b14acf611791e61aaa2d3db15f400000904,2019-03-19 13:00:45,1cee3fa8419bdf4cbc266461277e3fdd9b93de25,False,c:\bginfo\bginfo.exe,BGINFO.EXE,.exe,2013-07-30 03:02:23,bginfo,847040,4.20,4.20,bginfo.exe|694fff88532e913f,pe32_i386,True,4.20.0.0,4.20.0.0,5587624,1033,
Unassociated,0006ed4fee0a22038f6e76295cadd2cf99c100000000,2019-05-26 08:30:52,3d9e4509f4406e36212f19465bd9bc656d9ec3c1,False,c:\programdata\chocolatey\bin\choco.exe,choco.exe,.exe,2017-04-07 16:50:00,chocolatey,143496,0.10.5.0,0.10.5 - shim 0.8.1,choco.exe|6cf36f324abcde68,pe32_clr_il,True,0.10.5.0,0.10.5.0,80103504,0,
Unassociated,000662705a152fd03fadd99c33bae7911b5f00000000,2019-05-26 08:30:52,c3b372580560650d839ff2f24281a6492bb09710,False,c:\programdata\chocolatey\choco.exe,choco.exe,.exe,2019-03-15 17:56:38,chocolatey,6739592,0.10.13.0,0.10.13,choco.exe|9d6f527017aed488,pe32_clr_il,True,0.10.13.0,0.10.13.0,80100736,0,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-05-26 08:31:01,f81d1c1018b292762b8a536d6b4289fd593e30b3,True,c:\windows\system32\compattelrunner.exe,CompatTelRunner.exe,.exe,,,156200,10.0.17763.1 (winbuild.160101.0800),,compattelrunner.|732ad1627e12cb48,pe64_amd64,True,10.0.17763.1,,85340880,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-03-19 13:00:16,a32a03532a2ac2ca9c9f67ff4e7fb45680985df9,True,c:\windows\system32\conhost.exe,conhost.exe,.exe,2030-01-20 03:16:28,microsoft® windows® operating system,822784,10.0.17763.1 (winbuild.160101.0800),10.0.17763.1,conhost.exe|a73bcd1ef9353f3e,pe64_amd64,True,10.0.17763.1,10.0.17763.1,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-05-26 08:30:17,e6314bc8ab096923cb69a1359c84db47434bf4e1,True,c:\windows\system32\consent.exe,consent.exe,.exe,2044-07-15 06:54:09,microsoft® windows® operating system,159240,10.0.17763.1 (winbuild.160101.0800),10.0.17763.1,consent.exe|808393f799959da6,pe64_amd64,True,10.0.17763.1,10.0.17763.1,0,1033,
Unassociated,0006844b143cabfef1697f83ccef3c527f9200000904,2019-05-26 08:31:01,5f536e6701d928dd262d475cd6987777b9fa5e33,False,c:\program files (x86)\microsoft silverlight\5.1.50918.0\coregen.exe,coregen.exe,.exe,2018-10-24 02:18:11,microsoft® silverlight,68744,5.1.50918.0 built by: sl_v5_svc,5.1.50918.0,coregen.exe|2afdfc05f647885,pe32_i386,True,5.1.50918.0,5.1.50918.0,8314464,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-05-26 08:30:52,1158a20094d14277e4cbb5ded3074bd948fa3ff9,True,c:\windows\microsoft.net\framework64\v4.0.30319\csc.exe,csc.exe,.exe,2018-08-07 06:54:03,microsoft® .net framework,2739280,4.7.3190.0 built by: net472rel1last_c,4.7.3190.0,csc.exe|9b9c2e289b6f7430,pe64_amd64,True,4.7.3190.0,4.0.30319.0,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-03-19 13:01:19,779b8afc3fa2528b090f400ef3d592e0e2775955,True,c:\windows\system32\csrss.exe,csrss.exe,.exe,2058-05-27 04:51:31,microsoft® windows® operating system,17792,10.0.17763.1 (winbuild.160101.0800),10.0.17763.1,csrss.exe|a9363ee544229f11,pe64_amd64,True,10.0.17763.1,10.0.17763.1,0,1033,
