LnkName,BatchKeyPath,Executable,BatchValueName,PinType
Applications,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,(unknown),Favorites,(unknown)
Microsoft Edge,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,Microsoft.MicrosoftEdge_8wekyb3d8bbwe!MicrosoftEdge,Favorites,SystemPinned
User Pinned,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,(unknown),Favorites,(unknown)
TaskBar,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,(Directory),Favorites,(Directory)
File Explorer.lnk,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,Microsoft.Windows.Explorer,Favorites,SystemPinned
Applications,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,(unknown),Favorites,(unknown)
Microsoft Store,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,Microsoft.WindowsStore_8wekyb3d8bbwe!App,Favorites,SystemPinned
Applications,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,(unknown),Favorites,(unknown)
Mail,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,microsoft.windowscommunicationsapps_8wekyb3d8bbwe!microsoft.windowslive.mail,Favorites,SystemPinned
User Pinned,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,(unknown),Favorites,(unknown)
TaskBar,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,(Directory),Favorites,(Directory)
Command Prompt.lnk,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\cmd.exe,Favorites,UserPinned
