Id,Timestamp,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,UserId,AppId,ConnectedTime,ConnectStartTime,InterfaceLuid,InterfaceType,L2ProfileFlags,L2ProfileId,ProfileName
2,2019-03-19 13:00:00,,,,UnknownOrUserSid,,,2,1,29,2019-03-19 12:59:30.1976464,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
3,2019-03-19 13:06:00,,,,UnknownOrUserSid,,,2,1,281,2019-03-19 13:01:18.1025570,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
4,2019-03-19 13:09:00,,,,UnknownOrUserSid,,,2,1,118,2019-03-19 13:07:01.2744346,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
5,2019-03-19 13:10:00,,,,UnknownOrUserSid,,,2,1,25,2019-03-19 13:09:34.9616462,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
6,2019-03-19 13:19:00,,,,UnknownOrUserSid,,,2,1,409,2019-03-19 13:12:10.9307694,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
7,2019-03-19 13:20:00,,,,UnknownOrUserSid,,,2,1,8,2019-03-19 13:19:51.8058790,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
8,2019-03-19 13:22:00,,,,UnknownOrUserSid,,,2,1,48,2019-03-19 13:21:11.8214187,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
9,2019-03-19 13:29:00,,,,UnknownOrUserSid,,,2,1,377,2019-03-19 13:22:42.4153813,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
1,2019-03-19 20:57:00,,,,UnknownOrUserSid,,,2,1,82,2019-03-19 20:55:37.4749794,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
10,2019-05-26 08:46:00,,,,UnknownOrUserSid,,,2,1,1124,2019-05-26 08:27:15.8782274,1689399632855040,IF_TYPE_ETHERNET_CSMACD,0,0,
