KeyName,KeyLastWriteTimestamp,DriverTimeStamp,DriverLastWriteTime,DriverName,DriverInBox,DriverIsKernelMode,DriverSigned,DriverCheckSum,DriverCompany,DriverId,DriverPackageStrongName,DriverType,DriverVersion,ImageSize,Inf,Product,ProductVersion,Service,WdfVersion
c:/windows/system32/drivers/1394ohci.sys,2019-05-26 08:30:34,2003-09-12 03:02:30,2018-09-15 07:28:17,1394ohci.sys,True,True,True,264074,Microsoft Corporation,000035db8fd43dac86f8dec9e808579e412228278346,,8650778,10.0.17763.1,274432,,Microsoft® Windows® Operating System,10.0.17763.1,1394ohci,
c:/windows/system32/drivers/3ware.sys,2019-05-26 08:30:35,2015-05-18 22:28:03,2018-09-15 07:28:17,3ware.sys,True,True,True,126840,LSI,0000f29a668c4257dac4a79f320b71e7e96711e3ccdf,,8650778,5.1.0.51,122880,,LSI 3ware RAID Controller,WindowsBlue,3ware,
c:/windows/system32/drivers/acpi.sys,2019-05-26 08:30:35,2057-07-05 17:56:39,2018-09-15 07:28:18,acpi.sys,True,True,True,812959,Microsoft Corporation,000072106f8b47ebfbc9e95f5ccc253e41152c26e0f3,acpi.inf_amd64_31d4536e856569e4,8651034,10.0.17763.1,819200,acpi.inf,Microsoft® Windows® Operating System,10.0.17763.1,acpi,
c:/windows/system32/drivers/acpidev.sys,2019-05-26 08:30:35,2066-02-14 08:45:17,2018-09-15 07:28:17,acpidev.sys,True,True,True,48118,Microsoft Corporation,000016b2050752f96546944207a9396bf0970f86e61d,,8650778,10.0.17763.1,53248,,Microsoft® Windows® Operating System,10.0.17763.1,acpidev,
c:/windows/system32/drivers/acpiex.sys,2019-05-26 08:30:35,1975-06-17 02:07:59,2018-09-15 07:28:22,acpiex.sys,True,True,True,145625,Microsoft Corporation,0000baaa916382862d899ce85a86a89afcf187a13b8b,,8651034,10.0.17763.1,147456,,Microsoft® Windows® Operating System,10.0.17763.1,acpiex,1.15
c:/windows/system32/drivers/acpipagr.sys,2019-05-26 08:30:35,2087-08-18 02:25:57,2018-09-15 07:28:18,acpipagr.sys,True,True,True,24214,Microsoft Corporation,0000cb0983939a31921f557e375df6120278a373b2a2,,8650778,10.0.17763.1,45056,,Microsoft® Windows® Operating System,10.0.17763.1,acpipagr,
c:/windows/system32/drivers/acpipmi.sys,2019-05-26 08:30:35,1996-07-27 01:01:01,2018-09-15 07:28:17,acpipmi.sys,True,True,True,45717,Microsoft Corporation,0000235147673eb8d54d8f2c2e981a92488c5bffbb5b,,8650778,10.0.17763.1,49152,,Microsoft® Windows® Operating System,10.0.17763.1,acpipmi,
c:/windows/system32/drivers/acpitime.sys,2019-05-26 08:30:35,2010-12-22 10:58:01,2018-09-15 07:28:18,acpitime.sys,True,True,True,68091,Microsoft Corporation,00005ab9d40058c5021f9f767e14e30d93143c98f355,,8650778,10.0.17763.1,49152,,Microsoft® Windows® Operating System,10.0.17763.1,acpitime,
c:/windows/system32/drivers/adp80xx.sys,2019-05-26 08:30:35,2015-04-09 20:49:48,2018-09-15 07:28:17,adp80xx.sys,True,True,True,1200604,PMC-Sierra,000019c164c123ee6e533a593598cd72bbd8e2dc6687,,8650778,1.3.0.10769,2473984,,PMC-Sierra HBA Controller,1.3.0.10769,adp80xx,
c:/windows/system32/drivers/afd.sys,2019-05-26 08:30:35,2072-06-10 19:48:20,2019-03-19 13:15:51,afd.sys,True,True,True,714134,Microsoft Corporation,00007c381dc839e47ea4fe8dbeb1533b572cbdbe4db4,,8650778,10.0.17763.379,679936,,Microsoft® Windows® Operating System,10.0.17763.1,afd,
c:/windows/system32/drivers/afunix.sys,2019-05-26 08:30:35,2079-09-27 15:12:06,2018-09-15 07:28:55,afunix.sys,True,True,True,60141,Microsoft Corporation,0000b77df1c0a28667bae2e12044b10eca3b68ed048f,,8650778,10.0.17763.1,77824,,Microsoft® Windows® Operating System,10.0.17763.1,afunix,
c:/windows/system32/drivers/agilevpn.sys,2019-05-26 08:30:50,2014-11-05 05:08:44,2018-09-15 07:28:57,agilevpn.sys,True,True,True,178660,Microsoft Corporation,00009ad8debffda6c5f9a61957eb8916f10d8cd4e9aa,,8650778,10.0.17763.1,159744,,Microsoft® Windows® Operating System,10.0.17763.1,rasagilevpn,
c:/windows/system32/drivers/ahcache.sys,2019-05-26 08:30:35,1995-01-09 20:47:24,2018-09-15 07:28:52,ahcache.sys,True,True,True,324727,Microsoft Corporation,0000963d5bb54352742b411ca1f03538032dd3cfffa3,,8650778,10.0.17763.1,319488,,Microsoft® Windows® Operating System,10.0.17763.1,ahcache,
c:/windows/system32/drivers/amdk8.sys,2019-05-26 08:30:35,2100-10-01 02:17:22,2018-09-15 07:28:18,amdk8.sys,True,True,True,252037,Microsoft Corporation,0000dc9b7e0d571b771ce1dafbc97faa7c9605a057be,,8650778,10.0.17763.1,233472,,Microsoft® Windows® Operating System,10.0.17763.1,amdk8,
c:/windows/system32/drivers/amdppm.sys,2019-05-26 08:30:35,2027-04-26 07:40:06,2018-09-15 07:28:18,amdppm.sys,True,True,True,221145,Microsoft Corporation,0000c6bb57b7f305f3720e3bd50047bfcbc0c4259a23,cpu.inf_amd64_6c6c72b0b50d29aa,8650778,10.0.17763.1,233472,cpu.inf,Microsoft® Windows® Operating System,10.0.17763.1,amdppm,1.15
c:/windows/system32/drivers/amdsata.sys,2019-05-26 08:30:35,2015-05-14 12:14:52,2018-09-15 07:28:17,amdsata.sys,True,True,True,134200,Advanced Micro Devices,0000b647adef7629252b4217f444bd378e5c6262312f,,8650778,1.1.3.277,126976,,AHCI 1.3 Device Driver,1.1.3.277,amdsata,
c:/windows/system32/drivers/amdsbs.sys,2019-05-26 08:30:35,2012-12-11 21:21:44,2018-09-15 07:28:17,amdsbs.sys,True,True,True,275842,AMD Technologies Inc.,0000c6114840e891b210452aeb31775e9f10c3e833ef,,8650778,3.7.1540.43,421888,,AMD Technology AHCI Compatible Controller,3.7.1540.43,amdsbs,
c:/windows/system32/drivers/amdxata.sys,2019-05-26 08:30:36,2015-05-01 00:55:35,2018-09-15 07:28:17,amdxata.sys,True,True,True,59357,Advanced Micro Devices,0000f6e30fe7aa25b1516f680623251ef6e40984a083,,8650778,1.1.3.277,49152,,Storage Filter Driver,1.1.3.277,amdxata,
c:/windows/system32/drivers/appid.sys,2019-05-26 08:30:36,2074-05-13 23:19:09,2018-09-15 07:28:42,appid.sys,True,True,True,260789,Microsoft Corporation,000093104c98c7d2d71736dcb505d0857cc0e0131460,,8650778,10.0.17763.1,217088,,Microsoft® Windows® Operating System,10.0.17763.1,appid,
c:/windows/system32/drivers/applockerfltr.sys,2019-05-26 08:30:36,1977-11-08 04:04:11,2018-09-15 07:28:42,applockerfltr.sys,True,True,True,33651,Microsoft Corporation,00008bcd13041843bea9a1ac40ae0f0db815cbe5a198,,8650778,10.0.17763.1,45056,,Microsoft® Windows® Operating System,10.0.17763.1,applockerfltr,
c:/windows/system32/drivers/appvstrm.sys,2019-05-26 08:30:36,2094-08-25 15:17:31,2018-09-15 09:09:51,appvstrm.sys,True,True,True,181112,Microsoft Corporation,0000b96d0b9c1a2a0e712bc97818f37636ad1c73769e,,8650778,10.0.17763.1,155648,,Microsoft® Windows® Operating System,10.0.17763.1,appvstrm,
c:/windows/system32/drivers/appvvemgr.sys,2019-05-26 08:30:36,2079-12-18 13:59:43,2019-03-19 13:15:35,appvvemgr.sys,True,True,True,199078,Microsoft Corporation,00004af19c8e7a67d4fcc4337215368f576fc92e9ce1,,8650778,10.0.17763.348,196608,,Microsoft® Windows® Operating System,10.0.17763.348,appvvemgr,
c:/windows/system32/drivers/appvvfs.sys,2019-05-26 08:30:36,1989-10-07 15:33:35,2018-09-15 09:09:51,appvvfs.sys,True,True,True,157490,Microsoft Corporation,0000828b9db13d88688a4fcc1a8867699d9495acb10f,,8650778,10.0.17763.1,167936,,Microsoft® Windows® Operating System,10.0.17763.1,appvvfs,
c:/windows/system32/drivers/arcsas.sys,2019-05-26 08:30:36,2015-04-09 19:12:07,2018-09-15 07:28:17,arcsas.sys,True,True,True,183460,"PMC-Sierra, Inc.",000037b5e6cf2425f7de9b2c9777380534a4843669f6,,8650778,7.5.0.32048,151552,,Adaptec RAID Controller,7.5.0.32048,arcsas,
c:/windows/system32/drivers/asyncmac.sys,2019-05-26 08:30:36,1997-01-13 07:19:16,2018-09-15 07:28:57,asyncmac.sys,True,True,True,59887,Microsoft Corporation,000080fff45105870da17ea8e21b1d6dc2a36d14415d,,8650778,10.0.17763.1,57344,,Microsoft® Windows® Operating System,10.0.17763.1,asyncmac,
c:/windows/system32/drivers/atapi.sys,2019-05-26 08:30:36,2082-10-04 15:59:47,2018-09-15 07:28:18,atapi.sys,True,True,True,71711,Microsoft Corporation,0000f0ef55fc029b1702ceb7476d5f4fe5d74ee5bdb3,mshdc.inf_amd64_18236881cad44fdc,8651034,10.0.17763.1,53248,mshdc.inf,Microsoft® Windows® Operating System,10.0.17763.1,atapi,
c:/windows/system32/drivers/bam.sys,2019-05-26 08:30:36,1981-11-14 01:53:16,2018-09-15 07:28:29,bam.sys,True,True,True,65642,Microsoft Corporation,0000e924b8e161b07d962132b61ae5bd3543302687b2,,8650778,10.0.17763.1,81920,,Microsoft® Windows® Operating System,10.0.17763.1,bam,
c:/windows/system32/drivers/bcmfn2.sys,2019-05-26 08:30:36,2016-11-01 02:09:15,2018-09-15 07:28:17,bcmfn2.sys,True,True,True,71470,Windows (R) Win 7 DDK provider,00008e830af8cddacee01d44747352ab62418665248d,,8650778,6.3.9600.17336,40960,,Windows (R) Win 7 DDK driver,6.3.9600.17336,bcmfn2,
c:/windows/system32/drivers/bindflt.sys,2019-05-26 08:30:36,2022-04-12 09:56:49,2019-03-19 13:15:32,bindflt.sys,True,True,True,167282,Microsoft Corporation,0000f9a49b11ed112bcf971d7ba08e9fec106d168dea,,8650778,10.0.17763.348,122880,,Microsoft® Windows® Operating System,10.0.17763.348,bindflt,
c:/windows/system32/drivers/bowser.sys,2019-05-26 08:30:37,1996-07-14 03:21:06,2018-09-15 07:28:25,bowser.sys,True,True,True,117497,Microsoft Corporation,0000a3675ddcef6ab1eea601f66244ec2c541affce14,,8650778,10.0.17763.1,151552,,Microsoft® Windows® Operating System,10.0.17763.1,bowser,
c:/windows/system32/drivers/bridge.sys,2019-05-26 08:30:47,2064-11-18 10:13:55,2019-03-19 13:16:03,bridge.sys,True,True,True,157334,Microsoft Corporation,0000288ff4d82d399e90a68606559072c74bdb98b8a2,,8650778,10.0.17763.379,159744,,Microsoft® Windows® Operating System,10.0.17763.379,msbridge,
c:/windows/system32/drivers/bthenum.sys,2019-05-26 08:30:37,2012-03-17 21:52:22,2019-03-19 13:15:28,bthenum.sys,True,True,True,160441,Microsoft Corporation,0000792f495c293b379f8c518a9f42345e9bfca71033,,8650778,10.0.17763.194,139264,,Microsoft® Windows® Operating System,10.0.17763.1,bthenum,
c:/windows/system32/drivers/bthhfenum.sys,2019-05-26 08:30:37,1985-01-15 16:54:22,2019-03-19 13:15:28,bthhfenum.sys,True,True,True,176136,Microsoft Corporation,0000d63f5e428d9231e497324325ad49bb0790c6ce6a,,8650778,10.0.17763.292,147456,,Microsoft® Windows® Operating System,10.0.17763.292,bthhfenum,
c:/windows/system32/drivers/bthmini.sys,2019-05-26 08:30:37,2064-04-23 05:58:57,2018-09-15 07:28:19,bthmini.sys,True,True,True,61596,Microsoft Corporation,0000e805e09f2519f83d7f1a1d76316b44b4b556e434,,8650778,10.0.17763.1,65536,,Microsoft® Windows® Operating System,10.0.17763.1,bthmini,
c:/windows/system32/drivers/bthmodem.sys,2019-05-26 08:30:37,2064-12-22 07:27:02,2018-09-15 07:28:15,bthmodem.sys,True,True,True,133333,Microsoft Corporation,0000a51287c644a6794066c7326dfa367d1a5efb1ee4,,8650778,10.0.17763.1,94208,,Microsoft® Windows® Operating System,10.0.17763.1,bthmodem,
c:/windows/system32/drivers/bthport.sys,2019-05-26 08:30:37,2061-02-14 03:14:10,2019-03-19 13:15:28,bthport.sys,True,True,True,1225667,Microsoft Corporation,00000977e46b072bc7df06951d810d141288c5d1fc0c,,8650778,10.0.17763.348,1253376,,Microsoft® Windows® Operating System,10.0.17763.1,bthport,
c:/windows/system32/drivers/bthusb.sys,2019-05-26 08:30:37,2033-07-26 15:42:35,2018-09-15 07:28:19,bthusb.sys,True,True,True,129685,Microsoft Corporation,0000d0a46e71bd9960681197bfa1e90e8b8193d311e9,,8650778,10.0.17763.1,118784,,Microsoft® Windows® Operating System,10.0.17763.1,bthusb,
c:/windows/system32/drivers/bttflt.sys,2019-05-26 08:30:37,1970-09-01 04:23:11,2018-09-15 07:28:18,bttflt.sys,True,True,True,107377,Microsoft Corporation,00009f81bb71412a6e251d963c3a1fbef145fbb30b0e,,8650778,10.0.17763.1,61440,,Microsoft® Windows® Operating System,10.0.17763.1,bttflt,
c:/windows/system32/drivers/buttonconverter.sys,2019-05-26 08:30:37,1993-11-24 17:52:18,2018-09-15 07:28:19,buttonconverter.sys,True,True,True,46977,Microsoft Corporation,000011d975884639e123a60c3c36e3f0b31056bad55e,,8650778,10.0.17763.1,69632,,Microsoft® Windows® Operating System,10.0.17763.1,buttonconverter,
c:/windows/system32/drivers/bxvbda.sys,2019-05-26 08:30:36,2016-05-25 07:03:08,2018-09-15 07:28:17,bxvbda.sys,True,True,True,538717,QLogic Corporation,00001518707f44a38ac6bc56995cc65ebb05804ec595,,8650778,7.12.31.105,561152,,QLogic Gigabit Ethernet,7.12.31.105,b06bdrv,1.15
