ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,0,C:\Windows\System32\PickerHost.exe,2018-09-15 07:28:30,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge4StealthyADS\tout\E\Windows\System32\config\SYSTEM
1,1,C:\Windows\system32\NETSTAT.EXE,2018-09-15 07:29:14,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge4StealthyADS\tout\E\Windows\System32\config\SYSTEM
1,2,\\?\C:\Users\IEUser\Desktop\creepy\welcome2.txt:revshell.exe,2019-05-26 08:33:33,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge4StealthyADS\tout\E\Windows\System32\config\SYSTEM
1,3,\\?\C:\Users\IEUser\Desktop\creepy\welcome.txt:putty.exe,2019-05-26 08:33:19,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge4StealthyADS\tout\E\Windows\System32\config\SYSTEM
1,4,C:\Windows\SysWOW64\notepad.exe,2018-09-15 07:29:13,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge4StealthyADS\tout\E\Windows\System32\config\SYSTEM
1,5,\\?\C:\Users\IEUser\Desktop\creepy\COM1.txt:revshell.exe,2019-05-26 08:37:34,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge4StealthyADS\tout\E\Windows\System32\config\SYSTEM
1,6,\\?\C:\Users\IEUser\Desktop\creepy\LPT1.txt:putty.exe,2019-05-26 08:37:19,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge4StealthyADS\tout\E\Windows\System32\config\SYSTEM
1,7,C:\Windows\system32\ipconfig.exe,2018-09-15 07:29:14,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge4StealthyADS\tout\E\Windows\System32\config\SYSTEM
1,8,C:\Users\IEUser\Desktop\creepy\putty.exe,2019-05-24 04:39:58,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge4StealthyADS\tout\E\Windows\System32\config\SYSTEM
1,9,C:\Users\IEUser\Desktop\creepy\rev.exe,2019-05-24 04:49:16,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge4StealthyADS\tout\E\Windows\System32\config\SYSTEM
