Name,BatchKeyPath,Description,BatchValueName,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
.NET CLR Data,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2019-03-19 13:05:51.3214477,,,,,
.NET CLR Networking,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2019-03-19 13:05:51.3214477,,,,,
.NET CLR Networking 4.0.0.0,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-09-15 07:34:18.7086564,,,,,
.NET Data Provider for Oracle,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-09-15 07:34:18.7086564,,,,,
.NET Data Provider for SqlServer,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-09-15 07:34:18.7086564,,,,,
.NET Memory Cache 4.0,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-09-15 07:34:18.6930304,,,,,
.NETFramework,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-09-15 07:34:18.6930304,,,,,
1394ohci,ROOT\ControlSet001\Services,,None,"@1394.inf,%PCI\CC_0C0010.DeviceDesc%;1394 OHCI Compliant Host Controller",Manual,KernelDriver,2018-09-15 07:33:19.1565974,,,\SystemRoot\System32\drivers\1394ohci.sys,,
3ware,ROOT\ControlSet001\Services,,None,,Boot,KernelDriver,2019-03-19 20:55:19.7720837,2018-09-15 07:33:19.2035547,SCSI miniport,System32\drivers\3ware.sys,,
ACPI,ROOT\ControlSet001\Services,,None,"@acpi.inf,%ACPI.SvcDesc%;Microsoft ACPI Driver",Boot,KernelDriver,2019-05-26 08:49:15.1129121,2019-03-19 20:57:13.7743443,Core,System32\drivers\ACPI.sys,,
AcpiDev,ROOT\ControlSet001\Services,,None,"@acpidev.inf,%AcpiDev.SvcDesc%;ACPI Devices driver",Manual,KernelDriver,2018-09-15 07:33:18.9534535,,Extended Base,\SystemRoot\System32\drivers\AcpiDev.sys,,
acpiex,ROOT\ControlSet001\Services,,None,Microsoft ACPIEx Driver,Boot,KernelDriver,2019-03-19 20:55:14.5533517,2019-03-19 20:57:13.7273556,Boot Bus Extender,System32\Drivers\acpiex.sys,,
acpipagr,ROOT\ControlSet001\Services,,None,"@acpipagr.inf,%SvcDesc%;ACPI Processor Aggregator Driver",Manual,KernelDriver,2018-09-15 07:33:27.0010307,,,\SystemRoot\System32\drivers\acpipagr.sys,,
AcpiPmi,ROOT\ControlSet001\Services,,None,"@acpipmi.inf,%AcpiPmi.SvcDesc%;ACPI Power Meter Driver",Manual,KernelDriver,2018-09-15 07:33:16.4376120,,,\SystemRoot\System32\drivers\acpipmi.sys,,
acpitime,ROOT\ControlSet001\Services,,None,"@acpitime.inf,%AcpiTime.SvcDesc%;ACPI Wake Alarm Driver",Manual,KernelDriver,2018-09-15 07:33:27.0322832,,Extended Base,\SystemRoot\System32\drivers\acpitime.sys,,
ADOVMPPackage,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-09-15 09:10:07.4943157,,,,,
ADP80XX,ROOT\ControlSet001\Services,,None,,Boot,KernelDriver,2019-03-19 20:55:19.7720837,2018-09-15 07:33:19.2503553,SCSI Miniport,System32\drivers\ADP80XX.SYS,,
adsi,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-09-15 07:34:18.6930304,,,,,
AFD,ROOT\ControlSet001\Services,"@%systemroot%\system32\drivers\afd.sys,-1000",None,"@%systemroot%\system32\drivers\afd.sys,-1000",System,KernelDriver,2018-09-15 07:34:18.6930304,2018-09-15 07:34:18.6930304,PNP_TDI,\SystemRoot\system32\drivers\afd.sys,,
afunix,ROOT\ControlSet001\Services,,None,afunix,System,KernelDriver,2018-09-15 07:36:28.3449447,2018-09-15 07:36:28.3449447,PNP_TDI,\SystemRoot\system32\drivers\afunix.sys,,
ahcache,ROOT\ControlSet001\Services,"@%systemroot%\system32\drivers\ahcache.sys,-101",None,"@%systemroot%\system32\drivers\ahcache.sys,-102",System,KernelDriver,2018-09-15 07:34:18.6930304,,,system32\DRIVERS\ahcache.sys,,
AJRouter,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\AJRouter.dll,-1",None,"@%SystemRoot%\system32\AJRouter.dll,-2",Manual,Win32ShareProcess,2018-09-15 07:35:10.7444385,2018-09-15 07:34:18.6930304,,%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted -p,,
ALG,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\Alg.exe,-113",None,"@%SystemRoot%\system32\Alg.exe,-112",Manual,Win32OwnProcess,2018-09-15 07:34:18.6930304,,,%SystemRoot%\System32\alg.exe,,SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege
AmdK8,ROOT\ControlSet001\Services,,None,"@cpu.inf,%AmdK8.SvcDesc%;AMD K8 Processor Driver",Manual,KernelDriver,2018-09-15 07:33:26.5009840,,Extended Base,\SystemRoot\System32\drivers\amdk8.sys,,
AmdPPM,ROOT\ControlSet001\Services,,None,"@cpu.inf,%AmdPPM.SvcDesc%;AMD Processor Driver",Manual,KernelDriver,2019-05-26 08:49:16.7221783,2019-05-26 08:49:20.3470987,Extended Base,\SystemRoot\System32\drivers\amdppm.sys,,
amdsata,ROOT\ControlSet001\Services,,None,,Boot,KernelDriver,2019-03-19 20:55:19.7720837,2018-09-15 07:33:19.3128606,SCSI miniport,System32\drivers\amdsata.sys,,
amdsbs,ROOT\ControlSet001\Services,,None,,Boot,KernelDriver,2019-03-19 20:55:19.7720837,2019-05-26 08:26:56.2379873,SCSI miniport,System32\drivers\amdsbs.sys,,
amdxata,ROOT\ControlSet001\Services,,None,,Boot,KernelDriver,2019-03-19 20:55:19.7720837,2018-09-15 07:33:19.3128606,SCSI miniport,System32\drivers\amdxata.sys,,
AppID,ROOT\ControlSet001\Services,"@%systemroot%\system32\srpapi.dll,-101",None,"@%systemroot%\system32\srpapi.dll,-100",Manual,KernelDriver,2018-09-15 07:34:18.6930304,2018-09-15 07:34:18.6930304,,system32\drivers\appid.sys,,
AppIDSvc,ROOT\ControlSet001\Services,"@%systemroot%\system32\appidsvc.dll,-101",None,"@%systemroot%\system32\appidsvc.dll,-100",Manual,Win32ShareProcess,2018-09-15 07:35:10.7444385,2018-09-15 07:34:18.6930304,ProfSvc_Group,%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted -p,,SeChangeNotifyPrivilege SeImpersonatePrivilege
Appinfo,ROOT\ControlSet001\Services,"@%systemroot%\system32\appinfo.dll,-101",None,"@%systemroot%\system32\appinfo.dll,-100",Manual,Win32ShareProcess,2018-09-15 07:35:10.7288121,2018-09-15 07:34:18.6930304,,%SystemRoot%\system32\svchost.exe -k netsvcs -p,,SeAssignPrimaryTokenPrivilege SeIncreaseQuotaPrivilege SeTcbPrivilege SeBackupPrivilege SeRestorePrivilege SeDebugPrivilege SeAuditPrivilege SeChangeNotifyPrivilege SeImpersonatePrivilege SeCreatePermanentPrivilege SeLoadDriverPrivilege
applockerfltr,ROOT\ControlSet001\Services,"@%systemroot%\system32\srpapi.dll,-103",None,"@%systemroot%\system32\srpapi.dll,-102",Manual,KernelDriver,2018-09-15 07:34:18.6930304,,,system32\drivers\applockerfltr.sys,,
AppMgmt,ROOT\ControlSet001\Services,"@appmgmts.dll,-3251",None,"@appmgmts.dll,-3250",Manual,Win32ShareProcess,2018-09-15 09:10:07.4943157,2018-09-15 09:10:07.4943157,,%SystemRoot%\system32\svchost.exe -k netsvcs -p,,SeCreateGlobalPrivilege SeImpersonatePrivilege SeIncreaseQuotaPrivilege SeShutdownPrivilege SeTakeOwnershipPrivilege
AppReadiness,ROOT\ControlSet001\Services,"@%SystemRoot%\System32\AppReadiness.dll,-1001",None,"@%SystemRoot%\System32\AppReadiness.dll,-1000",Manual,Win32ShareProcess,2018-09-15 07:34:18.6930304,2018-09-15 07:34:18.6930304,,%SystemRoot%\System32\svchost.exe -k AppReadiness -p,%SystemRoot%\system32\AppReadiness.dll,SeImpersonatePrivilege SeTcbPrivilege SeBackupPrivilege SeRestorePrivilege SeProfileSingleProcessPrivilege
AppVClient,ROOT\ControlSet001\Services,"@%systemroot%\system32\AppVClient.exe,-101",None,"@%systemroot%\system32\AppVClient.exe,-102",Disabled,Win32OwnProcess,2018-09-15 09:10:07.4943157,,,%systemroot%\system32\AppVClient.exe,,
AppvStrm,ROOT\ControlSet001\Services,"@%systemroot%\system32\drivers\AppvStrm.sys,-102",None,"@%systemroot%\system32\drivers\AppvStrm.sys,-101",Manual,FileSystemDriver,2018-09-15 09:10:07.4943157,,FSFilter HSM,\SystemRoot\system32\drivers\AppvStrm.sys,,
