Version,BatchKeyPath,KeyName,BatchValueName,Path,CreatedOn,LastStart,LastStop,TaskState,LastActionResult,Source,Description,Author
3,,{017020FE-4826-4329-AB78-EA66B95D2AAF},,\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Manual),2019-03-19 20:55:32.7097828,,,0,0,,"$(@%systemRoot%\System32\msdrm.dll,-6003)","$(@%systemRoot%\System32\msdrm.dll,-6001)"
3,,{02ABD6A5-7C66-4E8A-9BF7-B12354245E8F},,\Microsoft\Windows\Shell\FamilySafetyRefreshTask,2019-03-19 20:55:33.0375961,,,0,0,"$(@%SystemRoot%\System32\WpcRefreshTask.dll,-32010)","$(@%SystemRoot%\System32\WpcRefreshTask.dll,-32012)","$(@%SystemRoot%\System32\WpcRefreshTask.dll,-32011)"
3,,{031C55BC-D055-49F4-B5EF-98F40D8F7841},,\Microsoft\Windows\DeviceDirectoryClient\LocateCommandUserSession,2019-03-19 20:55:33.0532679,,,0,0,,,
3,,{04622042-F26B-4CCA-815F-E7A8375D87E6},,\Microsoft\Windows\DeviceDirectoryClient\IntegrityCheck,2019-03-19 20:55:33.0532679,,,0,0,,,
3,,{05394804-BDBB-481F-A23B-C7905D714A7A},,\Microsoft\Windows\Device Setup\Metadata Refresh,2019-03-12 20:55:33.0690724,,,0,0,"$(@%SystemRoot%\System32\DeviceSetupManager.dll,-601)","$(@%SystemRoot%\System32\DeviceSetupManager.dll,-602)","$(@%SystemRoot%\System32\DeviceSetupManager.dll,-600)"
3,,{08BFB9C5-8A12-4B63-85A8-0321BE97A32E},,\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticDataCollector,2019-03-15 20:55:33.0690724,,,0,0,"$(@%SystemRoot%\System32\DFDTS.dll,-100)","$(@%SystemRoot%\System32\DFDTS.dll,-119)","$(@%SystemRoot%\System32\DFDTS.dll,-101)"
3,,{08D81671-F649-4960-878A-41DF593A065E},,\Microsoft\Windows\ApplicationData\DsSvcCleanup,2019-03-19 20:55:33.0690724,,,0,0,"$(@%systemroot%\system32\dssvc.dll,-10005)","$(@%systemroot%\system32\dssvc.dll,-10006)","$(@%systemroot%\system32\dssvc.dll,-10004)"
3,,{09996B35-18E3-4A38-BA0A-331A4D6EA3CE},,\Microsoft\Windows\InstallService\WakeUpAndContinueUpdates,2019-03-19 20:55:33.0842390,,,0,0,,,
3,,{0C46FA40-EA9F-41B0-8A23-F38E91DECBD4},,\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan,2019-03-19 20:55:32.6001358,,,0,0,"$(@%systemroot%\system32\discan.dll,-601)","$(@%systemroot%\system32\discan.dll,-602)","$(@%systemroot%\system32\discan.dll,-600)"
3,,{0C531BCD-530F-4BF9-A057-EEFDDE839C9D},,\Microsoft\Windows\Sysmain\ResPriStaticDbSync,2019-03-15 20:55:33.0842390,,,0,0,,"$(@%systemRoot%\System32\sysmain.dll,-3004)","$(@%systemRoot%\System32\sysmain.dll,-3000)"
3,,{0C5C92F5-A275-49A6-8F82-00DF4529EC32},,\Microsoft\Windows\UpdateOrchestrator\Schedule Scan,2019-03-19 13:03:27.9934036,2019-05-26 08:30:10.3872713,2019-05-26 08:30:11.4343584,0,0,,,
3,,{0CAD4002-A672-45EE-B6E3-2EDFECFE05EE},,\Microsoft\Windows\EDP\EDP App Launch Task,2019-03-19 20:55:33.0842390,,,0,0,,,
3,,{0DE644A5-9E42-484C-9B9B-C8ED1EB26DDF},,\Microsoft\Windows\CertificateServicesClient\SystemTask,2019-03-19 20:55:32.6158237,2019-05-26 08:49:36.3473703,2019-05-26 08:50:16.2181624,0,0,"$(@%SystemRoot%\system32\dimsjob.dll,-100)","$(@%SystemRoot%\system32\dimsjob.dll,-102)","$(@%SystemRoot%\system32\dimsjob.dll,-101)"
3,,{10B3FA49-D0E2-4D16-8BB9-3F74ADD128FB},,\Microsoft\Windows\Chkdsk\SyspartRepair,2019-03-19 20:55:33.0999491,,,0,0,,,
3,,{123AD11B-688B-4B4A-A14A-D8FC29F9B2A9},,\Microsoft\Windows\DeviceDirectoryClient\HandleCommand,2019-03-19 20:55:33.0999491,,,0,0,,,
3,,{15D4853D-410B-42C3-90B3-344FD90026B9},,\Microsoft\Windows\Feedback\Siuf\DmClient,2019-03-19 20:55:33.1158392,,,0,0,"$(@%systemRoot%\system32\dmclient.exe,-201)","$(@%systemRoot%\system32\dmclient.exe,-202)","$(@%systemRoot%\system32\dmclient.exe,-200)"
3,,{18421372-4693-48B7-BEDD-D6B0CC278DDD},,\Microsoft\Windows\Storage Tiers Management\Storage Tiers Optimization,2019-03-19 20:55:33.1158392,,,0,0,"$(@%systemroot%\system32\TieringEngineService.exe,-601)","$(@%systemroot%\system32\TieringEngineService.exe,-603)","$(@%systemroot%\system32\TieringEngineService.exe,-600)"
3,,{19E9F573-848A-4EA3-9700-CC134AA2FACF},,\Microsoft\Windows\SpacePort\SpaceAgentTask,2019-03-19 20:55:32.6158237,,,0,0,"$(@%SystemRoot%\system32\SpaceAgent.exe,-1)","$(@%SystemRoot%\system32\SpaceAgent.exe,-3)","$(@%SystemRoot%\system32\SpaceAgent.exe,-2)"
3,,{1A2DA1FE-1469-46EB-9BCA-7CDB0BD5D8B6},,\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck,2019-03-19 20:55:32.6318849,,,0,0,"$(@%systemroot%\system32\appidsvc.dll,-200)","$(@%systemroot%\system32\appidsvc.dll,-202)","$(@%systemroot%\system32\appidsvc.dll,-201)"
3,,{1AAB57CE-C190-4985-92A1-872BAC8D31AC},,\Microsoft\Windows\SettingSync\NetworkStateChangeTask,2019-03-19 20:55:33.1318563,2019-03-19 13:22:43.3680734,2019-03-19 13:22:43.8056515,0,0,,,
3,,{1B7C1AC4-4B86-45ED-BDE8-AF6E089F6531},,\Microsoft\Windows\Windows Defender\Windows Defender Cache Maintenance,2019-05-26 08:37:19.2103487,,,0,0,,Periodic maintenance task.,
3,,{1D8F6EF7-985B-41F2-B5D2-B683F1EFA4F8},,\Microsoft\Windows\PushToInstall\LoginCheck,2019-03-19 20:55:32.7097828,,,0,0,,,
