ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,0,\\192.168.70.128\SharedJJ\tools\DCode.exe,2009-11-02 21:20:14,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Windows\System32\config\SYSTEM
1,1,\\192.168.70.128\SharedJJ\tools\putty.exe,2018-04-11 16:20:36,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Windows\System32\config\SYSTEM
1,2,\\192.168.70.128\SharedJJ\tools\sync64.exe,2016-06-13 00:07:58,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Windows\System32\config\SYSTEM
1,3,\\192.168.70.128\SharedJJ\tools\sync.exe,2016-06-13 00:10:34,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Windows\System32\config\SYSTEM
1,4,C:\Users\Joker\DCode.exe,2019-02-15 04:59:23,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Windows\System32\config\SYSTEM
1,5,C:\Users\Joker\dd.exe,2019-02-15 04:59:53,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Windows\System32\config\SYSTEM
1,6,C:\Users\Joker\putty.exe,2019-02-15 04:59:34,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Windows\System32\config\SYSTEM
1,7,C:\Users\Joker\AppData\Local\Microsoft\OneDrive\17.3.6816.0313_1\FileCoAuth.exe,2019-02-15 04:55:15,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Windows\System32\config\SYSTEM
1,8,C:\Windows\system32\atbroker.exe,2018-04-11 23:34:18,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Windows\System32\config\SYSTEM
1,9,C:\Users\Joker\AppData\Local\Microsoft\OneDrive\OneDrive.exe,2019-02-15 04:55:17,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Windows\System32\config\SYSTEM
1,10,C:\Users\Joker\AppData\Local\Microsoft\OneDrive\17.3.6816.0313_1\FileSyncConfig.exe,2019-02-15 04:55:16,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Windows\System32\config\SYSTEM
1,11,C:\Users\IEUser\Desktop\sync64.exe,2016-06-13 00:07:58,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Windows\System32\config\SYSTEM
1,12,C:\Windows\system32\mmc.exe,2018-04-11 23:34:29,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Windows\System32\config\SYSTEM
1,13,C:\Windows\system32\CompMgmtLauncher.exe,2018-04-11 23:34:20,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Windows\System32\config\SYSTEM
1,14,C:\Windows\system32\ftp.exe,2018-04-11 23:34:40,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Windows\System32\config\SYSTEM
1,15,C:\Users\IEUser\Downloads\putty.exe,2018-04-11 16:20:36,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Windows\System32\config\SYSTEM
1,16,C:\Windows\system32\OpenWith.exe,2018-04-11 23:34:37,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Windows\System32\config\SYSTEM
1,17,C:\Windows\System32\conhost.exe,2018-04-11 23:34:20,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Windows\System32\config\SYSTEM
1,18,c:\windows\system32\consent.exe,2018-04-11 23:34:28,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Windows\System32\config\SYSTEM
1,19,C:\Users\IEUser\Downloads\SetMACE_v1009\SetMACE_v1009\SetMace.exe,2013-12-04 06:24:14,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Windows\System32\config\SYSTEM
1,20,C:\Users\IEUser\Downloads\SetMACE_v1009\SetMACE_v1009\SetMace64.exe,2013-12-04 06:23:56,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Windows\System32\config\SYSTEM
1,21,C:\Users\IEUser\Desktop\putty.exe,2018-04-11 16:20:36,NA,False,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Windows\System32\config\SYSTEM
