RunTime,ExecutableName
2018-04-25 20:08:22,\VOLUME{01d3dcd7d6133575-68d628db}\PROGRAM FILES (X86)\7-ZIP\7Z.EXE
2018-04-25 20:08:21,\VOLUME{01d3dcd7d6133575-68d628db}\PROGRAM FILES (X86)\7-ZIP\7Z.EXE
2018-04-25 20:03:52,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SOFTWAREDISTRIBUTION\DOWNLOAD\INSTALL\AM_BASE.EXE
2018-04-25 20:03:56,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SOFTWAREDISTRIBUTION\DOWNLOAD\INSTALL\AM_DELTA.EXE
2018-04-25 20:03:50,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SOFTWAREDISTRIBUTION\DOWNLOAD\INSTALL\AM_ENGINE.EXE
2019-02-15 13:45:20,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2019-02-15 04:58:38,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2019-02-15 04:54:31,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2019-02-15 03:49:19,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2018-04-25 20:05:06,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2018-04-25 20:02:08,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2019-02-15 05:33:52,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\ATBROKER.EXE
2019-02-15 05:06:24,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\ATBROKER.EXE
2019-02-15 04:58:52,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\ATBROKER.EXE
2019-02-15 03:52:06,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2018-04-25 20:12:36,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2018-04-25 20:01:27,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2018-04-25 20:04:32,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2018-04-25 20:04:16,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2019-02-15 05:33:53,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2019-02-15 05:06:24,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2019-02-15 05:06:13,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2019-02-15 04:58:52,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2019-02-15 04:54:31,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2019-02-15 03:53:18,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2019-02-15 03:52:11,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2018-04-25 20:05:06,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2019-02-15 05:33:54,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2019-02-15 05:06:25,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2019-02-15 04:58:54,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2019-02-15 03:53:00,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2019-02-15 05:04:18,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BROWSER_BROKER.EXE
2019-02-15 05:04:10,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BROWSER_BROKER.EXE
2019-02-15 05:04:00,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BROWSER_BROKER.EXE
2019-02-15 04:58:38,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BROWSER_BROKER.EXE
2019-02-15 04:54:31,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BROWSER_BROKER.EXE
2018-04-25 20:04:19,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\BYTECODEGENERATOR.EXE
2018-04-25 20:13:25,\VOLUME{01d3dcd7d6133575-68d628db}\PROGRAM FILES\OPENSSH\BIN\CHMOD.EXE
2018-04-25 20:08:19,\VOLUME{01d3dcd7d6133575-68d628db}\PROGRAM FILES\OPENSSH\BIN\CHMOD.EXE
2018-04-25 20:05:18,\VOLUME{01d3dcd7d6133575-68d628db}\PROGRAMDATA\CHOCOLATEY\CHOCO.EXE
2018-04-25 20:05:19,\VOLUME{01d3dcd7d6133575-68d628db}\PROGRAMDATA\CHOCOLATEY\BIN\CHOCO.EXE
2019-02-15 13:45:31,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CMD.EXE
2019-02-15 05:20:12,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CMD.EXE
2019-02-15 04:55:07,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CMD.EXE
2019-02-15 04:50:09,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CMD.EXE
2019-02-15 04:49:55,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CMD.EXE
2019-02-15 04:33:09,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CMD.EXE
2019-02-15 04:19:30,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CMD.EXE
2019-02-15 03:53:14,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CMD.EXE
2019-02-15 03:47:59,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSWOW64\CMD.EXE
2019-02-15 03:47:59,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSWOW64\CMD.EXE
2019-02-15 03:47:59,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSWOW64\CMD.EXE
2019-02-15 03:47:59,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSWOW64\CMD.EXE
2019-02-15 03:47:59,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSWOW64\CMD.EXE
2018-04-25 20:07:55,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSWOW64\CMD.EXE
2018-04-25 20:07:55,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSWOW64\CMD.EXE
2018-04-25 20:07:55,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSWOW64\CMD.EXE
2019-02-15 04:52:54,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\COMPMGMTLAUNCHER.EXE
2019-02-15 04:49:13,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\COMPMGMTLAUNCHER.EXE
2019-02-15 03:48:11,\VOLUME{01d3dcd7d6133575-68d628db}\PROGRAM FILES\COMMON FILES\VMWARE\DRIVERS\VSS\COMREG.EXE
2018-04-25 20:08:14,\VOLUME{01d3dcd7d6133575-68d628db}\PROGRAM FILES\COMMON FILES\VMWARE\DRIVERS\VSS\COMREG.EXE
2018-04-25 20:08:05,\VOLUME{01d3dcd7d6133575-68d628db}\PROGRAM FILES\VMWARE\VMWARE TOOLS\VMWARE CAF\PME\BIN\CONFIGPROVIDER.EXE
2019-02-15 13:55:16,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CONHOST.EXE
2019-02-15 13:45:31,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CONHOST.EXE
2019-02-15 13:45:30,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CONHOST.EXE
2019-02-15 05:30:06,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CONHOST.EXE
2019-02-15 05:19:54,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CONHOST.EXE
2019-02-15 05:06:56,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CONHOST.EXE
2019-02-15 04:59:54,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CONHOST.EXE
2019-02-15 04:59:54,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CONHOST.EXE
2019-02-15 05:07:16,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CONSENT.EXE
2019-02-15 05:06:59,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CONSENT.EXE
2019-02-15 04:57:35,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CONSENT.EXE
2019-02-15 04:52:55,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CONSENT.EXE
2019-02-15 04:52:44,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CONSENT.EXE
2019-02-15 04:52:26,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CONSENT.EXE
2019-02-15 04:52:18,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CONSENT.EXE
2019-02-15 04:49:14,\VOLUME{01d3dcd7d6133575-68d628db}\WINDOWS\SYSTEM32\CONSENT.EXE
2018-04-25 20:03:21,\VOLUME{01d3dcd7d6133575-68d628db}\PROGRAM FILES (X86)\MICROSOFT SILVERLIGHT\5.1.50907.0\COREGEN.EXE
2018-04-25 20:03:21,\VOLUME{01d3dcd7d6133575-68d628db}\PROGRAM FILES (X86)\MICROSOFT SILVERLIGHT\5.1.50907.0\COREGEN.EXE
