CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
0,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,\\192.168.70.128\SharedJJ\tools\DCode.exe,AppCompatCache,2009-11-02 21:20:14.0000000
1,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,\\192.168.70.128\SharedJJ\tools\putty.exe,AppCompatCache,2018-04-11 16:20:36.4835465
2,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,\\192.168.70.128\SharedJJ\tools\sync64.exe,AppCompatCache,2016-06-13 00:07:58.0000000
3,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,\\192.168.70.128\SharedJJ\tools\sync.exe,AppCompatCache,2016-06-13 00:10:34.0000000
4,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\Joker\DCode.exe,AppCompatCache,2019-02-15 04:59:23.1039124
5,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\Joker\dd.exe,AppCompatCache,2019-02-15 04:59:53.5726157
6,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\Joker\putty.exe,AppCompatCache,2019-02-15 04:59:34.8070056
7,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\Joker\AppData\Local\Microsoft\OneDrive\17.3.6816.0313_1\FileCoAuth.exe,AppCompatCache,2019-02-15 04:55:15.4092972
8,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\atbroker.exe,AppCompatCache,2018-04-11 23:34:18.3337525
9,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\Joker\AppData\Local\Microsoft\OneDrive\OneDrive.exe,AppCompatCache,2019-02-15 04:55:17.8311297
10,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\Joker\AppData\Local\Microsoft\OneDrive\17.3.6816.0313_1\FileSyncConfig.exe,AppCompatCache,2019-02-15 04:55:16.0032041
11,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\IEUser\Desktop\sync64.exe,AppCompatCache,2016-06-13 00:07:58.0000000
12,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\mmc.exe,AppCompatCache,2018-04-11 23:34:29.7273725
13,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\CompMgmtLauncher.exe,AppCompatCache,2018-04-11 23:34:20.6641231
14,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\ftp.exe,AppCompatCache,2018-04-11 23:34:40.5106079
15,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\IEUser\Downloads\putty.exe,AppCompatCache,2018-04-11 16:20:36.4835465
16,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\OpenWith.exe,AppCompatCache,2018-04-11 23:34:37.7135037
17,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\conhost.exe,AppCompatCache,2018-04-11 23:34:20.7422564
18,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,c:\windows\system32\consent.exe,AppCompatCache,2018-04-11 23:34:28.8991815
19,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\IEUser\Downloads\SetMACE_v1009\SetMACE_v1009\SetMace.exe,AppCompatCache,2013-12-04 06:24:14.0000000
20,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\IEUser\Downloads\SetMACE_v1009\SetMACE_v1009\SetMace64.exe,AppCompatCache,2013-12-04 06:23:56.0000000
21,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\IEUser\Desktop\putty.exe,AppCompatCache,2018-04-11 16:20:36.4835465
22,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,SIGN.MEDIA=5259158 tools\DCode.exe,AppCompatCache,2009-11-02 21:20:14.0000000
23,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,SIGN.MEDIA=5259158 tools\putty.exe,AppCompatCache,2018-04-11 16:20:36.4835465
