Program,BatchKeyPath,ExecutionTime,BatchValueName
\Device\HarddiskVolume3\Windows\System32\csrss.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-18,2019-02-15 13:45:09.8013847,\Device\HarddiskVolume3\Windows\System32\csrss.exe
Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-597701057-294507186-493142324-1000,2019-02-15 14:01:22.3833016,Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy
Microsoft.Windows.Cortana_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-597701057-294507186-493142324-1000,2019-02-15 14:01:22.3679784,Microsoft.Windows.Cortana_cw5n1h2txyewy
\Device\HarddiskVolume3\Windows\System32\ApplicationFrameHost.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-597701057-294507186-493142324-1000,2019-02-15 14:01:22.3207103,\Device\HarddiskVolume3\Windows\System32\ApplicationFrameHost.exe
Microsoft.MicrosoftEdge_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-597701057-294507186-493142324-1000,2019-02-15 14:01:22.3679784,Microsoft.MicrosoftEdge_8wekyb3d8bbwe
Microsoft.WindowsStore_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-597701057-294507186-493142324-1000,2019-02-15 14:01:22.3679784,Microsoft.WindowsStore_8wekyb3d8bbwe
\Device\HarddiskVolume3\Windows\explorer.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-597701057-294507186-493142324-1000,2019-02-15 14:01:22.2897531,\Device\HarddiskVolume3\Windows\explorer.exe
\Device\HarddiskVolume3\Program Files\VMware\VMware Tools\vmtoolsd.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-597701057-294507186-493142324-1000,2019-02-15 14:01:21.5395553,\Device\HarddiskVolume3\Program Files\VMware\VMware Tools\vmtoolsd.exe
\Device\HarddiskVolume3\Windows\System32\cmd.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-597701057-294507186-493142324-1000,2019-02-15 04:49:16.2622009,\Device\HarddiskVolume3\Windows\System32\cmd.exe
\Device\HarddiskVolume3\Windows\System32\msdt.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-597701057-294507186-493142324-1000,2019-02-15 04:25:59.0012221,\Device\HarddiskVolume3\Windows\System32\msdt.exe
\Device\HarddiskVolume3\Users\IEUser\Downloads\SetMACE_v1009\SetMACE_v1009\SetMace.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-597701057-294507186-493142324-1000,2019-02-15 04:33:19.7939900,\Device\HarddiskVolume3\Users\IEUser\Downloads\SetMACE_v1009\SetMACE_v1009\SetMace.exe
\Device\HarddiskVolume3\Users\IEUser\AppData\Local\Microsoft\OneDrive\OneDrive.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-597701057-294507186-493142324-1000,2019-02-15 14:01:21.5863761,\Device\HarddiskVolume3\Users\IEUser\AppData\Local\Microsoft\OneDrive\OneDrive.exe
\Device\HarddiskVolume3\Windows\System32\OpenWith.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-597701057-294507186-493142324-1000,2019-02-15 04:35:40.6222048,\Device\HarddiskVolume3\Windows\System32\OpenWith.exe
