Extension,BatchKeyPath,ValueName,BatchValueName,TargetName,LnkName,MruPosition,OpenedOn,ExtensionLastOpened
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,1,1,pics,pics.lnk,0,2019-02-15 05:07:07.8487029,2019-02-15 05:07:07.8487029
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,5,5,whoami4.png,whoami4.png.lnk,1,,2019-02-15 05:07:07.8174328
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,10,10,SetMACE_v1009,SetMACE_v1009.lnk,2,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,9,9,readme.txt,readme.txt.lnk,3,,2019-02-15 04:37:08.7629607
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,8,8,System32,System32.lnk,4,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,7,7,eula.txt,eula.txt.lnk,5,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,6,6,forensics.jpg,forensics.jpg.lnk,6,,2019-02-15 04:36:14.9188181
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,4,4,Photo02.jpg,Photo02.jpg.lnk,7,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,3,3,Halloween.jpg,Halloween.jpg.lnk,8,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,2,2,ZoteroWorkshopPoster.png,ZoteroWorkshopPoster.png.lnk,9,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,0,0,FindMeIfYouCan.jpg,FindMeIfYouCan.jpg.lnk,10,,
Folder,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,0,0,pics,pics.lnk,0,2019-02-15 05:07:07.8487029,
Folder,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,2,2,SetMACE_v1009,SetMACE_v1009.lnk,1,,
Folder,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,1,1,System32,System32.lnk,2,,
.txt,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,1,1,readme.txt,readme.txt.lnk,0,2019-02-15 04:37:08.7629607,
.txt,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,0,0,eula.txt,eula.txt.lnk,1,,
.png,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.png,1,1,whoami4.png,whoami4.png.lnk,0,2019-02-15 05:07:07.8174328,
.png,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.png,0,0,ZoteroWorkshopPoster.png,ZoteroWorkshopPoster.png.lnk,1,,
.jpg,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,3,3,forensics.jpg,forensics.jpg.lnk,0,2019-02-15 04:36:14.9188181,
.jpg,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,2,2,Photo02.jpg,Photo02.jpg.lnk,1,,
.jpg,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,1,1,Halloween.jpg,Halloween.jpg.lnk,2,,
.jpg,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,0,0,FindMeIfYouCan.jpg,FindMeIfYouCan.jpg.lnk,3,,
.jpg,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,3,3,forensics.jpg,forensics.jpg.lnk,0,2019-02-15 04:36:14.9188181,
.jpg,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,2,2,Photo02.jpg,Photo02.jpg.lnk,1,,
.jpg,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,1,1,Halloween.jpg,Halloween.jpg.lnk,2,,
.jpg,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.jpg,0,0,FindMeIfYouCan.jpg,FindMeIfYouCan.jpg.lnk,3,,
.png,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.png,1,1,whoami4.png,whoami4.png.lnk,0,2019-02-15 05:07:07.8174328,
.png,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.png,0,0,ZoteroWorkshopPoster.png,ZoteroWorkshopPoster.png.lnk,1,,
.txt,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,1,1,readme.txt,readme.txt.lnk,0,2019-02-15 04:37:08.7629607,
.txt,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,0,0,eula.txt,eula.txt.lnk,1,,
Folder,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,0,0,pics,pics.lnk,0,2019-02-15 05:07:07.8487029,
Folder,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,2,2,SetMACE_v1009,SetMACE_v1009.lnk,1,,
Folder,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,1,1,System32,System32.lnk,2,,
