BatchKeyPath,BatchValueName,ProgramName,RunCounter,FocusCount,FocusTime,LastExecuted
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,HRZR_PGYPHNPbhag:pgbe,UEME_CTLCUACount:ctor,0,0,"0d, 0h, 00m, 00s",
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Trgfgnegrq_8jrxlo3q8oojr!Ncc,Microsoft.Getstarted_8wekyb3d8bbwe!App,14,21,"0d, 0h, 07m, 00s",2019-02-15 04:52:26.1413602
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,HRZR_PGYFRFFVBA,UEME_CTLSESSION,108,154,"0d, 0h, 48m, 10s",
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.JvaqbjfSrrqonpxUho_8jrxlo3q8oojr!Ncc,Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe!App,13,19,"0d, 0h, 06m, 15s",2019-02-15 04:52:26.1413602
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.JvaqbjfZncf_8jrxlo3q8oojr!Ncc,Microsoft.WindowsMaps_8wekyb3d8bbwe!App,12,17,"0d, 0h, 05m, 30s",2019-02-15 04:52:26.1413602
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Crbcyr_8jrxlo3q8oojr!k4p7n3o7ql2188l46q4ln362l19np5n5805r5k,Microsoft.People_8wekyb3d8bbwe!x4c7a3b7dy2188y46d4ya362y19ac5a5805e5x,11,15,"0d, 0h, 04m, 45s",2019-02-15 04:52:26.1413602
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.ZvpebfbsgFgvpxlAbgrf_8jrxlo3q8oojr!Ncc,Microsoft.MicrosoftStickyNotes_8wekyb3d8bbwe!App,10,13,"0d, 0h, 04m, 00s",2019-02-15 04:52:26.1413602
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\FavccvatGbby.rkr,{System32}\SnippingTool.exe,9,11,"0d, 0h, 03m, 15s",2019-02-15 04:52:26.1413602
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.JvaqbjfPnyphyngbe_8jrxlo3q8oojr!Ncc,Microsoft.WindowsCalculator_8wekyb3d8bbwe!App,8,9,"0d, 0h, 02m, 30s",2019-02-15 04:52:26.1413602
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\zfcnvag.rkr,{System32}\mspaint.exe,7,7,"0d, 0h, 01m, 45s",2019-02-15 04:52:26.1413602
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\abgrcnq.rkr,{System32}\notepad.exe,6,5,"0d, 0h, 01m, 00s",2019-02-15 04:52:26.1413602
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Jvaqbjf.Pbegnan_pj5a1u2gklrjl!PbegnanHV,Microsoft.Windows.Cortana_cw5n1h2txyewy!CortanaUI,0,3,"0d, 0h, 01m, 30s",
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\pzq.rkr,{System32}\cmd.exe,2,7,"0d, 0h, 05m, 17s",2019-02-15 04:55:07.3770000
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Jvaqbjf.FuryyRkcrevraprUbfg_pj5a1u2gklrjl!Ncc,Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy!App,0,5,"0d, 0h, 01m, 02s",
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{6Q809377-6NS0-444O-8957-N3773S02200R}\IZjner\IZjner Gbbyf\izgbbyfq.rkr,{Program Files X64}\VMware\VMware Tools\vmtoolsd.exe,0,0,"0d, 0h, 00m, 01s",
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Jvaqbjf.Rkcybere,Microsoft.Windows.Explorer,2,10,"0d, 0h, 02m, 19s",2019-02-15 05:01:24.1190000
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Jvaqbjf.Cubgbf_8jrxlo3q8oojr!Ncc,Microsoft.Windows.Photos_8wekyb3d8bbwe!App,1,1,"0d, 0h, 00m, 06s",2019-02-15 05:01:53.0250000
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,P:\Hfref\Wbxre\qq.rkr,C:\Users\Joker\dd.exe,1,1,"0d, 0h, 00m, 04s",2019-02-15 05:02:12.7910000
