Id,Platform,Name,AdditionalInformation,Expires
d42caac5-07f1-0361-c1b6-03e2403f7b74,Win32,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\cmd.exe,System32\cmd.exe,2019-03-17 03:53:14
d42caac5-07f1-0361-c1b6-03e2403f7b74,host,,,2019-03-17 03:53:14
157a5908-327f-7db2-0751-0d25c931c1a7,Win32,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\cmd.exe,System32\cmd.exe,2019-03-17 04:04:36
157a5908-327f-7db2-0751-0d25c931c1a7,packageid,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\cmd.exe,System32\cmd.exe,2019-03-17 04:04:36
157a5908-327f-7db2-0751-0d25c931c1a7,host,,,2019-03-17 04:04:36
a1024a35-89c0-1f9d-14c7-3f16e1bfbd34,Win32,microsoft.windows.explorer,,2019-03-17 04:16:39
a1024a35-89c0-1f9d-14c7-3f16e1bfbd34,host,,,2019-03-17 04:16:39
11ed990b-4460-52bf-3c45-d6f8d22e1e10,Win32,microsoft.windows.explorer,,2019-03-17 04:22:56
11ed990b-4460-52bf-3c45-d6f8d22e1e10,packageid,microsoft.windows.explorer,,2019-03-17 04:22:56
11ed990b-4460-52bf-3c45-d6f8d22e1e10,host,,,2019-03-17 04:22:56
f03eaa73-a122-63f7-7f7d-2bd59a6c26fe,Win32,microsoft.windows.explorer,,2019-03-17 04:23:00
f03eaa73-a122-63f7-7f7d-2bd59a6c26fe,packageid,microsoft.windows.explorer,,2019-03-17 04:23:00
f03eaa73-a122-63f7-7f7d-2bd59a6c26fe,host,,,2019-03-17 04:23:00
5548f6d2-f8eb-4325-4aa6-1b7d19e39b01,Win32,microsoft.windows.explorer,,2019-03-17 04:25:55
5548f6d2-f8eb-4325-4aa6-1b7d19e39b01,packageid,microsoft.windows.explorer,,2019-03-17 04:25:55
5548f6d2-f8eb-4325-4aa6-1b7d19e39b01,host,,,2019-03-17 04:25:55
da531c51-d177-403c-fb53-07b83cdff7a4,ExecutablePath,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\msdt.exe,System32\msdt.exe,2019-03-17 04:25:55
da531c51-d177-403c-fb53-07b83cdff7a4,host,,,2019-03-17 04:25:55
47194332-598b-582c-add3-e0497012d7fd,ExecutablePath,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\msdt.exe,System32\msdt.exe,2019-03-17 04:25:58
47194332-598b-582c-add3-e0497012d7fd,packageid,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\msdt.exe,System32\msdt.exe,2019-03-17 04:25:58
47194332-598b-582c-add3-e0497012d7fd,host,,,2019-03-17 04:25:58
fc8c7733-6ffc-564e-4c26-9fdc64e2a078,Win32,microsoft.windows.explorer,,2019-03-17 04:31:41
fc8c7733-6ffc-564e-4c26-9fdc64e2a078,packageid,microsoft.windows.explorer,,2019-03-17 04:31:41
fc8c7733-6ffc-564e-4c26-9fdc64e2a078,host,,,2019-03-17 04:31:41
