BagPath,Slot,NodeSlot,MRUPosition,AbsolutePath,ShellType,Value,ChildBags,CreatedOn,ModifiedOn,AccessedOn,LastWriteTime,MFTEntry,MFTSequenceNumber,ExtensionBlockCount,FirstInteracted,LastInteracted,HasExplored,Miscellaneous
BagMRU,0,0,1,Desktop\Home Folder,Root folder: GUID,Home Folder,0,,,,2019-02-15 05:06:53,,,0,2019-02-15 04:16:51,,False,
BagMRU,1,0,0,Desktop\My Computer,Root folder: GUID,My Computer,7,,,,2019-02-15 05:06:53,,,0,,2019-02-15 05:06:53,False,
BagMRU,2,0,2,Desktop\OneDrive,Root folder: GUID,OneDrive,0,,,,2019-02-15 05:06:53,,,1,2019-02-15 04:34:01,,False,
BagMRU\1,0,2,1,Desktop\My Computer\O:,Drive letter,O:,3,,,,2019-02-15 05:06:49,,,0,,,True,
BagMRU\1,1,6,3,Desktop\My Computer\Downloads,Root folder: GUID,Downloads,1,,,,2019-02-15 05:06:49,,,1,,,True,
BagMRU\1,2,8,6,Desktop\My Computer\C:,Drive letter,C:,1,,,,2019-02-15 05:06:49,,,0,,,True,
BagMRU\1,3,15,4,Desktop\My Computer\Documents,Root folder: GUID,Documents,0,,,,2019-02-15 05:06:49,,,0,2019-02-15 04:36:49,,True,
BagMRU\1,4,16,5,Desktop\My Computer\Desktop,Root folder: GUID,Desktop,0,,,,2019-02-15 05:06:49,,,1,2019-02-15 04:37:02,,False,
BagMRU\1,5,17,2,Desktop\My Computer\Z:,Drive letter,Z:,0,,,,2019-02-15 05:06:49,,,0,2019-02-15 04:51:54,,True,
BagMRU\1,6,18,0,Desktop\My Computer\Pictures,Root folder: GUID,Pictures,1,,,,2019-02-15 05:06:49,,,1,,2019-02-15 05:06:49,True,
BagMRU\1\0,0,3,0,Desktop\My Computer\O:\pics,Directory,pics,0,2019-02-15 03:56:02,2019-02-15 04:16:26,2019-02-15 04:16:26,2019-02-15 05:06:43,67462,3,1,2019-02-15 04:31:47,2019-02-15 05:06:43,True,NTFS file system
BagMRU\1\0,1,4,2,Desktop\My Computer\O:\docs,Directory,docs,0,2019-02-15 03:56:56,2019-02-15 04:10:20,2019-02-15 04:10:20,2019-02-15 05:06:43,67465,2,1,2019-02-15 04:32:01,,False,NTFS file system
BagMRU\1\0,2,5,1,Desktop\My Computer\O:\tools,Directory,tools,0,2019-02-15 04:01:26,2019-02-15 04:13:46,2019-02-15 04:13:46,2019-02-15 05:06:43,67474,2,1,2019-02-15 04:32:03,,True,NTFS file system
BagMRU\1\1,0,12,0,Desktop\My Computer\Downloads\SetMACE_v1009,Directory,SetMACE_v1009,1,2019-02-15 04:32:54,2019-02-15 04:32:54,2019-02-15 04:32:54,2019-02-15 04:32:56,87898,3,1,,2019-02-15 04:32:56,True,NTFS file system
BagMRU\1\1\0,0,13,0,Desktop\My Computer\Downloads\SetMACE_v1009\SetMACE_v1009,Directory,SetMACE_v1009,0,2019-02-15 04:32:54,2019-02-15 04:32:56,2019-02-15 04:32:56,2019-02-15 04:33:05,87899,3,1,2019-02-15 04:33:05,2019-02-15 04:33:05,True,NTFS file system
BagMRU\1\2,0,9,0,Desktop\My Computer\C:\Users,Directory,Users,1,2018-04-11 21:04:34,2018-04-25 20:06:42,2019-02-15 04:16:44,2019-02-15 04:32:40,1499,1,1,,2019-02-15 04:32:40,True,NTFS file system
BagMRU\1\2\0,0,10,0,Desktop\My Computer\C:\Users\IEUser,Directory,IEUser,1,2018-04-25 20:01:18,2018-04-25 20:07:38,2019-02-15 04:16:44,2019-02-15 04:32:43,87324,1,1,,2019-02-15 04:32:43,True,NTFS file system
BagMRU\1\2\0\0,0,11,0,Desktop\My Computer\C:\Users\IEUser\Downloads,Directory,Downloads,0,2018-04-25 20:01:18,2018-04-25 20:01:22,2019-02-15 04:32:36,2019-02-15 04:32:46,87332,1,1,2019-02-15 04:32:46,2019-02-15 04:32:46,True,NTFS file system
BagMRU\1\6,0,19,0,Desktop\My Computer\Pictures\pics,Directory,pics,0,2019-02-15 05:06:54,2019-02-15 05:06:54,2019-02-15 05:06:54,2019-02-15 05:06:53,98736,4,1,2019-02-15 05:06:53,2019-02-15 05:06:53,True,NTFS file system
