Hash,Id,Offset,OwnerSid,GroupSid,Control,SaclAceCount,UniqueSaclAceTypes,DaclAceCount,UniqueDaclAceTypes,FileOffset,SourceFile
CBC6FE32,256,0,S-1-5-18,S-1-5-32-544,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,0,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
F7C81434,257,128,S-1-5-18,S-1-5-32-544,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,128,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
19227620,258,256,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,256,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
59227620,259,384,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,384,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
91588E06,260,512,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,512,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
4F380486,261,640,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,8,AccessAllowed,640,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
0483E762,262,896,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,4,AccessAllowed,896,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
8B7527AB,263,1056,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,1056,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
0F442204,264,1184,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeDaclProtected|SeSaclProtected|SeSelfRelative,1,SystemMandatoryLabel,5,AccessAllowed,1184,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
498FB382,265,1440,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSelfRelative,0,,5,AccessAllowed,1440,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
D9061172,266,1632,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeDaclProtected|SeSelfRelative,1,SystemMandatoryLabel,5,AccessAllowed,1632,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
45499A07,267,1856,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,3,AccessAllowed,1856,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
5FC54F65,268,2016,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,13,AccessAllowed,2016,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
0099EB07,269,2480,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,13,AccessAllowed,2480,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
CB4732BC,270,2896,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,1,SystemAudit,13,AccessAllowed,2896,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
