ProgramId,KeyLastWriteTimestamp,Name,Version,Publisher,InstallDateArpLastModified,InstallDate,InstallDateMsi,OSVersionAtInstallTime,InstallDateFromLinkFile,BundleManifestPath,HiddenArp,InboxModernApp,Language,ManifestPath,MsiPackageCode,MsiProductCode,PackageFullName,ProgramInstanceId,RegistryKeyPath,RootDirPath,Type,Source,StoreAppType,UninstallString,Manufacturer
00000030b629feee488f14cbd5140a50b29300000904,2019-02-15 13:49:30,InputApp,1000.17134.1.0,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,,10.0.0.17134,,,False,True,1033,C:\Windows\SystemApps\InputApp_cw5n1h2txyewy\AppXManifest.xml,,,InputApp_1000.17134.1.0_neutral_neutral_cw5n1h2txyewy,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Windows\SystemApps\InputApp_cw5n1h2txyewy,Application,AppxPackage,,,
000011be63aa0c54bb4716b4e711d760ae7800000904,2019-02-15 13:49:32,Microsoft Silverlight,5.1.50907.0,Microsoft Corporation,,2018-04-25 00:00:00,,10.0.0.17134,,,False,False,1033,,{12488200-68FD-4795-9C36-8D6EF872BD57},{89F4137D-6C26-4A84-BDB8-2E5A4BB71E00},,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\{89F4137D-6C26-4A84-BDB8-2E5A4BB71E00},c:\Program Files\Microsoft Silverlight,Application,Msi,,MsiExec.exe /X{89F4137D-6C26-4A84-BDB8-2E5A4BB71E00},
000011e352883c752168ff569c96673d01b000000904,2019-02-15 13:49:31,Microsoft.Microsoft3DViewer,2.1803.8022.0,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,,10.0.0.17134,,C:\Program Files\WindowsApps\Microsoft.Microsoft3DViewer_2.1803.8022.0_neutral_~_8wekyb3d8bbwe\AppxMetadata\AppXBundleManifest.xml,False,False,1033,C:\Program Files\WindowsApps\Microsoft.Microsoft3DViewer_2.1803.8022.0_x64__8wekyb3d8bbwe\AppXManifest.xml,,,Microsoft.Microsoft3DViewer_2.1803.8022.0_x64__8wekyb3d8bbwe,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Program Files\WindowsApps\Microsoft.Microsoft3DViewer_2.1803.8022.0_x64__8wekyb3d8bbwe,Application,AppxPackage,,,
000018857244ee8f415eee4efb9201f3f30200000904,2019-02-15 13:49:31,Microsoft.Windows.ParentalControls,1000.17134.1.0,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,,10.0.0.17134,,,False,True,1033,C:\Windows\SystemApps\ParentalControls_cw5n1h2txyewy\AppXManifest.xml,,,Microsoft.Windows.ParentalControls_1000.17134.1.0_neutral_neutral_cw5n1h2txyewy,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Windows\SystemApps\ParentalControls_cw5n1h2txyewy,Application,AppxPackage,,,
000019c07a283df56ba817753835aa0d9ec000000904,2019-02-15 13:49:31,Microsoft.GetHelp,10.1706.10441.0,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,,10.0.0.17134,,C:\Program Files\WindowsApps\Microsoft.GetHelp_10.1706.10441.0_neutral_~_8wekyb3d8bbwe\AppxMetadata\AppXBundleManifest.xml,False,False,1033,C:\Program Files\WindowsApps\Microsoft.GetHelp_10.1706.10441.0_x64__8wekyb3d8bbwe\AppXManifest.xml,,,Microsoft.GetHelp_10.1706.10441.0_x64__8wekyb3d8bbwe,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Program Files\WindowsApps\Microsoft.GetHelp_10.1706.10441.0_x64__8wekyb3d8bbwe,Application,AppxPackage,,,
00001b4a7e3e7e70dd6be596f5bb300e543c00000904,2019-02-15 13:49:30,Microsoft.Windows.Apprep.ChxApp,1000.17134.1.0,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,,10.0.0.17134,,,False,True,1033,C:\Windows\SystemApps\Microsoft.Windows.AppRep.ChxApp_cw5n1h2txyewy\AppXManifest.xml,,,Microsoft.Windows.Apprep.ChxApp_1000.17134.1.0_neutral_neutral_cw5n1h2txyewy,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Windows\SystemApps\Microsoft.Windows.AppRep.ChxApp_cw5n1h2txyewy,Application,AppxPackage,,,
00001df5ed47057901d1d49de84c90c5d92e0000ffff,2019-02-15 13:49:32,Microsoft OneDrive,17.3.6816.0313,Microsoft Corporation,,2018-04-25 20:03:37,,10.0.0.17134,,,False,False,65535,,,,,0000508b782c79fcad777480f22b64ca07d6904c9cab,HKEY_USERS\S-1-5-21-597701057-294507186-493142324-1000\Software\Microsoft\Windows\CurrentVersion\Uninstall\OneDriveSetup.exe,c:\Users\IEUser\AppData\Local\microsoft\OneDrive\17.3.6816.0313,Application,AddRemoveProgramPerUser,,C:\Users\IEUser\AppData\Local\Microsoft\OneDrive\17.3.6816.0313\OneDriveSetup.exe  /uninstall,
00002290daa4bffaa40953ce033e04f0cd8c00000904,2019-02-15 13:49:31,Microsoft.Messaging,3.38.22001.0,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,,10.0.0.17134,,C:\Program Files\WindowsApps\Microsoft.Messaging_2018.222.2231.0_neutral_~_8wekyb3d8bbwe\AppxMetadata\AppXBundleManifest.xml,False,False,1033,C:\Program Files\WindowsApps\Microsoft.Messaging_3.38.22001.0_x64__8wekyb3d8bbwe\AppXManifest.xml,,,Microsoft.Messaging_3.38.22001.0_x64__8wekyb3d8bbwe,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Program Files\WindowsApps\Microsoft.Messaging_3.38.22001.0_x64__8wekyb3d8bbwe,Application,AppxPackage,,,
000028ca2e0b303c53ad402055cb3b6f0ed600000904,2019-02-15 13:49:32,Microsoft.Xbox.TCUI,1.11.28003.0,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,,10.0.0.17134,,C:\Program Files\WindowsApps\Microsoft.Xbox.TCUI_1.11.28003.0_neutral_~_8wekyb3d8bbwe\AppxMetadata\AppXBundleManifest.xml,False,False,1033,C:\Program Files\WindowsApps\Microsoft.Xbox.TCUI_1.11.28003.0_x64__8wekyb3d8bbwe\AppXManifest.xml,,,Microsoft.Xbox.TCUI_1.11.28003.0_x64__8wekyb3d8bbwe,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Program Files\WindowsApps\Microsoft.Xbox.TCUI_1.11.28003.0_x64__8wekyb3d8bbwe,Application,AppxPackage,,,
00002b7d2b375570e573d1f622197ca6785200000904,2019-02-15 13:49:31,Microsoft.Getstarted,6.9.10602.0,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,,10.0.0.17134,,C:\Program Files\WindowsApps\Microsoft.Getstarted_6.9.10602.0_neutral_~_8wekyb3d8bbwe\AppxMetadata\AppXBundleManifest.xml,False,False,1033,C:\Program Files\WindowsApps\Microsoft.Getstarted_6.9.10602.0_x64__8wekyb3d8bbwe\AppXManifest.xml,,,Microsoft.Getstarted_6.9.10602.0_x64__8wekyb3d8bbwe,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Program Files\WindowsApps\Microsoft.Getstarted_6.9.10602.0_x64__8wekyb3d8bbwe,Application,AppxPackage,,,
