ApplicationName,ProgramId,FileKeyLastWriteTimestamp,SHA1,IsOsComponent,FullPath,Name,FileExtension,LinkDate,ProductName,Size,Version,ProductVersion,LongPathHash,BinaryType,IsPeFile,BinFileVersion,BinProductVersion,Usn,Language,Description
Unassociated,0006849d7ca405c77744869743e8bb96c30300000904,2019-02-15 03:52:39,011af04bcb58e8157fa15e58d310c2b6d9551f61,False,c:\program files\microsoft silverlight\5.1.50907.0\agcp.exe,agcp.exe,.exe,2017-05-04 05:05:02,microsoft® silverlight,17536,5.1.50907.0,5.1.50907.0,agcp.exe|814b683b234e8861,pe64_amd64,True,5.1.50907.0,5.1.50907.0,0,1033,
Unassociated,0006849d7ca405c77744869743e8bb96c30300000904,2019-02-15 03:52:39,6a12d52370fe4be94af25c8a2455ce44ee22db1c,False,c:\program files (x86)\microsoft silverlight\5.1.50907.0\agcp.exe,agcp.exe,.exe,2017-05-04 05:14:41,microsoft® silverlight,16512,5.1.50907.0,5.1.50907.0,agcp.exe|96ce7e1ca71d39ab,pe32_i386,True,5.1.50907.0,5.1.50907.0,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2018-04-25 20:04:37,6e5a4fdb4447e215cf5eb0127a5780fd5742d29c,True,c:\windows\system32\applicationframehost.exe,applicationframehost.exe,.exe,2003-03-11 15:20:06,microsoft® windows® operating system,69800,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,applicationframe|7c5c9be1b612bbd,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2018-04-25 20:01:36,087516f64e124b47178812eb5c13da6e689c9ca6,True,c:\windows\system32\compattelrunner.exe,compattelrunner.exe,.exe,2028-03-02 05:47:54,microsoft® windows® operating system,145160,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,compattelrunner.|732ad1627e12cb48,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2018-04-25 20:01:27,8f9bc1b7d65188d0adbdf74ccce4eed78bf4c129,True,c:\windows\system32\conhost.exe,conhost.exe,.exe,2085-11-30 02:53:37,microsoft® windows® operating system,625664,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,conhost.exe|a73bcd1ef9353f3e,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-02-15 04:33:18,35dec0d1a12c6f1f7a460e3ae75e4d74d5bd815a,True,c:\windows\system32\consent.exe,consent.exe,.exe,1999-07-14 19:13:45,microsoft® windows® operating system,157080,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,consent.exe|808393f799959da6,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,0006849d7ca405c77744869743e8bb96c30300000904,2019-02-15 03:52:39,d99f6a54149eb1636adcb6151c658f97634c5d75,False,c:\program files\microsoft silverlight\5.1.50907.0\coregen.exe,coregen.exe,.exe,2017-05-04 05:03:39,microsoft® silverlight,80000,5.1.50907.0 built by: sl_v5_svc,5.1.50907.0,coregen.exe|10f2630c2c567c0a,pe64_amd64,True,5.1.50907.0,5.1.50907.0,0,1033,
Unassociated,0006849d7ca405c77744869743e8bb96c30300000904,2019-02-15 03:52:39,42db842653c60a9c3e20143d4e7a730de5671141,False,c:\program files (x86)\microsoft silverlight\5.1.50907.0\coregen.exe,coregen.exe,.exe,2017-05-04 05:12:01,microsoft® silverlight,68736,5.1.50907.0 built by: sl_v5_svc,5.1.50907.0,coregen.exe|7dcadb0e97868852,pe32_i386,True,5.1.50907.0,5.1.50907.0,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2018-04-25 20:02:03,786ba7f76fbc3c40e7a84f4d7066d7a078439665,True,c:\windows\system32\csrss.exe,csrss.exe,.exe,2100-03-02 06:33:42,microsoft® windows® operating system,17696,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,csrss.exe|a9363ee544229f11,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2018-04-25 20:01:40,c1d1f6af856eaec6f309186575839aaafd3bef00,True,c:\windows\system32\ctfmon.exe,ctfmon.exe,.exe,1975-09-25 22:18:31,microsoft® windows® operating system,10752,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,ctfmon.exe|b5157a66388d511f,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
