Extension,BatchKeyPath,ValueName,BatchValueName,TargetName,LnkName,MruPosition,OpenedOn,ExtensionLastOpened
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,3,3,docs,docs.lnk,0,2019-02-15 05:04:19.5568394,2019-02-15 05:04:19.5568394
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,10,10,windows_command_line_sheet_v1.pdf,windows_command_line_sheet_v1.lnk,1,,2019-02-15 05:04:19.4474597
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,9,9,The-ProjectSauron.pdf,The-ProjectSauron.lnk,2,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,8,8,TheMeaningofLIFE.pdf,TheMeaningofLIFE.lnk,3,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,7,7,mandiant-apt1-report.pdf,mandiant-apt1-report.lnk,4,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,6,6,Confidential_04.docx,Confidential_04.lnk,5,,2019-02-15 05:03:45.7287065
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,5,5,Confidential_03.docx,Confidential_03.lnk,6,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,4,4,Confidential_02.docx,Confidential_02.lnk,7,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,2,2,Confidential.rtf,Confidential.lnk,8,,2019-02-15 05:03:25.5727984
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,1,1,Joker,Joker.lnk,9,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,0,0,haha.png,haha.lnk,10,,2019-02-15 05:01:53.6506537
Folder,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,1,1,docs,docs.lnk,0,2019-02-15 05:04:19.5568394,
Folder,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,0,0,Joker,Joker.lnk,1,,
.rtf,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.rtf,0,0,Confidential.rtf,Confidential.lnk,0,2019-02-15 05:03:25.5727984,
.png,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.png,0,0,haha.png,haha.lnk,0,2019-02-15 05:01:53.6506537,
.pdf,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,3,3,windows_command_line_sheet_v1.pdf,windows_command_line_sheet_v1.lnk,0,2019-02-15 05:04:19.4474597,
.pdf,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,2,2,The-ProjectSauron.pdf,The-ProjectSauron.lnk,1,,
.pdf,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,1,1,TheMeaningofLIFE.pdf,TheMeaningofLIFE.lnk,2,,
.pdf,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,0,0,mandiant-apt1-report.pdf,mandiant-apt1-report.lnk,3,,
.docx,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.docx,2,2,Confidential_04.docx,Confidential_04.lnk,0,2019-02-15 05:03:45.7287065,
.docx,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.docx,1,1,Confidential_03.docx,Confidential_03.lnk,1,,
.docx,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.docx,0,0,Confidential_02.docx,Confidential_02.lnk,2,,
.docx,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.docx,2,2,Confidential_04.docx,Confidential_04.lnk,0,2019-02-15 05:03:45.7287065,
.docx,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.docx,1,1,Confidential_03.docx,Confidential_03.lnk,1,,
.docx,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.docx,0,0,Confidential_02.docx,Confidential_02.lnk,2,,
.pdf,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,3,3,windows_command_line_sheet_v1.pdf,windows_command_line_sheet_v1.lnk,0,2019-02-15 05:04:19.4474597,
.pdf,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,2,2,The-ProjectSauron.pdf,The-ProjectSauron.lnk,1,,
.pdf,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,1,1,TheMeaningofLIFE.pdf,TheMeaningofLIFE.lnk,2,,
.pdf,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.pdf,0,0,mandiant-apt1-report.pdf,mandiant-apt1-report.lnk,3,,
.png,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.png,0,0,haha.png,haha.lnk,0,2019-02-15 05:01:53.6506537,
.rtf,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.rtf,0,0,Confidential.rtf,Confidential.lnk,0,2019-02-15 05:03:25.5727984,
Folder,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,1,1,docs,docs.lnk,0,2019-02-15 05:04:19.5568394,
Folder,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,0,0,Joker,Joker.lnk,1,,
