Name,BatchKeyPath,Description,BatchValueName,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
.NET CLR Data,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-04-25 20:08:35.0086444,,,,,
.NET CLR Networking,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-04-25 20:08:35.0086444,,,,,
.NET CLR Networking 4.0.0.0,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-04-11 23:38:44.6747650,,,,,
.NET Data Provider for Oracle,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-04-11 23:38:44.6747650,,,,,
.NET Data Provider for SqlServer,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-04-11 23:38:44.6747650,,,,,
.NET Memory Cache 4.0,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-04-11 23:38:44.6747650,,,,,
.NETFramework,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-04-11 23:38:44.6747650,,,,,
1394ohci,ROOT\ControlSet001\Services,,None,"@1394.inf,%PCI\CC_0C0010.DeviceDesc%;1394 OHCI Compliant Host Controller",Manual,KernelDriver,2018-04-11 23:38:04.9033135,,,\SystemRoot\System32\drivers\1394ohci.sys,,
3ware,ROOT\ControlSet001\Services,,None,,Boot,KernelDriver,2018-04-25 19:59:00.5845675,2018-04-11 23:38:04.9501923,SCSI miniport,System32\drivers\3ware.sys,,
ACPI,ROOT\ControlSet001\Services,,None,"@acpi.inf,%ACPI.SvcDesc%;Microsoft ACPI Driver",Boot,KernelDriver,2019-02-15 13:45:04.0148634,2018-04-25 20:00:27.7458542,Core,System32\drivers\ACPI.sys,,
AcpiDev,ROOT\ControlSet001\Services,,None,"@acpidev.inf,%AcpiDev.SvcDesc%;ACPI Devices driver",Manual,KernelDriver,2018-04-11 23:38:04.7470508,,Extended Base,\SystemRoot\System32\drivers\AcpiDev.sys,,
acpiex,ROOT\ControlSet001\Services,,None,Microsoft ACPIEx Driver,Boot,KernelDriver,2018-04-25 19:58:52.5370448,2018-04-25 20:00:27.6992316,Boot Bus Extender,System32\Drivers\acpiex.sys,,
acpipagr,ROOT\ControlSet001\Services,,None,"@acpipagr.inf,%SvcDesc%;ACPI Processor Aggregator Driver",Manual,KernelDriver,2018-04-11 23:38:11.5313934,,,\SystemRoot\System32\drivers\acpipagr.sys,,
AcpiPmi,ROOT\ControlSet001\Services,,None,"@acpipmi.inf,%AcpiPmi.SvcDesc%;ACPI Power Meter Driver",Manual,KernelDriver,2018-04-11 23:38:02.8250177,,,\SystemRoot\System32\drivers\acpipmi.sys,,
acpitime,ROOT\ControlSet001\Services,,None,"@acpitime.inf,%AcpiTime.SvcDesc%;ACPI Wake Alarm Driver",Manual,KernelDriver,2018-04-11 23:38:11.5626458,,Extended Base,\SystemRoot\System32\drivers\acpitime.sys,,
ADOVMPPackage,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-04-11 23:38:44.6747650,,,,,
ADP80XX,ROOT\ControlSet001\Services,,None,,Boot,KernelDriver,2018-04-25 19:59:00.5845675,2018-04-11 23:38:04.9814448,SCSI Miniport,System32\drivers\ADP80XX.SYS,,
adsi,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-04-11 23:38:44.6747650,,,,,
AFD,ROOT\ControlSet001\Services,"@%systemroot%\system32\drivers\afd.sys,-1000",None,"@%systemroot%\system32\drivers\afd.sys,-1000",System,KernelDriver,2018-04-11 23:38:44.6747650,2018-04-11 23:38:44.6747650,PNP_TDI,\SystemRoot\system32\drivers\afd.sys,,
afunix,ROOT\ControlSet001\Services,,None,afunix,System,KernelDriver,2018-04-11 23:41:00.4516255,2018-04-11 23:41:00.4516255,PNP_TDI,\SystemRoot\system32\drivers\afunix.sys,,
ahcache,ROOT\ControlSet001\Services,"@%systemroot%\system32\drivers\ahcache.sys,-101",None,"@%systemroot%\system32\drivers\ahcache.sys,-102",System,KernelDriver,2018-04-11 23:38:44.6747650,,,system32\DRIVERS\ahcache.sys,,
AJRouter,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\AJRouter.dll,-1",None,"@%SystemRoot%\system32\AJRouter.dll,-2",Manual,Win32ShareProcess,2018-04-11 23:39:26.3500875,2018-04-11 23:38:44.6747650,,%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted -p,,
ALG,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\Alg.exe,-113",None,"@%SystemRoot%\system32\Alg.exe,-112",Manual,Win32OwnProcess,2018-04-11 23:38:44.6747650,,,%SystemRoot%\System32\alg.exe,,SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege
AmdK8,ROOT\ControlSet001\Services,,None,"@cpu.inf,%AmdK8.SvcDesc%;AMD K8 Processor Driver",Manual,KernelDriver,2018-04-11 23:38:11.1719869,,Extended Base,\SystemRoot\System32\drivers\amdk8.sys,,
AmdPPM,ROOT\ControlSet001\Services,,None,"@cpu.inf,%AmdPPM.SvcDesc%;AMD Processor Driver",Manual,KernelDriver,2018-04-11 23:38:11.2032396,,Extended Base,\SystemRoot\System32\drivers\amdppm.sys,,
amdsata,ROOT\ControlSet001\Services,,None,,Boot,KernelDriver,2018-04-25 19:59:00.5845675,2018-04-11 23:38:05.0283236,SCSI miniport,System32\drivers\amdsata.sys,,
amdsbs,ROOT\ControlSet001\Services,,None,,Boot,KernelDriver,2018-04-25 19:59:00.5845675,2019-02-15 03:46:49.1394262,SCSI miniport,System32\drivers\amdsbs.sys,,
amdxata,ROOT\ControlSet001\Services,,None,,Boot,KernelDriver,2018-04-25 19:59:00.5845675,2018-04-11 23:38:05.0283236,SCSI miniport,System32\drivers\amdxata.sys,,
AppID,ROOT\ControlSet001\Services,"@%systemroot%\system32\srpapi.dll,-101",None,"@%systemroot%\system32\srpapi.dll,-100",Manual,KernelDriver,2018-04-11 23:38:44.6747650,2018-04-11 23:38:44.6747650,,system32\drivers\appid.sys,,
