Version,BatchKeyPath,KeyName,BatchValueName,Path,CreatedOn,LastStart,LastStop,TaskState,LastActionResult,Source,Description,Author
3,,{0281EC11-8D7D-4E1A-BCCD-B89905B381D9},,\Microsoft\Windows\Power Efficiency Diagnostics\AnalyzeSystem,2018-04-25 19:59:11.7459709,2019-02-15 04:03:24.8817178,2019-02-15 04:04:26.6002665,0,0,"$(@%systemRoot%\system32\energytask.dll,-601)","$(@%systemRoot%\system32\energytask.dll,-602)","$(@%systemRoot%\system32\energytask.dll,-600)"
3,,{0327D716-4541-49D0-A651-8CB37E392FA5},,\Microsoft\Windows\Windows Defender\Windows Defender Scheduled Scan,2019-02-15 03:59:16.7566295,,,0,0,,Periodic scan task.,
3,,{03FF134D-CA60-4122-8A0F-C9B9D0395221},,\Microsoft\Windows\Shell\IndexerAutomaticMaintenance,2018-04-25 19:59:11.7771969,2019-02-15 03:59:37.0847206,2019-02-15 03:59:41.9600765,0,0,"$(@%systemroot%\system32\srchadmin.dll,-1901)","$(@%systemroot%\system32\srchadmin.dll,-1902)","$(@%systemroot%\system32\srchadmin.dll,-1901)"
3,,{042D8A51-5878-4000-9C10-C04AFF122A1F},,\Microsoft\Windows\DeviceDirectoryClient\HandleCommand,2018-04-25 19:59:11.7771969,,,0,0,,,
3,,{04B3E894-DE5B-4C4A-9AA7-CA8F7CE43583},,\Microsoft\Windows\Management\Provisioning\Cellular,2018-04-25 19:59:11.7928286,,,0,0,,"$(@%systemRoot%\system32\ProvTool.exe,-102)","$(@%systemRoot%\system32\ProvTool.exe,-101)"
3,,{06CD9C3F-0F07-4D0A-BA5F-70E74EBE29EB},,\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck,2018-04-25 19:59:11.3865892,,,0,0,"$(@%systemroot%\system32\appidsvc.dll,-200)","$(@%systemroot%\system32\appidsvc.dll,-202)","$(@%systemroot%\system32\appidsvc.dll,-201)"
3,,{082F918C-DDF2-4A7B-9015-D95D1AD4C8B1},,\Microsoft\Windows\WOF\WIM-Hash-Validation,2018-04-25 19:59:11.7928286,2019-02-15 03:59:37.0847206,2019-02-15 03:59:45.9756935,0,0,"$(@%SystemRoot%\system32\WofTasks.dll,-601)","$(@%SystemRoot%\system32\WofTasks.dll,-602)","$(@%SystemRoot%\system32\WofTasks.dll,-600)"
3,,{09131E27-3793-4B1E-A11E-77D3EAC118D1},,\Microsoft\Windows\CertificateServicesClient\KeyPreGenTask,2018-04-25 19:59:11.4647440,2019-02-15 05:16:24.4249623,2019-02-15 05:16:24.4407717,0,-2146893776,"$(@%SystemRoot%\system32\ngctasks.dll,-101)","$(@%SystemRoot%\system32\ngctasks.dll,-102)","$(@%SystemRoot%\system32\ngctasks.dll,-100)"
3,,{0A493680-B8B6-4849-AA0E-28FC08E511B9},,\Microsoft\Windows\Windows Defender\Windows Defender Cleanup,2019-02-15 03:59:16.7253399,,,0,0,,Periodic cleanup task.,
3,,{0A7AA876-862F-4F81-AA4B-B73950FA632C},,\Microsoft\Windows\InstallService\WakeUpAndScanForUpdates,2018-04-25 19:59:11.7928286,,,0,0,,,
3,,{0BAF3FD2-708A-4879-B0C4-3A4FFA40D0F9},,\Microsoft\Windows\Servicing\StartComponentCleanup,2018-04-22 19:59:11.8086866,2019-02-15 03:59:37.0847206,2019-02-15 04:00:13.3816138,0,0,,,
3,,{0BCF67FD-8BF9-4B8F-8E26-96E31D366980},,\Microsoft\Windows\Time Synchronization\SynchronizeTime,2018-04-25 19:59:11.8086866,2019-02-15 03:59:37.1004465,2019-02-15 03:59:43.9753448,0,0,"$(@%systemroot%\system32\w32time.dll,-200)","$(@%systemroot%\system32\w32time.dll,-201)","$(@%systemroot%\system32\w32time.dll,-202)"
3,,{0DD6A4AB-0D4D-4056-AE90-80146577A283},,\Microsoft\Windows\Windows Error Reporting\QueueReporting,2018-04-25 19:59:11.3865892,2019-02-15 13:48:11.5670937,2019-02-15 13:48:23.7545023,0,0,"$(@%SystemRoot%\system32\wer.dll,-292)","$(@%SystemRoot%\system32\wer.dll,-294)","$(@%SystemRoot%\system32\wer.dll,-293)"
3,,{0E55C40D-83F8-4F39-838C-C1D3707EA86A},,\Microsoft\Windows\DUSM\dusmtask,2018-04-25 19:59:11.8244580,,,0,0,,,
3,,{15D6B667-231C-44B6-9ECA-FC6CBE9799C8},,\Microsoft\Windows\Plug and Play\Device Install Reboot Required,2018-04-25 19:59:11.4803377,2019-02-15 13:45:15.0201798,2019-02-15 13:45:18.8954010,0,0,,"$(@%SystemRoot%\system32\pnpui.dll,-602)","$(@%SystemRoot%\system32\pnpui.dll,-600)"
3,,{169699EF-AB65-47C0-986B-2EC5646D72D3},,\Microsoft\Windows\Work Folders\Work Folders Logon Synchronization,2018-04-25 19:59:11.6053237,2019-02-15 13:50:15.5200162,2019-02-15 13:50:15.5512505,0,0,"$(@%systemroot%\system32\WorkFoldersShell.dll,-18000)","$(@%systemroot%\system32\WorkFoldersShell.dll,-18002)","$(@%systemroot%\system32\WorkFoldersShell.dll,-18001)"
3,,{175463A3-4AF2-4959-8504-C36C4397C393},,\Microsoft\Windows\DeviceDirectoryClient\IntegrityCheck,2018-04-25 19:59:11.8399303,2019-02-15 03:59:36.0847123,2019-02-15 03:59:36.2097080,0,0,,,
3,,{17ED3499-746C-44BD-BB51-CEDC7C0B2369},,\Microsoft\Windows\SettingSync\BackgroundUploadTask,2018-04-25 19:59:11.8399303,2019-02-15 03:59:37.1004465,2019-02-15 03:59:37.1316249,0,0,,,
3,,{187093A2-7F14-43E4-B205-87D030C4D9F6},,\Microsoft\Windows\Windows Defender\Windows Defender Cache Maintenance,2019-02-15 03:59:16.7253399,,,0,0,,Periodic maintenance task.,
3,,{1AB431C4-69F1-471D-957B-3B72B7281954},,\Microsoft\Windows\Windows Filtering Platform\BfeOnServiceStartTypeChange,2018-04-25 19:59:11.8399303,,,0,0,,"$(@%SystemRoot%\system32\bfe.dll,-2002)","$(@%SystemRoot%\system32\bfe.dll,-2001)"
3,,{1BE936D4-EE40-4F04-84E0-18FFD27C0A6A},,\Microsoft\Windows\Chkdsk\SyspartRepair,2018-04-25 19:59:11.8558041,,,0,0,,,
3,,{1CC2035E-5387-430B-9FBF-3707D64FCD22},,\Microsoft\Windows\File Classification Infrastructure\Property Definition Sync,2018-04-25 19:59:11.8558041,,,0,0,"$(@%systemroot%\system32\srm.dll,-18000)","$(@%systemroot%\system32\srm.dll,-18002)","$(@%systemroot%\system32\srm.dll,-18001)"
3,,{1D43BF2F-6CDF-4732-A4F2-73C6CD0A92AF},,\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticDataCollector,2018-04-14 19:59:11.8558041,2019-02-15 03:59:37.1004465,2019-02-15 03:59:46.2256770,0,0,"$(@%SystemRoot%\System32\DFDTS.dll,-100)","$(@%SystemRoot%\System32\DFDTS.dll,-119)","$(@%SystemRoot%\System32\DFDTS.dll,-101)"
3,,{1E64C557-EFB2-4731-A6BD-E1A150737856},,\Microsoft\Windows\Chkdsk\ProactiveScan,2018-04-25 19:59:11.8710617,2019-02-15 03:59:37.1004465,2019-02-15 03:59:40.6630366,0,0,"$(@%systemroot%\system32\pstask.dll,-100)","$(@%systemroot%\system32\pstask.dll,-102)","$(@%systemroot%\system32\pstask.dll,-101)"
3,,{20969B1A-5020-4B14-AB52-E3B56BC62F52},,\Microsoft\Windows\UPnP\UPnPHostConfig,2018-04-25 19:59:11.8710617,,,0,0,,"$(@%systemroot%\system32\upnphost.dll,-216)","$(@%systemroot%\system32\upnphost.dll,-215)"
3,,{2231CAFE-FABE-41F5-A0B3-842D9319DBF9},,\microsoft\windows\applicationdata\appuriverifierinstall,2018-04-25 19:59:11.8865775,2019-02-15 04:57:03.4406481,2019-02-15 04:57:03.4715016,0,0,"$(@%systemroot%\system32\AppHostRegistrationVerifier.exe,-10005)","$(@%systemroot%\system32\AppHostRegistrationVerifier.exe,-10002)","$(@%systemroot%\system32\AppHostRegistrationVerifier.exe,-10004)"
3,,{22644FCC-1F83-474C-9B55-8B685A3124DC},,\Microsoft\Windows\SystemRestore\SR,2018-04-24 19:59:11.9022602,2019-02-15 04:04:27.6158048,2019-02-15 04:04:27.8189759,0,0,"$(@%systemroot%\system32\srrstr.dll,-320)","$(@%systemroot%\system32\srrstr.dll,-322)","$(@%systemroot%\system32\srrstr.dll,-321)"
3,,{226C52BC-0F62-4E67-A70D-74C22932AC02},,\Microsoft\Windows\Feedback\Siuf\DmClientOnScenarioDownload,2018-04-25 19:59:11.9022602,2018-04-25 20:11:37.8103483,2018-04-25 20:11:40.4199959,0,0,"$(@%systemRoot%\system32\dmclient.exe,-201)","$(@%systemRoot%\system32\dmclient.exe,-202)","$(@%systemRoot%\system32\dmclient.exe,-200)"
3,,{24355F38-7895-4BF8-B106-BC1CABFD687B},,\Microsoft\Windows\User Profile Service\HiveUploadTask,2018-04-25 19:59:11.9182443,,,0,0,"$(@%SystemRoot%\system32\profsvc,-500)","$(@%SystemRoot%\system32\profsvc,-501)","$(@%SystemRoot%\system32\profsvc,-500)"
3,,{2888017B-E225-446F-9CE0-4BCE14A0B6D4},,\Microsoft\Windows\Task Manager\Interactive,2018-04-25 19:59:11.9337162,,,0,0,"$(@%systemroot%\system32\wdc.dll,-10042)","$(@%systemroot%\system32\wdc.dll,-10043)","$(@%systemroot%\system32\wdc.dll,-10041)"
3,,{29177F6C-2B49-4106-A305-310828EF6591},,\Microsoft\Windows\AppxDeploymentClient\Pre-staged app cleanup,2018-04-25 19:59:11.6053237,2019-02-15 03:59:37.0847206,2019-02-15 03:59:40.8192757,0,0,,,
3,,{294EF281-56B6-4F71-8115-BAC2919EF034},,\Microsoft\Windows\EDP\EDP App Launch Task,2018-04-25 19:59:11.9647238,,,0,0,,,
3,,{29F3A47A-C0DC-48D8-ACAF-89413EE0731D},,\Microsoft\Windows\UNP\RunUpdateNotificationMgr,2018-04-25 19:59:12.0117268,,,0,0,,,
3,,{2A8E888F-BDAD-4D62-AD61-91C17F997E46},,\Microsoft\Windows\WindowsColorSystem\Calibration Loader,2018-04-25 19:59:11.6209591,2019-02-15 13:45:15.0201798,2019-02-15 13:45:25.4735231,0,0,"$(@%SystemRoot%\system32\mscms.dll,-200)","$(@%SystemRoot%\system32\mscms.dll,-202)","$(@%SystemRoot%\system32\mscms.dll,-201)"
3,,{2BB692C1-F60F-479E-ADC2-1CAF9422A2AC},,\Microsoft\Windows\Shell\FamilySafetyMonitorToastTask,2018-04-25 19:59:12.0272379,,,0,0,"$(@%SystemRoot%\System32\WpcRefreshTask.dll,-32010)","$(@%SystemRoot%\System32\WpcRefreshTask.dll,-32012)","$(@%SystemRoot%\System32\WpcRefreshTask.dll,-32011)"
3,,{2DBD790D-172A-4CFA-B3F7-824D7509680F},,\Microsoft\Windows\PushToInstall\Registration,2018-04-25 19:59:12.0272379,2019-02-15 13:49:11.0669454,2019-02-15 13:49:11.3016754,0,0,,,
3,,{2E02CB3F-0DA1-45BB-84B1-68D5918A1F2F},,\Microsoft\Windows\PI\Secure-Boot-Update,2018-04-25 19:59:12.0744913,,,0,0,"$(@%SystemRoot%\system32\TpmTasks.dll,-601)","$(@%SystemRoot%\system32\TpmTasks.dll,-604)","$(@%SystemRoot%\system32\TpmTasks.dll,-600)"
3,,{2E2E003A-9792-4956-8F12-92797F584AB8},,\Microsoft\Windows\License Manager\TempSignedLicenseExchange,2018-04-25 19:59:12.0899195,2019-02-15 03:59:37.1004465,2019-02-15 03:59:41.1476289,0,0,"$(@%SystemRoot%\system32\TempSignedLicenseExchangeTask.dll,-601)","$(@%SystemRoot%\system32\TempSignedLicenseExchangeTask.dll,-602)","$(@%SystemRoot%\system32\TempSignedLicenseExchangeTask.dll,-600)"
