Id,ActivityTypeOrg,ActivityType,Executable,DisplayText,ContentInfo,Payload,ClipboardPayload,StartTime,EndTime,Duration,LastModifiedTime,LastModifiedOnClient,OriginalLastModifiedOnClient,ExpirationTime,CreatedInCloud,IsLocalOnly,ETag,PackageIdHash,PlatformDeviceId,DevicePlatform,TimeZone
9d499512-8396-4125-f391-d0bb75ee3be4,5,ExecuteOpen,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,Settings,,"{""displayText"":""Settings"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""Settings"",""backgroundColor"":""black""}",,2021-02-13 19:57:09,,,2021-02-13 19:57:09,2021-02-13 19:57:09,,2021-03-15 19:57:09,,False,1,kSeSJDyDucRjb/Mg0+JTxAd+m+MUruhwxnGpp7ptRws=,wWj/1dc1Js7rsVtZyIuImmzE9kHQZAaEwrbk7IuEYak=,,
ba041f9d-cc50-9f46-3398-bfff5a19eaaa,6,InFocus,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":5,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""America/Los_Angeles""}",,2021-02-13 19:57:09,2021-02-13 19:57:14,00:00:05,2021-02-13 19:57:14,2021-02-13 19:57:14,,2021-03-15 19:57:14,,False,2,kSeSJDyDucRjb/Mg0+JTxAd+m+MUruhwxnGpp7ptRws=,wWj/1dc1Js7rsVtZyIuImmzE9kHQZAaEwrbk7IuEYak=,,America/Los_Angeles
fd7117ef-385c-76f3-8edc-33a516cd937d,6,InFocus,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Easter""}",,2020-08-01 20:58:02,2020-08-01 20:58:02,,2020-08-01 20:58:02,2020-08-01 20:58:02,,2020-08-31 20:58:02,,False,3,kSeSJDyDucRjb/Mg0+JTxAd+m+MUruhwxnGpp7ptRws=,wWj/1dc1Js7rsVtZyIuImmzE9kHQZAaEwrbk7IuEYak=,,Pacific/Easter
d76552b5-7cad-49a7-f191-0842e428912b,5,ExecuteOpen,Microsoft.InternetExplorer.Default,Internet Explorer,,"{""displayText"":""Internet Explorer"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""Internet Explorer"",""backgroundColor"":""black""}",,2020-08-01 21:00:19,,,2020-08-01 21:00:19,2020-08-01 21:00:19,,2020-08-31 21:00:19,,False,6,cntWoA4XC4i55bCspsTX5kzDcl+/8YAeXv8Qel/xEvc=,wWj/1dc1Js7rsVtZyIuImmzE9kHQZAaEwrbk7IuEYak=,,
83f3867c-158b-141f-be0e-e5a188ef4b02,5,ExecuteOpen,Microsoft.InternetExplorer.Default,"MSN ???????????? | ??????????????, ????????, ????????????, Skype ?? Outlook - Internet Explorer ()",https://www.msn.com/ru-ru/?ocid=iehp (https://www.msn.com/ru-ru/?ocid=iehp),"{""displayText"":""MSN ???????????? | ??????????????, ????????, ????????????, Skype ?? Outlook - Internet Explorer"",""activationUri"":""ie.http:https://www.msn.com/ru-ru/?ocid=iehp"",""description"":""https://www.msn.com/ru-ru/?ocid=iehp"",""backgroundColor"":""#FF0078D7"",""contentType"":""application/hta"",""contentUri"":""https://www.msn.com/ru-ru/?ocid=iehp"",""attribution"":{""iconUri"":""https://static-global-s-msn-com.akamaized.net/hp-neu/sc/2b/a5ea21.ico"",""alternateText"":""www.msn.com"",""addImageQuery"":true}}",,2020-08-01 21:00:20,,,2020-08-01 21:00:20,2020-08-01 21:03:35,,2020-08-31 21:03:35,,False,128,cntWoA4XC4i55bCspsTX5kzDcl+/8YAeXv8Qel/xEvc=,wWj/1dc1Js7rsVtZyIuImmzE9kHQZAaEwrbk7IuEYak=,,
bb94451c-2a99-5709-e345-a0c7412e2339,6,InFocus,Microsoft.InternetExplorer.Default,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":4294967300,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Easter""}",,2020-08-01 21:00:20,2020-08-01 21:00:24,00:00:04,2020-08-01 21:00:21,2020-08-01 21:00:27,,2020-08-31 21:00:27,,False,15,cntWoA4XC4i55bCspsTX5kzDcl+/8YAeXv8Qel/xEvc=,wWj/1dc1Js7rsVtZyIuImmzE9kHQZAaEwrbk7IuEYak=,,Pacific/Easter
39d7d958-5d1e-0e8b-a715-33d7eb487fd4,5,ExecuteOpen,Microsoft.InternetExplorer.Default,Download Microsoft Edge Browser | Microsoft - Internet Explorer (),https://www.microsoft.com/en-us/edge?form=MA13DL&OCID=MA13DL (https://www.microsoft.com/en-us/edge?form=MA13DL&OCID=MA13DL),"{""displayText"":""Download Microsoft Edge Browser | Microsoft - Internet Explorer"",""activationUri"":""ie.http:https://www.microsoft.com/en-us/edge?form=MA13DL&OCID=MA13DL"",""description"":""https://www.microsoft.com/en-us/edge?form=MA13DL&OCID=MA13DL"",""backgroundColor"":""#FF0078D7"",""contentType"":""application/hta"",""contentUri"":""https://www.microsoft.com/en-us/edge?form=MA13DL&OCID=MA13DL"",""attribution"":{""iconUri"":""https://www.microsoft.com/en-us/edge?form=MA13DL&OCID=MA13DL"",""alternateText"":""www.microsoft.com"",""addImageQuery"":true}}",,2020-08-01 21:00:28,,,2020-08-01 21:00:28,2020-08-01 21:00:28,,2020-08-31 21:00:28,,False,18,cntWoA4XC4i55bCspsTX5kzDcl+/8YAeXv8Qel/xEvc=,wWj/1dc1Js7rsVtZyIuImmzE9kHQZAaEwrbk7IuEYak=,,
67060df6-f3a9-f58b-964c-e429a0789d96,6,InFocus,Microsoft.InternetExplorer.Default,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":2,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Easter""}",,2020-08-01 21:00:28,2020-08-01 21:00:30,00:00:02,2020-08-01 21:00:28,2020-08-01 21:00:30,,2020-08-31 21:00:30,,False,23,cntWoA4XC4i55bCspsTX5kzDcl+/8YAeXv8Qel/xEvc=,wWj/1dc1Js7rsVtZyIuImmzE9kHQZAaEwrbk7IuEYak=,,Pacific/Easter
07292a8b-e71a-a354-4fa9-51eda43b1382,5,ExecuteOpen,Microsoft.InternetExplorer.Default,chrome - Bing - Internet Explorer (),https://www.bing.com/search?q=chrome&src=IE-SearchBox&FORM=IESR4A (https://www.bing.com/search?q=chrome&src=IE-SearchBox&FORM=IESR4A),"{""displayText"":""chrome - Bing - Internet Explorer"",""activationUri"":""ie.http:https://www.bing.com/search?q=chrome&src=IE-SearchBox&FORM=IESR4A"",""description"":""https://www.bing.com/search?q=chrome&src=IE-SearchBox&FORM=IESR4A"",""backgroundColor"":""#FF0078D7"",""contentType"":""application/hta"",""contentUri"":""https://www.bing.com/search?q=chrome&src=IE-SearchBox&FORM=IESR4A"",""attribution"":{""iconUri"":""https://www.bing.com/favicon.ico"",""alternateText"":""www.bing.com"",""addImageQuery"":true}}",,2020-08-01 21:00:30,,,2020-08-01 21:00:30,2020-08-01 21:00:30,,2020-08-31 21:00:30,,False,22,cntWoA4XC4i55bCspsTX5kzDcl+/8YAeXv8Qel/xEvc=,wWj/1dc1Js7rsVtZyIuImmzE9kHQZAaEwrbk7IuEYak=,,
546b7b05-99b3-091b-1d5a-6715abb12c7c,6,InFocus,Microsoft.InternetExplorer.Default,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":26,""shellContentDescription"":{""MergedGap"":600},""userTimezone"":""Pacific/Easter""}",,2020-08-01 21:00:30,2020-08-01 21:00:56,00:00:26,2020-08-01 21:00:30,2020-08-01 21:00:56,,2020-08-31 21:00:56,,False,33,cntWoA4XC4i55bCspsTX5kzDcl+/8YAeXv8Qel/xEvc=,wWj/1dc1Js7rsVtZyIuImmzE9kHQZAaEwrbk7IuEYak=,,Pacific/Easter
