Id,Platform,Name,AdditionalInformation,Expires
9d499512-8396-4125-f391-d0bb75ee3be4,windows_universal,windows.immersivecontrolpanel_cw5n1h2txyewy,,2021-03-15 19:57:09
9d499512-8396-4125-f391-d0bb75ee3be4,host,,,2021-03-15 19:57:09
ba041f9d-cc50-9f46-3398-bfff5a19eaaa,windows_universal,windows.immersivecontrolpanel_cw5n1h2txyewy,,2021-03-15 19:57:14
ba041f9d-cc50-9f46-3398-bfff5a19eaaa,packageid,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,,2021-03-15 19:57:14
ba041f9d-cc50-9f46-3398-bfff5a19eaaa,host,,,2021-03-15 19:57:14
fd7117ef-385c-76f3-8edc-33a516cd937d,windows_universal,windows.immersivecontrolpanel_cw5n1h2txyewy,,2020-08-31 20:58:02
fd7117ef-385c-76f3-8edc-33a516cd937d,packageid,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,,2020-08-31 20:58:02
fd7117ef-385c-76f3-8edc-33a516cd937d,host,,,2020-08-31 20:58:02
d76552b5-7cad-49a7-f191-0842e428912b,Win32,microsoft.internetexplorer.default,,2020-08-31 21:00:19
d76552b5-7cad-49a7-f191-0842e428912b,host,,,2020-08-31 21:00:19
83f3867c-158b-141f-be0e-e5a188ef4b02,Win32,microsoft.internetexplorer.default,,2020-08-31 21:03:35
83f3867c-158b-141f-be0e-e5a188ef4b02,host,,,2020-08-31 21:03:35
bb94451c-2a99-5709-e345-a0c7412e2339,Win32,microsoft.internetexplorer.default,,2020-08-31 21:00:27
bb94451c-2a99-5709-e345-a0c7412e2339,packageid,microsoft.internetexplorer.default,,2020-08-31 21:00:27
bb94451c-2a99-5709-e345-a0c7412e2339,host,,,2020-08-31 21:00:27
39d7d958-5d1e-0e8b-a715-33d7eb487fd4,Win32,microsoft.internetexplorer.default,,2020-08-31 21:00:28
39d7d958-5d1e-0e8b-a715-33d7eb487fd4,host,,,2020-08-31 21:00:28
67060df6-f3a9-f58b-964c-e429a0789d96,Win32,microsoft.internetexplorer.default,,2020-08-31 21:00:30
67060df6-f3a9-f58b-964c-e429a0789d96,packageid,microsoft.internetexplorer.default,,2020-08-31 21:00:30
67060df6-f3a9-f58b-964c-e429a0789d96,host,,,2020-08-31 21:00:30
07292a8b-e71a-a354-4fa9-51eda43b1382,Win32,microsoft.internetexplorer.default,,2020-08-31 21:00:30
07292a8b-e71a-a354-4fa9-51eda43b1382,host,,,2020-08-31 21:00:30
546b7b05-99b3-091b-1d5a-6715abb12c7c,Win32,microsoft.internetexplorer.default,,2020-08-31 21:00:56
546b7b05-99b3-091b-1d5a-6715abb12c7c,packageid,microsoft.internetexplorer.default,,2020-08-31 21:00:56
546b7b05-99b3-091b-1d5a-6715abb12c7c,host,,,2020-08-31 21:00:56
5cf03e11-a238-5936-f9b3-a04f7af8bc2c,Win32,microsoft.internetexplorer.default,,2020-08-31 21:00:56
5cf03e11-a238-5936-f9b3-a04f7af8bc2c,host,,,2020-08-31 21:00:56
d61a3f99-ec2e-0899-167a-ebe5d712c711,Win32,microsoft.internetexplorer.default,,2020-08-31 21:01:00
d61a3f99-ec2e-0899-167a-ebe5d712c711,packageid,microsoft.internetexplorer.default,,2020-08-31 21:01:00
d61a3f99-ec2e-0899-167a-ebe5d712c711,host,,,2020-08-31 21:01:00
8c24c935-dfbf-6ca2-8e2c-1bc478b9b75d,Win32,microsoft.internetexplorer.default,,2020-08-31 21:01:00
8c24c935-dfbf-6ca2-8e2c-1bc478b9b75d,host,,,2020-08-31 21:01:00
34e8a680-b433-f44c-ae6c-12d91769613a,Win32,microsoft.internetexplorer.default,,2020-08-31 21:01:09
34e8a680-b433-f44c-ae6c-12d91769613a,packageid,microsoft.internetexplorer.default,,2020-08-31 21:01:09
34e8a680-b433-f44c-ae6c-12d91769613a,host,,,2020-08-31 21:01:09
89defcc3-5dbf-0c6b-327a-7eb44090781f,Win32,microsoft.internetexplorer.default,,2020-08-31 21:01:19
89defcc3-5dbf-0c6b-327a-7eb44090781f,host,,,2020-08-31 21:01:19
6d001149-1fa3-5b52-acf0-ccd82ca444b8,Win32,microsoft.internetexplorer.default,,2020-08-31 21:01:17
6d001149-1fa3-5b52-acf0-ccd82ca444b8,packageid,microsoft.internetexplorer.default,,2020-08-31 21:01:17
6d001149-1fa3-5b52-acf0-ccd82ca444b8,host,,,2020-08-31 21:01:17
06c879f6-71b6-d150-e1be-74deee8f0180,Win32,microsoft.internetexplorer.default,,2020-08-31 21:01:30
06c879f6-71b6-d150-e1be-74deee8f0180,packageid,microsoft.internetexplorer.default,,2020-08-31 21:01:30
06c879f6-71b6-d150-e1be-74deee8f0180,host,,,2020-08-31 21:01:30
03c9afd4-36db-dece-766d-52de566b1710,Win32,microsoft.internetexplorer.default,,2020-08-31 21:01:30
03c9afd4-36db-dece-766d-52de566b1710,host,,,2020-08-31 21:01:30
d70d685f-7e68-0aeb-8b2b-3a25e77749c5,Win32,microsoft.internetexplorer.default,,2020-08-31 21:01:37
d70d685f-7e68-0aeb-8b2b-3a25e77749c5,packageid,microsoft.internetexplorer.default,,2020-08-31 21:01:37
d70d685f-7e68-0aeb-8b2b-3a25e77749c5,host,,,2020-08-31 21:01:37
69d58443-387a-ff01-3645-0e8fa0e39c2d,Win32,microsoft.internetexplorer.default,,2020-08-31 21:03:12
69d58443-387a-ff01-3645-0e8fa0e39c2d,host,,,2020-08-31 21:03:12
ebdbc6f3-b864-1b12-9074-142d3fb8afdf,Win32,microsoft.internetexplorer.default,,2020-08-31 21:01:50
ebdbc6f3-b864-1b12-9074-142d3fb8afdf,packageid,microsoft.internetexplorer.default,,2020-08-31 21:01:50
ebdbc6f3-b864-1b12-9074-142d3fb8afdf,host,,,2020-08-31 21:01:50
f77d2047-9b4c-07c5-2436-963d2458792a,ExecutablePath,{7c5a40ef-a0fb-4bfc-874a-c0f2e0b9fa8e}\google\update\googleupdate.exe,Program Files x86\google\update\googleupdate.exe,2020-08-31 21:01:46
f77d2047-9b4c-07c5-2436-963d2458792a,ExecutablePath,{6d809377-6af0-444b-8957-a3773f02200e}\google\update\googleupdate.exe,Program Files X64\google\update\googleupdate.exe,2020-08-31 21:01:46
f77d2047-9b4c-07c5-2436-963d2458792a,host,,,2020-08-31 21:01:46
275b69dc-9508-6724-c157-4305779affc5,Win32,chrome,,2020-08-31 21:01:51
275b69dc-9508-6724-c157-4305779affc5,host,,,2020-08-31 21:01:51
8594b563-c896-9fec-7d95-90d8def6d9c1,Win32,chrome,,2020-08-31 21:03:04
8594b563-c896-9fec-7d95-90d8def6d9c1,packageid,chrome,,2020-08-31 21:03:04
8594b563-c896-9fec-7d95-90d8def6d9c1,host,,,2020-08-31 21:03:04
af18dfe7-1e84-0efa-0dc6-8b253297d9bc,Win32,microsoft.internetexplorer.default,,2020-08-31 21:03:06
af18dfe7-1e84-0efa-0dc6-8b253297d9bc,packageid,microsoft.internetexplorer.default,,2020-08-31 21:03:06
af18dfe7-1e84-0efa-0dc6-8b253297d9bc,host,,,2020-08-31 21:03:06
8dc8936f-b8ff-3033-21bd-80617e8f15cd,Win32,chrome,,2020-08-31 21:03:26
8dc8936f-b8ff-3033-21bd-80617e8f15cd,packageid,chrome,,2020-08-31 21:03:26
8dc8936f-b8ff-3033-21bd-80617e8f15cd,host,,,2020-08-31 21:03:26
e1404a46-1780-6b19-08b8-6cd7e6050fb2,Win32,microsoft.internetexplorer.default,,2020-08-31 21:03:12
e1404a46-1780-6b19-08b8-6cd7e6050fb2,packageid,microsoft.internetexplorer.default,,2020-08-31 21:03:12
e1404a46-1780-6b19-08b8-6cd7e6050fb2,host,,,2020-08-31 21:03:12
ae9cf212-8f7d-c4a2-b3fe-f11ce46f1481,Win32,microsoft.internetexplorer.default,,2020-08-31 21:03:47
ae9cf212-8f7d-c4a2-b3fe-f11ce46f1481,packageid,microsoft.internetexplorer.default,,2020-08-31 21:03:47
ae9cf212-8f7d-c4a2-b3fe-f11ce46f1481,host,,,2020-08-31 21:03:47
9aee920a-ea04-4be4-c3c9-8574f0c5f52c,Win32,microsoft.internetexplorer.default,,2020-08-31 21:03:47
9aee920a-ea04-4be4-c3c9-8574f0c5f52c,host,,,2020-08-31 21:03:47
a4ed9f49-9b9c-8edb-b6e1-401f041d50e9,Win32,microsoft.internetexplorer.default,,2020-08-31 21:03:58
a4ed9f49-9b9c-8edb-b6e1-401f041d50e9,packageid,microsoft.internetexplorer.default,,2020-08-31 21:03:58
a4ed9f49-9b9c-8edb-b6e1-401f041d50e9,host,,,2020-08-31 21:03:58
30550705-1b06-1537-8007-347122f9abfb,Win32,microsoft.internetexplorer.default,,2020-08-31 21:04:24
30550705-1b06-1537-8007-347122f9abfb,host,,,2020-08-31 21:04:24
ba520a93-830a-a7f5-b655-c4471b6f619c,Win32,microsoft.internetexplorer.default,,2020-08-31 21:04:14
ba520a93-830a-a7f5-b655-c4471b6f619c,packageid,microsoft.internetexplorer.default,,2020-08-31 21:04:14
ba520a93-830a-a7f5-b655-c4471b6f619c,host,,,2020-08-31 21:04:14
526e9df6-1097-02e5-2857-ce882ac1c77d,ExecutablePath,c:\users\user\appdata\local\microsoft\windows\inetcache\ie\01xs6ubv\thunderbird setup 78.7.1.exe,,2020-08-31 21:04:14
526e9df6-1097-02e5-2857-ce882ac1c77d,host,,,2020-08-31 21:04:14
4686abb7-27d2-9038-8675-c666fd0287e7,ExecutablePath,c:\users\user\appdata\local\microsoft\windows\inetcache\ie\01xs6ubv\thunderbird setup 78.7.1.exe,,2020-08-31 21:04:16
4686abb7-27d2-9038-8675-c666fd0287e7,packageid,c:\users\user\appdata\local\microsoft\windows\inetcache\ie\01xs6ubv\thunderbird setup 78.7.1.exe,,2020-08-31 21:04:16
4686abb7-27d2-9038-8675-c666fd0287e7,host,,,2020-08-31 21:04:16
0f6e92e0-b815-ead0-38e2-976c8f958676,Win32,microsoft.internetexplorer.default,,2020-08-31 21:04:16
0f6e92e0-b815-ead0-38e2-976c8f958676,packageid,microsoft.internetexplorer.default,,2020-08-31 21:04:16
0f6e92e0-b815-ead0-38e2-976c8f958676,host,,,2020-08-31 21:04:16
12935e20-cc95-3b9b-c5ed-a536e9469b34,Win32,microsoft.internetexplorer.default,,2020-08-31 21:04:17
12935e20-cc95-3b9b-c5ed-a536e9469b34,packageid,microsoft.internetexplorer.default,,2020-08-31 21:04:17
12935e20-cc95-3b9b-c5ed-a536e9469b34,host,,,2020-08-31 21:04:17
a0aa390d-5fa5-dae4-6711-7fd2dfe0178b,ExecutablePath,*pid00001a24,,2020-08-31 21:04:17
a0aa390d-5fa5-dae4-6711-7fd2dfe0178b,host,,,2020-08-31 21:04:17
573b02e9-18e7-bf62-84b8-d6cc3f7815aa,ExecutablePath,*pid00001a24,,2020-08-31 21:04:20
573b02e9-18e7-bf62-84b8-d6cc3f7815aa,packageid,*pid00001a24,,2020-08-31 21:04:20
573b02e9-18e7-bf62-84b8-d6cc3f7815aa,host,,,2020-08-31 21:04:20
18470bb4-57a3-2ba1-443a-cea3d3ee0473,windows_universal,windows.immersivecontrolpanel_cw5n1h2txyewy,,2020-08-31 21:04:42
18470bb4-57a3-2ba1-443a-cea3d3ee0473,packageid,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,,2020-08-31 21:04:42
18470bb4-57a3-2ba1-443a-cea3d3ee0473,host,,,2020-08-31 21:04:42
d7990289-8b17-45d3-a849-feb4b15e1848,windows_universal,windows.immersivecontrolpanel_cw5n1h2txyewy,,2020-08-31 21:05:02
d7990289-8b17-45d3-a849-feb4b15e1848,packageid,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,,2020-08-31 21:05:02
d7990289-8b17-45d3-a849-feb4b15e1848,host,,,2020-08-31 21:05:02
835bd233-0c3d-c19c-7d4d-047a64f6ea00,windows_universal,windows.immersivecontrolpanel_cw5n1h2txyewy,,2020-08-31 22:10:04
835bd233-0c3d-c19c-7d4d-047a64f6ea00,packageid,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,,2020-08-31 22:10:04
835bd233-0c3d-c19c-7d4d-047a64f6ea00,host,,,2020-08-31 22:10:04
a80a89f6-a43c-e384-aaf3-06656c44d8f3,Win32,microsoft.windows.controlpanel,,2020-08-31 21:07:33
a80a89f6-a43c-e384-aaf3-06656c44d8f3,host,,,2020-08-31 21:07:33
afca6909-4141-bf44-921d-b43d548b8e40,Win32,microsoft.windows.controlpanel,,2020-08-31 21:07:39
afca6909-4141-bf44-921d-b43d548b8e40,packageid,microsoft.windows.controlpanel,,2020-08-31 21:07:39
afca6909-4141-bf44-921d-b43d548b8e40,host,,,2020-08-31 21:07:39
93035d41-bfc2-5f57-80f3-3528ddda3c16,Win32,microsoft.windows.controlpanel,,2020-08-31 21:08:02
