SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,DestListVersion,LastUsedEntryNumber,MRU,EntryNumber,CreationTime,LastModified,Hostname,MacAddress,Path,InteractionCount,PinStatus,FileBirthDroid,FileDroid,VolumeBirthDroid,VolumeDroid,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments,Notes
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2020-08-01 22:56:17.0311513,2020-08-01 22:56:17.0311513,2022-02-20 03:34:23.7368134,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,4,0,4,2020-08-01 22:46:32.5000244,2020-08-01 22:56:17.0311513,desktop-23ps6es,00:15:5d:19:58:03,knownfolder:{33E28130-4E1E-4676-835A-98395C3BC3BB} ==> Pictures,3,True,d89b2034-d448-11ea-919d-00155d195803,d89b2034-d448-11ea-919d-00155d195803,e555ec32-3fcb-47b5-8221-095ac2e03db8,e555ec32-3fcb-47b5-8221-095ac2e03db8,2020-08-01 22:56:06.4217935,2020-08-01 22:56:11.9530255,2020-08-01 22:56:15.4842773,0,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),188F1FCA,,C:\Users\Administrator\Pictures,,My Computer\Pictures,,,desktop-23ps6es,00:15:5d:19:58:03,2020-08-01 22:46:32.5000244,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2020-08-01 22:56:17.0311513,2020-08-01 22:56:17.0311513,2022-02-20 03:34:23.7368134,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,4,1,3,2020-08-01 22:46:32.5000243,2020-08-01 22:56:17.0311513,desktop-23ps6es,00:15:5d:19:58:03,knownfolder:{FDD39AD0-238F-46AF-ADB4-6C85480369C7} ==> Documents,3,True,d89b2033-d448-11ea-919d-00155d195803,d89b2033-d448-11ea-919d-00155d195803,e555ec32-3fcb-47b5-8221-095ac2e03db8,e555ec32-3fcb-47b5-8221-095ac2e03db8,2020-08-01 22:56:06.4217935,2020-08-01 22:56:12.0467756,2020-08-01 22:56:15.4842773,4096,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),188F1FCA,,C:\Users\Administrator\Documents,,My Computer\Documents,,,desktop-23ps6es,00:15:5d:19:58:03,2020-08-01 22:46:32.5000243,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2020-08-01 22:56:17.0311513,2020-08-01 22:56:17.0311513,2022-02-20 03:34:23.7368134,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,4,2,1,2020-08-01 22:46:32.5000246,2020-08-01 22:56:17.0311513,desktop-23ps6es,00:15:5d:19:58:03,knownfolder:{754AC886-DF64-4CBA-86B5-F7FBF4FBCEF5} ==> ThisPCDesktopFolder,3,True,d89b2036-d448-11ea-919d-00155d195803,d89b2036-d448-11ea-919d-00155d195803,e555ec32-3fcb-47b5-8221-095ac2e03db8,e555ec32-3fcb-47b5-8221-095ac2e03db8,2020-08-01 22:56:06.4217935,2020-08-01 22:56:11.9530255,2020-08-01 22:56:16.7342755,0,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),188F1FCA,,C:\Users\Administrator\Desktop,,My Computer\Desktop,,,desktop-23ps6es,00:15:5d:19:58:03,2020-08-01 22:46:32.5000246,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2020-08-01 22:56:17.0311513,2020-08-01 22:56:17.0311513,2022-02-20 03:34:23.7368134,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,4,3,2,2020-08-01 22:46:32.5000247,2020-08-01 22:56:17.0311513,desktop-23ps6es,00:15:5d:19:58:03,knownfolder:{374DE290-123F-4565-9164-39C4925E467B} ==> Downloads,3,True,d89b2037-d448-11ea-919d-00155d195803,d89b2037-d448-11ea-919d-00155d195803,e555ec32-3fcb-47b5-8221-095ac2e03db8,e555ec32-3fcb-47b5-8221-095ac2e03db8,2020-08-01 22:56:06.4217935,2020-08-01 22:56:12.0155250,2020-08-01 22:56:15.4842773,0,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),188F1FCA,,C:\Users\Administrator\Downloads,,My Computer\Downloads,,,desktop-23ps6es,00:15:5d:19:58:03,2020-08-01 22:46:32.5000247,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\4975d6798a8bdf66.automaticDestinations-ms,2021-02-14 02:15:33.0150022,2021-02-14 02:15:33.0306265,2022-02-20 03:34:23.7993165,4975d6798a8bdf66,7-Zip 4.65 / 9.20,4,1,0,1,2021-02-14 02:03:51.6338885,2021-02-14 02:15:33.0306265,desktop-23ps6es,00:15:5d:19:58:03,C:\Users\anit.ghosh\Desktop\tmp\xraicommend-761263a55b8cfed4bcb8f87cbbb68beaf2ec2423.tar.gz,1,False,e23e96c5-6e68-11eb-91ad-00155d195803,e23e96c5-6e68-11eb-91ad-00155d195803,e555ec32-3fcb-47b5-8221-095ac2e03db8,e555ec32-3fcb-47b5-8221-095ac2e03db8,2021-02-14 02:12:00.3840442,2021-02-14 02:10:44.2091834,2021-02-14 02:15:32.9993767,42035,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),188F1FCA,,C:\Users\anit.ghosh\Desktop\tmp\xraicommend-761263a55b8cfed4bcb8f87cbbb68beaf2ec2423.tar.gz,,My Computer\C:\Users\anit.ghosh\Desktop\tmp\xraicommend-761263a55b8cfed4bcb8f87cbbb68beaf2ec2423.tar.gz,0x167F5,0x2,desktop-23ps6es,00:15:5d:19:58:03,2021-02-14 02:03:51.6338885,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2020-08-01 22:19:28.1899193,2021-02-14 02:35:38.7340027,2022-02-20 03:34:23.7993165,5f7b5f1e01b83767,Quick Access,4,2,0,2,2021-02-14 02:32:47.5000266,2021-02-14 02:35:38.7340027,desktop-23ps6es,00:15:5d:19:58:03,C:\Users\anit.ghosh\Desktop\tmp\PHOTOS.7z,1,False,ece6bdca-6e6c-11eb-91af-00155d195803,ece6bdca-6e6c-11eb-91af-00155d195803,e555ec32-3fcb-47b5-8221-095ac2e03db8,e555ec32-3fcb-47b5-8221-095ac2e03db8,2021-02-14 02:21:41.5062087,2021-02-14 02:21:42.7199893,2021-02-14 02:21:43.0765705,4154735,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),188F1FCA,,C:\Users\anit.ghosh\Desktop\tmp\PHOTOS.7z,,My Computer\C:\Users\anit.ghosh\Desktop\tmp\PHOTOS.7z,0x29902,0x4,desktop-23ps6es,00:15:5d:19:58:03,2021-02-14 02:32:47.5000266,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2020-08-01 22:19:28.1899193,2021-02-14 02:35:38.7340027,2022-02-20 03:34:23.7993165,5f7b5f1e01b83767,Quick Access,4,2,1,1,2021-02-14 02:03:51.6338885,2021-02-14 02:15:15.2309486,desktop-23ps6es,00:15:5d:19:58:03,C:\Users\anit.ghosh\Desktop\tmp\xraicommend-761263a55b8cfed4bcb8f87cbbb68beaf2ec2423.tar.gz,1,False,e23e96c5-6e68-11eb-91ad-00155d195803,e23e96c5-6e68-11eb-91ad-00155d195803,e555ec32-3fcb-47b5-8221-095ac2e03db8,e555ec32-3fcb-47b5-8221-095ac2e03db8,2021-02-14 02:12:00.3840442,2021-02-14 02:10:44.2091834,2021-02-14 02:15:15.0434551,42035,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),188F1FCA,,C:\Users\anit.ghosh\Desktop\tmp\xraicommend-761263a55b8cfed4bcb8f87cbbb68beaf2ec2423.tar.gz,,My Computer\C:\Users\anit.ghosh\Desktop\tmp\xraicommend-761263a55b8cfed4bcb8f87cbbb68beaf2ec2423.tar.gz,0x167F5,0x2,desktop-23ps6es,00:15:5d:19:58:03,2021-02-14 02:03:51.6338885,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\7e4dca80246863e3.automaticDestinations-ms,2021-02-14 02:37:00.9377550,2021-02-14 02:37:00.9427542,2022-02-20 03:34:23.7993165,7e4dca80246863e3,Control Panel - Settings,4,1,0,1,,2021-02-14 02:37:00.9427542,,,::{26EE0668-A00A-44D7-9371-BEB064C98683}\2\::{025A5937-A6BE-4686-A844-36FE4BEC8B6D} ==> Control Panel\2\Power Options,1,False,,,,,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,Control Panel\Hardware and Sound\Power Options,,,,,,PropertyStoreDataBlock,,
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2020-08-01 22:17:33.3632825,2021-02-14 02:35:38.6560028,2022-02-20 03:34:23.7993165,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,12,0,B,2021-02-14 02:03:51.6338818,2021-02-14 02:35:38.6560028,desktop-23ps6es,00:15:5d:19:58:03,C:\Users\anit.ghosh\Desktop\tmp,3,False,e23e9682-6e68-11eb-91ad-00155d195803,e23e9682-6e68-11eb-91ad-00155d195803,e555ec32-3fcb-47b5-8221-095ac2e03db8,e555ec32-3fcb-47b5-8221-095ac2e03db8,2021-02-14 02:11:54.8529695,2021-02-14 02:21:42.7199893,2021-02-14 02:35:38.6270028,4096,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),188F1FCA,,C:\Users\anit.ghosh\Desktop\tmp,,My Computer\C:\Users\anit.ghosh\Desktop\tmp,0xEDE8,0x6,desktop-23ps6es,00:15:5d:19:58:03,2021-02-14 02:03:51.6338818,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2020-08-01 22:17:33.3632825,2021-02-14 02:35:38.6560028,2022-02-20 03:34:23.7993165,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,12,1,1,2020-08-01 22:12:46.5000188,2021-02-14 02:22:19.1400180,desktop-23ps6es,00:15:5d:19:58:03,knownfolder:{754AC886-DF64-4CBA-86B5-F7FBF4FBCEF5} ==> ThisPCDesktopFolder,5,True,21040efc-d444-11ea-919c-00155d195803,21040efc-d444-11ea-919c-00155d195803,e555ec32-3fcb-47b5-8221-095ac2e03db8,e555ec32-3fcb-47b5-8221-095ac2e03db8,2020-08-01 22:11:26.1503495,2021-02-14 02:22:19.1370187,2021-02-14 02:22:19.1370187,0,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),188F1FCA,,C:\Users\anit.ghosh\Desktop,,My Computer\Desktop,,,desktop-23ps6es,00:15:5d:19:58:03,2020-08-01 22:12:46.5000188,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
