SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,EntryName,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\d93f411851d7c929.customDestinations-ms,2020-08-07 18:40:55.1562422,2020-08-07 19:16:08.8571686,2022-02-20 03:34:23.7993165,d93f411851d7c929,Windows Powershell 5.0 32-bit,,2020-08-07 18:34:06.1237540,2018-09-15 05:08:49.0897203,2020-08-07 19:16:08.8259008,2494,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasIconLocation, IsUnicode, RunAsUser, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),188F1FCA,,C:\Users\anit.ghosh\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Windows PowerShell.lnk,,My Computer\C:\Users\anit.ghosh\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Windows PowerShell.lnk,0x15492,0x3,desktop-23ps6es,00:15:5d:19:58:03,2020-08-01 22:46:32.5001490,"TrackerDataBaseBlock, PropertyStoreDataBlock",
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\d93f411851d7c929.customDestinations-ms,2020-08-07 18:40:55.1562422,2020-08-07 19:16:08.8571686,2022-02-20 03:34:23.7993165,d93f411851d7c929,Windows Powershell 5.0 32-bit,,2018-09-15 05:07:35.0992170,2018-09-15 05:07:35.0992170,2020-08-07 19:15:59.0259465,214016,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasIconLocation, IsUnicode, HasExpString, RunAsUser, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),188F1FCA,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe,,My Computer\C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe,0x97E9,0x1,desktop-23ps6es,00:15:5d:19:58:03,2020-08-01 22:46:32.5001298,"EnvironmentVariableDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\d93f411851d7c929.customDestinations-ms,2020-08-07 18:40:55.1562422,2020-08-07 19:16:08.8571686,2022-02-20 03:34:23.7993165,d93f411851d7c929,Windows Powershell 5.0 32-bit,,2018-09-15 05:07:35.0992170,2018-09-15 05:07:35.0992170,2020-08-07 19:15:59.0259465,214016,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasIconLocation, IsUnicode, HasExpString, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),188F1FCA,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe,,My Computer\C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe,0x97E9,0x1,desktop-23ps6es,00:15:5d:19:58:03,2020-08-01 22:46:32.5001298,"EnvironmentVariableDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\1ced32d74a95c7bc.customDestinations-ms,2020-09-08 18:11:59.7146382,2021-02-14 02:16:16.2974328,2022-02-20 03:34:23.8149395,1ced32d74a95c7bc,Microsoft Visual Studio Code,,2020-08-07 19:15:09.0509548,2021-02-11 18:04:52.0000000,2021-02-14 02:16:07.9825173,103477624,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasName, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),188F1FCA,,C:\Program Files\Microsoft VS Code\Code.exe,,My Computer\C:\Program Files\Microsoft VS Code\Code.exe,0x15290,0x2,desktop-23ps6es,00:15:5d:19:58:03,2020-08-01 22:46:32.5002110,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",-n
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\1ced32d74a95c7bc.customDestinations-ms,2020-09-08 18:11:59.7146382,2021-02-14 02:16:16.2974328,2022-02-20 03:34:23.8149395,1ced32d74a95c7bc,Microsoft Visual Studio Code,,2020-08-07 19:15:09.0509548,2021-02-11 18:04:52.0000000,2021-02-14 02:16:07.9825173,103477624,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasName, HasArguments, HasIconLocation, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),188F1FCA,,C:\Program Files\Microsoft VS Code\Code.exe,,My Computer\C:\Program Files\Microsoft VS Code\Code.exe,0x15290,0x2,desktop-23ps6es,00:15:5d:19:58:03,2020-08-01 22:46:32.5002110,"TrackerDataBaseBlock, PropertyStoreDataBlock","--folder-uri ""file:///c%3A/Users/anit.ghosh/Desktop/tmp"""
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\28c8b86deab549a1.customDestinations-ms,2020-08-01 23:52:34.5278358,2020-08-07 19:15:34.5571956,2022-02-20 03:34:23.8149395,28c8b86deab549a1,Internet Explorer 8.0.7600.16385 / 9,,2021-02-02 01:45:06.2000340,2021-02-02 01:45:06.2040450,2020-08-07 19:15:17.0595426,816072,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),188F1FCA,,C:\Program Files\Internet Explorer\iexplore.exe,,My Computer\C:\Program Files\Internet Explorer\iexplore.exe,0xE25E,0x1,desktop-23ps6es,00:15:5d:19:58:03,2020-08-01 21:48:37.5000296,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",-private
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\28c8b86deab549a1.customDestinations-ms,2020-08-01 23:52:34.5278358,2020-08-07 19:15:34.5571956,2022-02-20 03:34:23.8149395,28c8b86deab549a1,Internet Explorer 8.0.7600.16385 / 9,,2021-02-02 01:45:06.2000340,2021-02-02 01:45:06.2040450,2020-08-07 19:15:17.0595426,816072,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),188F1FCA,,C:\Program Files\Internet Explorer\iexplore.exe,,My Computer\C:\Program Files\Internet Explorer\iexplore.exe,0xE25E,0x1,desktop-23ps6es,00:15:5d:19:58:03,2020-08-01 21:48:37.5000296,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",-newtab
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\28c8b86deab549a1.customDestinations-ms,2020-08-01 23:52:34.5278358,2020-08-07 19:15:34.5571956,2022-02-20 03:34:23.8149395,28c8b86deab549a1,Internet Explorer 8.0.7600.16385 / 9,,2021-02-02 01:45:06.2000340,2021-02-02 01:45:06.2040450,2020-08-07 19:15:17.0595426,816072,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),188F1FCA,,C:\Program Files\Internet Explorer\iexplore.exe,,My Computer\C:\Program Files\Internet Explorer\iexplore.exe,0xE25E,0x1,desktop-23ps6es,00:15:5d:19:58:03,2020-08-01 21:48:37.5000296,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",-restore
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\28c8b86deab549a1.customDestinations-ms,2020-08-01 23:52:34.5278358,2020-08-07 19:15:34.5571956,2022-02-20 03:34:23.8149395,28c8b86deab549a1,Internet Explorer 8.0.7600.16385 / 9,,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,Internet Explorer (Homepage)\https://github.com/dahlbyk/posh-git,,,,,,PropertyStoreDataBlock,
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\28c8b86deab549a1.customDestinations-ms,2020-08-01 23:52:34.5278358,2020-08-07 19:15:34.5571956,2022-02-20 03:34:23.8149395,28c8b86deab549a1,Internet Explorer 8.0.7600.16385 / 9,,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,Internet Explorer (Homepage)\https://code.visualstudio.com/docs/?dv=win32user,,,,,,PropertyStoreDataBlock,
