SourceFile,SourceCreated,SourceModified,SourceAccessed,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,NetworkPath,CommonPath,Arguments,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,MACVendor,TrackerCreatedOn,ExtraBlocksPresent
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\Public\Desktop\Google Chrome.lnk,2020-08-01 21:01:43,2020-08-09 23:01:56,2022-02-20 03:34:24,2020-08-01 21:01:43,2021-02-04 01:50:22,2020-08-01 21:01:43,2057320,..\..\..\Program Files\Google\Chrome\Application\chrome.exe,C:\Program Files\Google\Chrome\Application,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasName, HasRelativePath, HasWorkingDir, HasArguments, HasIconLocation, IsUnicode, HasExpIcon",Fixed storage media (Hard drive),188F1FCA,,C:\Program Files\Google\Chrome\Application\chrome.exe,,,--ignore-certificate-errors,My Computer\C:\Program Files\Google\Chrome\Application\chrome.exe,0x14671,0x1,desktop-23ps6es,00:15:5d:19:58:03,MICROSOFT,2021-02-13 19:56:32,"IconEnvironmentDataBlock, SpecialFolderDataBlock, KnownFolderDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\Public\Desktop\Mozilla Thunderbird.lnk,2020-08-01 21:04:24,2020-08-01 21:04:24,2022-02-20 03:34:24,2020-08-01 21:04:22,2021-02-03 19:21:01,2020-08-01 21:04:24,386528,..\..\..\Program Files\Mozilla Thunderbird\thunderbird.exe,C:\Program Files\Mozilla Thunderbird,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode",Fixed storage media (Hard drive),188F1FCA,,C:\Program Files\Mozilla Thunderbird\thunderbird.exe,,,,My Computer\C:\Program Files\Mozilla Thunderbird\thunderbird.exe,0x1483F,0x1,desktop-23ps6es,00:15:5d:19:58:03,MICROSOFT,2021-02-13 19:56:32,"SpecialFolderDataBlock, KnownFolderDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\ProgramData\Microsoft\Windows\Start Menu\Programs\Google Chrome.lnk,2020-08-01 21:01:43,2020-08-01 21:01:43,2022-02-20 03:34:24,2020-08-01 21:01:43,2021-02-04 01:50:22,2020-08-01 21:01:43,2057320,..\..\..\..\..\Program Files\Google\Chrome\Application\chrome.exe,C:\Program Files\Google\Chrome\Application,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasName, HasRelativePath, HasWorkingDir, HasIconLocation, IsUnicode, HasExpIcon",Fixed storage media (Hard drive),188F1FCA,,C:\Program Files\Google\Chrome\Application\chrome.exe,,,,My Computer\C:\Program Files\Google\Chrome\Application\chrome.exe,0x14671,0x1,desktop-23ps6es,00:15:5d:19:58:03,MICROSOFT,2021-02-13 19:56:32,"IconEnvironmentDataBlock, SpecialFolderDataBlock, KnownFolderDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\ProgramData\Microsoft\Windows\Start Menu\Programs\Immersive Control Panel.lnk,2018-09-15 05:07:33,2018-09-15 05:07:33,2022-02-20 03:34:24,,,,0,,%HOMEDRIVE%%HOMEPATH%,0,"HasName, HasWorkingDir, HasIconLocation, IsUnicode, ForceNoLinkInfo, HasExpString, PreferEnvironmentPath",(None),,,,,,,,,,,,,,"PropertyStoreDataBlock, EnvironmentVariableDataBlock"
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\ProgramData\Microsoft\Windows\Start Menu\Programs\Mozilla Thunderbird.lnk,2020-08-01 21:04:24,2020-08-01 21:04:24,2022-02-20 03:34:24,2020-08-01 21:04:22,2021-02-03 19:21:01,2020-08-01 21:04:22,386528,..\..\..\..\..\Program Files\Mozilla Thunderbird\thunderbird.exe,C:\Program Files\Mozilla Thunderbird,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode",Fixed storage media (Hard drive),188F1FCA,,C:\Program Files\Mozilla Thunderbird\thunderbird.exe,,,,My Computer\C:\Program Files\Mozilla Thunderbird\thunderbird.exe,0x1483F,0x1,desktop-23ps6es,00:15:5d:19:58:03,MICROSOFT,2021-02-13 19:56:32,"SpecialFolderDataBlock, KnownFolderDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\Administrator\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\Google Chrome.lnk,2020-08-01 22:56:12,2020-08-01 22:56:12,2022-02-20 03:34:24,2020-08-01 21:01:43,2021-02-04 01:50:22,2020-08-01 22:18:09,2057320,..\..\..\..\..\..\..\Program Files\Google\Chrome\Application\chrome.exe,C:\Program Files\Google\Chrome\Application,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasName, HasRelativePath, HasWorkingDir, HasIconLocation, IsUnicode, HasExpIcon",Fixed storage media (Hard drive),188F1FCA,,C:\Program Files\Google\Chrome\Application\chrome.exe,,,,My Computer\C:\Program Files\Google\Chrome\Application\chrome.exe,0x14671,0x1,desktop-23ps6es,00:15:5d:19:58:03,MICROSOFT,2021-02-13 19:56:32,"IconEnvironmentDataBlock, SpecialFolderDataBlock, KnownFolderDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\Administrator\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\Shows Desktop.lnk,2020-08-01 22:56:06,2018-09-15 05:06:29,2022-02-20 03:34:24,,,,0,,,0,"HasTargetIdList, HasName, HasIconLocation, IsUnicode, ForceNoLinkInfo",(None),,,,,,,Show Desktop,,,,,,,PropertyStoreDataBlock
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\Administrator\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\Window Switcher.lnk,2020-08-01 22:56:06,2018-09-15 05:06:29,2022-02-20 03:34:24,,,,0,,,0,"HasTargetIdList, HasName, HasIconLocation, IsUnicode, ForceNoLinkInfo",(None),,,,,,,Window Switcher,,,,,,,PropertyStoreDataBlock
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\Google Chrome.lnk,2020-08-01 22:17:12,2020-08-09 22:59:54,2022-02-20 03:34:24,2020-08-01 21:01:43,2021-02-04 01:50:22,2020-08-09 22:59:53,2057320,..\..\..\..\..\..\..\Program Files\Google\Chrome\Application\chrome.exe,C:\Program Files\Google\Chrome\Application,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasName, HasRelativePath, HasWorkingDir, HasIconLocation, IsUnicode, HasExpIcon",Fixed storage media (Hard drive),188F1FCA,,C:\Program Files\Google\Chrome\Application\chrome.exe,,,,My Computer\C:\Program Files\Google\Chrome\Application\chrome.exe,0x14671,0x1,desktop-23ps6es,00:15:5d:19:58:03,MICROSOFT,2021-02-13 19:56:32,"IconEnvironmentDataBlock, SpecialFolderDataBlock, KnownFolderDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Roaming\Microsoft\Windows\Recent\Desktop.lnk,2021-02-14 02:11:57,2021-02-14 02:11:57,2022-02-20 03:34:24,2020-08-01 22:11:26,2021-02-14 02:11:57,2021-02-14 02:11:57,0,..\..\..\..\..\Desktop,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),188F1FCA,,C:\Users\anit.ghosh\Desktop,,,,My Computer\Desktop,,,desktop-23ps6es,00:15:5d:19:58:03,MICROSOFT,2020-08-01 22:12:46,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Roaming\Microsoft\Windows\Recent\PHOTOS.lnk,2021-02-14 02:35:38,2021-02-14 02:35:38,2022-02-20 03:34:24,2021-02-14 02:21:41,2021-02-14 02:21:42,2021-02-14 02:21:43,4154735,..\..\..\..\..\Desktop\tmp\PHOTOS.7z,C:\Users\anit.ghosh\Desktop\tmp,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),188F1FCA,,C:\Users\anit.ghosh\Desktop\tmp\PHOTOS.7z,,,,My Computer\Desktop\tmp\PHOTOS.7z,0x29902,0x4,desktop-23ps6es,00:15:5d:19:58:03,MICROSOFT,2021-02-14 02:32:47,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Roaming\Microsoft\Windows\Recent\Power Options.lnk,2021-02-14 02:37:00,2021-02-14 02:37:00,2022-02-20 03:34:24,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Control Panel\Hardware and Sound\Power Options,,,,,,,
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Roaming\Microsoft\Windows\Recent\This PC.lnk,2021-02-14 02:11:57,2021-02-14 02:11:57,2022-02-20 03:34:24,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,My Computer,,,,,,,
C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Roaming\Microsoft\Windows\Recent\tmp.lnk,2021-02-14 02:11:57,2021-02-14 02:35:38,2022-02-20 03:34:24,2021-02-14 02:11:54,2021-02-14 02:21:42,2021-02-14 02:35:38,4096,..\..\..\..\..\Desktop\tmp,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),188F1FCA,,C:\Users\anit.ghosh\Desktop\tmp,,,,My Computer\Desktop\tmp,0xEDE8,0x6,desktop-23ps6es,00:15:5d:19:58:03,MICROSOFT,2021-02-14 02:03:51,"TrackerDataBaseBlock, PropertyStoreDataBlock"
