ApplicationName,ProgramId,FileKeyLastWriteTimestamp,SHA1,IsOsComponent,FullPath,Name,FileExtension,LinkDate,ProductName,Size,Version,ProductVersion,LongPathHash,BinaryType,IsPeFile,BinFileVersion,BinProductVersion,Usn,Language,Description
Microsoft Visual Studio Code,00000888451abdd2add2e5a55051f54be0540000ffff,2020-08-07 19:15:17.6845520,fb40a5426d07fa8cec008cceeeaadb9d8e1d16b2,False,c:\program files\microsoft vs code\code.exe,Code.exe,.exe,2021-02-05 19:52:47.0000000,visual studio code,103477624,1.53.2,1.53.2,code.exe|4dc5318e,pe32_i386,False,1.53.2.0,1.53.2.0,29115624,1033,
Microsoft Visual Studio Code,00000888451abdd2add2e5a55051f54be0540000ffff,2020-08-07 19:15:17.6845520,b684b0bf7f310c124cfad8f445f5085585941a38,False,c:\program files\microsoft vs code\tools\inno_updater.exe,inno_updater.exe,.exe,2019-10-17 11:25:15.0000000,,420216,,,inno_updater.exe|dfb66e9e,pe32_i386,False,,,29113808,0,
Microsoft Visual Studio Code,00000888451abdd2add2e5a55051f54be0540000ffff,2020-08-07 19:15:17.6845520,6290812f5b61991b1f6c545744a36c532cf99435,False,c:\program files\microsoft vs code\resources\app\node_modules.asar.unpacked\vscode-ripgrep\bin\rg.exe,rg.exe,.exe,2020-11-17 19:04:31.0000000,,4073336,,,rg.exe|68ab1725,pe32_i386,False,,,28991736,0,
Microsoft Visual Studio Code,00000888451abdd2add2e5a55051f54be0540000ffff,2020-08-07 19:15:17.6845520,d7deb8f7fcb3a303801401979fdb7602413f14fb,False,c:\program files\microsoft vs code\unins000.exe,unins000.exe,.exe,2020-05-21 05:56:25.0000000,"visual studio code                                          ",2627960,51.1052.0.0,"1.53.2                                            ",unins000.exe|50760b4b,pe32_i386,False,51.1052.0.0,1.53.2.0,28050296,0,
Microsoft Visual Studio Code,00000888451abdd2add2e5a55051f54be0540000ffff,2020-08-07 19:15:17.6845520,2287620e23ebeddde347d958f206f1e95594d080,False,c:\program files\microsoft vs code\resources\app\node_modules.asar.unpacked\node-pty\build\release\winpty-agent.exe,winpty-agent.exe,.exe,2021-02-10 22:05:17.0000000,,243064,,,winpty-agent.exe|f9c3a57a,pe32_i386,False,,,28985360,0,
Mozilla Maintenance Service,000065433ebfa6da28d451260b7a6b33d6850000ffff,2020-08-01 21:04:24.8974073,c5bd89b7b5ce6ab722fdbd8985efb5a9d122df2b,False,c:\program files\mozilla maintenance service\maintenanceservice.exe,maintenanceservice.exe,.exe,2021-02-03 18:58:48.0000000,thunderbird,219616,78.7.0,78.7.0,maintenanceservi|d1730a7a,pe32_i386,False,78.7.0.7704,78.7.0.7704,5067752,0,
Mozilla Maintenance Service,000065433ebfa6da28d451260b7a6b33d6850000ffff,2020-08-01 21:04:24.8974073,1167842ed6aee22849c65db60363028a38d53f7a,False,c:\program files\mozilla maintenance service\uninstall.exe,Uninstall.exe,.exe,2016-12-11 21:50:55.0000000,thunderbird,89698,78.7.1,78.7.1,uninstall.exe|7ce30a71,pe32_i386,False,1.0.0.0,1.0.0.0,5073824,1033,
Google Chrome,00006e147458a90c3418e664445f143c02ca0000ffff,2020-08-07 17:47:33.4580335,78fd89892006d2f3e9d6ca0887174a883ee062e1,False,c:\program files\google\chrome\application\88.0.4324.150\installer\chrmstp.exe,chrmstp.exe,.exe,2021-02-04 00:31:45.0000000,google chrome installer,2447472,88.0.4324.150,88.0.4324.150,chrmstp.exe|3b0c7740,pe32_i386,False,88.0.4324.150,88.0.4324.150,4594680,1033,
Google Chrome,00006e147458a90c3418e664445f143c02ca0000ffff,2020-08-07 17:47:33.4580335,6975b715ab15b68466a1b261a244b7aa3b1e1eef,False,c:\program files\google\chrome\application\chrome.exe,chrome.exe,.exe,2021-02-04 00:31:45.0000000,google chrome,2057320,88.0.4324.150,88.0.4324.150,chrome.exe|ee5b0608,pe32_i386,False,88.0.4324.150,88.0.4324.150,4596080,1033,
Google Chrome,00006e147458a90c3418e664445f143c02ca0000ffff,2020-08-07 17:47:33.4736597,7bcd912ac6d53170419950d7d0a15b4609c3070d,False,c:\program files\google\chrome\application\chrome_proxy.exe,chrome_proxy.exe,.exe,2021-02-04 00:31:45.0000000,google chrome,683120,88.0.4324.150,88.0.4324.150,chrome_proxy.exe|e05a2978,pe32_i386,False,88.0.4324.150,88.0.4324.150,4595392,1033,
Google Chrome,00006e147458a90c3418e664445f143c02ca0000ffff,2020-08-07 17:47:33.4736597,15f30fec6a63112d987493cea68091304a738798,False,c:\program files\google\chrome\application\88.0.4324.150\chrome_pwa_launcher.exe,chrome_pwa_launcher.exe,.exe,2021-02-04 00:31:45.0000000,google chrome,1203824,88.0.4324.150,88.0.4324.150,chrome_pwa_launc|7ddc6b6b,pe32_i386,False,88.0.4324.150,88.0.4324.150,4574784,1033,
Google Chrome,00006e147458a90c3418e664445f143c02ca0000ffff,2020-08-07 17:47:33.4736597,e14c230c47c77d6e4860aae29ed44a9a613809b1,False,c:\program files\google\chrome\application\88.0.4324.150\elevation_service.exe,elevation_service.exe,.exe,2021-02-04 00:31:45.0000000,google chrome,1156720,88.0.4324.150,88.0.4324.150,elevation_servic|c8a8bc8e,pe32_i386,False,88.0.4324.150,88.0.4324.150,4576312,1033,
Google Chrome,00006e147458a90c3418e664445f143c02ca0000ffff,2020-08-07 17:47:33.4892836,baaf060420556c9e82417ddb8cd706001951f4c8,False,c:\program files\google\chrome\application\88.0.4324.150\nacl64.exe,nacl64.exe,.exe,2021-02-04 00:31:45.0000000,google chrome,3396208,88.0.4324.150,88.0.4324.150,nacl64.exe|39511a85,pe64_amd64,False,88.0.4324.150,88.0.4324.150,4586272,1033,
Google Chrome,00006e147458a90c3418e664445f143c02ca0000ffff,2020-08-07 17:47:33.4892836,9bdf80b8cfa02330dbbcafa8240bfcbf9fb47e18,False,c:\program files\google\chrome\application\88.0.4324.150\notification_helper.exe,notification_helper.exe,.exe,2021-02-04 00:31:45.0000000,google chrome,851048,88.0.4324.150,88.0.4324.150,notification_hel|588bffee,pe32_i386,False,88.0.4324.150,88.0.4324.150,4586880,1033,
Google Chrome,00006e147458a90c3418e664445f143c02ca0000ffff,2020-08-07 17:47:33.5049096,78fd89892006d2f3e9d6ca0887174a883ee062e1,False,c:\program files\google\chrome\application\88.0.4324.150\installer\setup.exe,setup.exe,.exe,2021-02-04 00:31:45.0000000,google chrome installer,2447472,88.0.4324.150,88.0.4324.150,setup.exe|3fb510a6,pe32_i386,False,88.0.4324.150,88.0.4324.150,4594248,1033,
Java 8 Update 181,00008cbce55cdba6dfb549f6a5f0db7e427400000904,2020-08-07 18:56:25.7057580,26be597cd6c1a06282e14a1908ddde638593f5d7,False,c:\program files\java\jre1.8.0_181\bin\jabswitch.exe,jabswitch.exe,.exe,2018-07-07 10:29:19.0000000,java(tm) platform se 8,31608,8.0.1810.13,8.0.1810.13,jabswitch.exe|72d87eaa,pe32_i386,False,8.0.1810.13,8.0.1810.13,10833456,1033,
Java 8 Update 181,00008cbce55cdba6dfb549f6a5f0db7e427400000904,2020-08-07 18:56:25.8151314,c610a39f3bd0fb4b3148417f5d203d12506d1843,False,c:\program files\java\jre1.8.0_181\bin\java-rmi.exe,java-rmi.exe,.exe,2018-07-07 10:29:19.0000000,java(tm) platform se 8,16760,8.0.1810.13,8.0.1810.13,java-rmi.exe|94e7eac1,pe32_i386,False,8.0.1810.13,8.0.1810.13,10833632,0,
Java 8 Update 181,00008cbce55cdba6dfb549f6a5f0db7e427400000904,2020-08-07 18:56:26.2995073,c10278e878dddeb283bdbcae94b65100ff09337f,False,c:\program files\java\jre1.8.0_181\bin\java.exe,java.exe,.exe,2018-07-07 10:29:11.0000000,java(tm) platform se 8,192376,8.0.1810.13,8.0.1810.13,java.exe|9c1b0bce,pe32_i386,False,8.0.1810.13,8.0.1810.13,10834000,0,
Java 8 Update 181,00008cbce55cdba6dfb549f6a5f0db7e427400000904,2020-08-07 18:56:26.7370068,41c38e3ad5706d50742452e78edba24db34f2d22,False,c:\program files\java\jre1.8.0_181\bin\javacpl.cpl,javacpl.cpl,.cpl,2018-07-07 10:44:40.0000000,java(tm) platform se 8 u181,162816,8.0.1810.13,8.0.1810.13,javacpl.cpl|155b994c,pe32_i386,False,11.181.2.13,8.0.1810.13,10834376,1033,
Java 8 Update 181,00008cbce55cdba6dfb549f6a5f0db7e427400000904,2020-08-07 18:56:27.0182570,05497a0d39cce40875852f093acba23d006625d3,False,c:\program files\java\jre1.8.0_181\bin\javacpl.exe,javacpl.exe,.exe,2018-07-07 10:44:52.0000000,java(tm) platform se 8 u181,74616,11.181.2.13,8.0.1810.13,javacpl.exe|5711355b,pe32_i386,False,11.181.2.13,8.0.1810.13,10834552,1033,
Java 8 Update 181,00008cbce55cdba6dfb549f6a5f0db7e427400000904,2020-08-07 18:56:27.5338836,f3a6dcc5cd0aaa1cc0824416502d32d6655f5e13,False,c:\program files\java\jre1.8.0_181\bin\javaw.exe,javaw.exe,.exe,2018-07-07 10:29:11.0000000,java(tm) platform se 8,192376,8.0.1810.13,8.0.1810.13,javaw.exe|bba95a4f,pe32_i386,False,8.0.1810.13,8.0.1810.13,10835296,0,
Java 8 Update 181,00008cbce55cdba6dfb549f6a5f0db7e427400000904,2020-08-07 18:56:27.9401327,853fa59a8af160ade3f8a0901ba7ced3fd0d0508,False,c:\program files\java\jre1.8.0_181\bin\javaws.exe,javaws.exe,.exe,2018-07-07 10:40:35.0000000,java(tm) platform se 8 u181,300408,11.181.2.13,8.0.1810.13,javaws.exe|9d2a7ccf,pe32_i386,False,11.181.2.13,8.0.1810.13,10835456,0,
Java 8 Update 181,00008cbce55cdba6dfb549f6a5f0db7e427400000904,2020-08-07 18:56:28.0338823,5e1b1203c123da20ae9291ebc54df91da63cb40a,False,c:\program files\java\jre1.8.0_181\bin\jjs.exe,jjs.exe,.exe,2018-07-07 10:29:14.0000000,java(tm) platform se 8,16760,8.0.1810.13,8.0.1810.13,jjs.exe|fa3639ca,pe32_i386,False,8.0.1810.13,8.0.1810.13,10836848,0,
Java 8 Update 181,00008cbce55cdba6dfb549f6a5f0db7e427400000904,2020-08-07 18:56:28.2682576,3781edafb98a8bd66a32f5fc6bcf5b18451c5e65,False,c:\program files\java\jre1.8.0_181\bin\jp2launcher.exe,jp2launcher.exe,.exe,2018-07-07 10:44:22.0000000,java(tm) platform se 8 u181,92536,11.181.2.13,8.0.1810.13,jp2launcher.exe|5f8c12ae,pe32_i386,False,11.181.2.13,8.0.1810.13,10837360,0,
Java 8 Update 181,00008cbce55cdba6dfb549f6a5f0db7e427400000904,2020-08-07 18:56:28.3620079,b89f638019c14489bf6c4478a968cdb5ef9850a9,False,c:\program files\java\jre1.8.0_181\bin\keytool.exe,keytool.exe,.exe,2018-07-07 10:29:15.0000000,java(tm) platform se 8,16760,8.0.1810.13,8.0.1810.13,keytool.exe|1917f45,pe32_i386,False,8.0.1810.13,8.0.1810.13,10838760,0,
Java 8 Update 181,00008cbce55cdba6dfb549f6a5f0db7e427400000904,2020-08-07 18:56:28.4088827,8695d35a9d63eb09aba7a3966cf90d687a654fa6,False,c:\program files\java\jre1.8.0_181\bin\kinit.exe,kinit.exe,.exe,2018-07-07 10:29:18.0000000,java(tm) platform se 8,16760,8.0.1810.13,8.0.1810.13,kinit.exe|bb41168f,pe32_i386,False,8.0.1810.13,8.0.1810.13,10838928,0,
Java 8 Update 181,00008cbce55cdba6dfb549f6a5f0db7e427400000904,2020-08-07 18:56:28.5182574,7758c200b39dc58b127c85e116bb8b773c5c0f84,False,c:\program files\java\jre1.8.0_181\bin\klist.exe,klist.exe,.exe,2018-07-07 10:29:18.0000000,java(tm) platform se 8,16760,8.0.1810.13,8.0.1810.13,klist.exe|869f9b01,pe32_i386,False,8.0.1810.13,8.0.1810.13,10839088,0,
Java 8 Update 181,00008cbce55cdba6dfb549f6a5f0db7e427400000904,2020-08-07 18:56:28.5651328,be5d1e0c11e640b4f8c5a849958a92b18a19ca6e,False,c:\program files\java\jre1.8.0_181\bin\ktab.exe,ktab.exe,.exe,2018-07-07 10:29:19.0000000,java(tm) platform se 8,16760,8.0.1810.13,8.0.1810.13,ktab.exe|a99fbce3,pe32_i386,False,8.0.1810.13,8.0.1810.13,10839248,0,
Java 8 Update 181,00008cbce55cdba6dfb549f6a5f0db7e427400000904,2020-08-07 18:56:28.7682569,09057e88dcd41119a57f9fa5c5255784aa99a8bc,False,c:\program files\java\jre1.8.0_181\bin\orbd.exe,orbd.exe,.exe,2018-07-07 10:29:17.0000000,java(tm) platform se 8,17272,8.0.1810.13,8.0.1810.13,orbd.exe|51a44db6,pe32_i386,False,8.0.1810.13,8.0.1810.13,10840752,0,
Java 8 Update 181,00008cbce55cdba6dfb549f6a5f0db7e427400000904,2020-08-07 18:56:28.8620077,849e8402a49318e92de0833c3d7bacd8cf22b5dd,False,c:\program files\java\jre1.8.0_181\bin\pack200.exe,pack200.exe,.exe,2018-07-07 10:29:17.0000000,java(tm) platform se 8,16760,8.0.1810.13,8.0.1810.13,pack200.exe|933cbd1e,pe32_i386,False,8.0.1810.13,8.0.1810.13,10840920,0,
