KeyName,KeyLastWriteTimestamp,BusReportedDescription,Class,ClassGuid,Compid,ContainerId,Description,DriverId,DriverPackageStrongName,DriverName,DriverVerDate,DriverVerVersion,Enumerator,HWID,Inf,InstallState,Manufacturer,MatchingId,Model,ParentId,ProblemCode,Provider,Service,Stackid
acpi/authenticamd_-_x86_family_23_model_113_-_amd_ryzen_9_3900x_12-core_processor____________/_1,2021-02-13 19:51:38.5462597,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},"AMD Ryzen 9 3900X 12-Core Processor            ",000084e5ae7f744e36152104a5908a200cd9d06c133b,cpu.inf_x86_1d844a280fc62cfa,amdppm.sys,04-21-2009,10.0.17763.1432,acpi,"acpi\authenticamd_-_x86_family_23_model_113,*authenticamd_-_x86_family_23_model_113,acpi\authenticamd_-_x86_family_23,*authenticamd_-_x86_family_23,acpi\authenticamd_-_x86,*authenticamd_-_x86",cpu.inf,0,Advanced Micro Devices,acpi\authenticamd_-_x86,AMD Processor,acpi_hal\pnp0c08\0,0,Microsoft,amdppm,"\driver\amdppm,\driver\acpi"
acpi/fixedbutton/2&daba3ff&0,2021-02-13 19:51:38.5462597,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},ACPI Fixed Feature Button,,machine.inf_x86_163747d88c6e7989,,06-21-2006,10.0.17763.771,acpi,"acpi\fixedbutton,*fixedbutton",machine.inf,0,(Standard system devices),acpi\fixedbutton,ACPI Fixed Feature Button,acpi_hal\pnp0c08\0,0,Microsoft,,\driver\acpi
acpi/hyper_v_gen_counter_v1/0,2021-02-13 19:51:38.5462597,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},"acpi\vm_gen_counter,vm_gen_counter",{27db0821-3bf9-f71a-f96f-a53403857690},Microsoft Hyper-V Generation Counter,0000c37ad7cba7087811108a0335a94c291540445308,wgencounter.inf_x86_cfbcd4026117ccd9,vmgencounter.sys,06-21-2006,10.0.17763.1,acpi,"acpi\hyper_v_gen_counter_v1,*hyper_v_gen_counter_v1",wgencounter.inf,0,Microsoft,vm_gen_counter,Microsoft Hyper-V Generation Counter,acpi_hal\pnp0c08\0,0,Microsoft,gencounter,"\driver\gencounter,\driver\acpi"
acpi/pnp0000/4&215d0f95&0,2021-02-13 19:51:38.5462597,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Programmable interrupt controller,,machine.inf_x86_163747d88c6e7989,,06-21-2006,10.0.17763.771,acpi,"acpi\ven_pnp&dev_0000,acpi\pnp0000,*pnp0000",machine.inf,0,(Standard system devices),*pnp0000,Programmable interrupt controller,pci\ven_8086&dev_7110&subsys_00001414&rev_01\3&267a616a&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0100/4&215d0f95&0,2021-02-13 19:51:38.5150093,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},System timer,,machine.inf_x86_163747d88c6e7989,,06-21-2006,10.0.17763.771,acpi,"acpi\ven_pnp&dev_0100,acpi\pnp0100,*pnp0100",machine.inf,0,(Standard system devices),*pnp0100,System timer,pci\ven_8086&dev_7110&subsys_00001414&rev_01\3&267a616a&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0200/4&215d0f95&0,2021-02-13 19:51:38.5462597,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Direct memory access controller,,machine.inf_x86_163747d88c6e7989,,06-21-2006,10.0.17763.771,acpi,"acpi\ven_pnp&dev_0200,acpi\pnp0200,*pnp0200",machine.inf,0,(Standard system devices),*pnp0200,Direct memory access controller,pci\ven_8086&dev_7110&subsys_00001414&rev_01\3&267a616a&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0303/4&215d0f95&0,2021-02-13 19:51:38.5462597,,keyboard,{4d36e96b-e325-11ce-bfc1-08002be10318},*pnp030b,{27db0821-3bf9-f71a-f96f-a53403857690},Standard PS/2 Keyboard,0000ecd4c71d360cf65f4d9177655782a97e097acd13,keyboard.inf_x86_be93d68230a9eece,i8042prt.sys,06-21-2006,10.0.17763.348,acpi,"acpi\ven_pnp&dev_0303,acpi\pnp0303,*pnp0303",keyboard.inf,0,(Standard keyboards),*pnp0303,Standard PS/2 Keyboard,pci\ven_8086&dev_7110&subsys_00001414&rev_01\3&267a616a&0&38,0,Microsoft,i8042prt,"\driver\kbdclass,\driver\i8042prt,\driver\acpi"
acpi/pnp0501/1,2021-02-13 19:51:38.5306350,,ports,{4d36e978-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Communications Port (COM1),0000e32eda23cee7f0c245305d6ddc0d330c09164616,msports.inf_x86_f340770b15c89141,serial.sys,06-21-2006,10.0.17763.1,acpi,"acpi\ven_pnp&dev_0501,acpi\pnp0501,*pnp0501",msports.inf,0,(Standard port types),*pnp0501,Communications Port,pci\ven_8086&dev_7110&subsys_00001414&rev_01\3&267a616a&0&38,0,Microsoft,serial,"\driver\serenum,\driver\serial,\driver\acpi"
acpi/pnp0501/2,2021-02-13 19:51:38.5306350,,ports,{4d36e978-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Communications Port (COM2),0000e32eda23cee7f0c245305d6ddc0d330c09164616,msports.inf_x86_f340770b15c89141,serial.sys,06-21-2006,10.0.17763.1,acpi,"acpi\ven_pnp&dev_0501,acpi\pnp0501,*pnp0501",msports.inf,0,(Standard port types),*pnp0501,Communications Port,pci\ven_8086&dev_7110&subsys_00001414&rev_01\3&267a616a&0&38,0,Microsoft,serial,"\driver\serenum,\driver\serial,\driver\acpi"
acpi/pnp0700/4&215d0f95&0,2021-02-13 19:51:38.5306350,,fdc,{4d36e969-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Standard floppy disk controller,0000325791fa445f0a138b330bbbac29ac347e05c79e,fdc.inf_x86_006bf82d1f76f5df,fdc.sys,06-21-2006,10.0.17763.1,acpi,"acpi\ven_pnp&dev_0700,acpi\pnp0700,*pnp0700",fdc.inf,0,(Standard floppy disk controllers),*pnp0700,Standard floppy disk controller,pci\ven_8086&dev_7110&subsys_00001414&rev_01\3&267a616a&0&38,0,Microsoft,fdc,"\driver\fdc,\driver\acpi"
