KeyName,LnkName,KeyLastWriteTimestamp
7-zip file manag|98af2874,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\7-Zip\7-Zip File Manager.lnk,2020-08-09 23:06:07.9185987
7-zip help.lnk|ae5e0f20,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\7-Zip\7-Zip Help.lnk,2020-08-09 23:06:07.9205987
about java.lnk|700efa8a,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Java\About Java.lnk,2020-08-09 23:06:12.5915988
administrative t|1bb3127,c:\users\user\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Administrative Tools.lnk,2021-02-13 19:51:43.2806363
administrative t|aa213e55,c:\users\anit.ghosh\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Administrative Tools.lnk,2020-08-07 17:47:33.4111670
calculator.lnk|824ea8b2,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Calculator.lnk,2021-02-13 19:51:43.1400096
character map.ln|51ec24e3,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Character Map.lnk,2021-02-13 19:51:43.1556357
check for update|b56f3425,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Java\Check For Updates.lnk,2020-08-09 23:06:12.5985985
command prompt.l|4306e6e,c:\users\anit.ghosh\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Command Prompt.lnk,2020-08-07 17:47:33.4111670
command prompt.l|5cea1a76,c:\users\user\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Command Prompt.lnk,2021-02-13 19:51:43.2806363
component servic|47a6bcb0,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Component Services.lnk,2021-02-13 19:51:43.1868837
computer managem|65b6f8f2,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Computer Management.lnk,2021-02-13 19:51:43.1868837
computer.lnk|79d2220,c:\users\user\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\computer.lnk,2021-02-13 19:51:43.2806363
