ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,0,C:\Users\anit.ghosh\Desktop\sdelete.exe,2020-11-25 14:59:48,NA,False,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Windows\System32\config\SYSTEM
1,1,C:\Windows\TEMP\94617D4E-D813-4D30-8BF0-2C5F5465FD49\dismhost.exe,2021-02-02 01:44:47,NA,False,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Windows\System32\config\SYSTEM
1,2,C:\Windows\system32\MusNotifyIcon.exe,2021-02-02 01:44:41,NA,False,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Windows\System32\config\SYSTEM
1,3,C:\Windows\system32\srtasks.exe,2021-02-02 01:45:00,NA,False,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Windows\System32\config\SYSTEM
1,4,C:\Windows\system32\winsat.exe,2021-02-02 01:44:59,NA,False,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Windows\System32\config\SYSTEM
1,5,C:\Windows\System32\WinBioPlugIns\FaceFodUninstaller.exe,2021-02-02 01:44:51,NA,False,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Windows\System32\config\SYSTEM
1,6,C:\Windows\system32\tzsync.exe,2018-09-15 05:06:32,NA,False,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Windows\System32\config\SYSTEM
1,7,C:\Windows\system32\dstokenclean.exe,2018-09-15 05:06:34,NA,False,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Windows\System32\config\SYSTEM
1,8,C:\Windows\system32\dmclient.exe,2021-02-02 01:44:25,NA,False,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Windows\System32\config\SYSTEM
1,9,C:\Windows\system32\disksnapshot.exe,2021-02-02 01:44:36,NA,False,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Windows\System32\config\SYSTEM
1,10,C:\Windows\system32\speech_onecore\common\SpeechModelDownload.exe,2021-02-02 01:44:41,NA,False,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Windows\System32\config\SYSTEM
1,11,C:\Windows\system32\wbem\WmiApSrv.exe,2018-09-15 05:06:29,NA,False,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Windows\System32\config\SYSTEM
1,12,C:\Windows\system32\MRT.exe,2021-02-10 19:59:32,NA,False,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Windows\System32\config\SYSTEM
1,13,C:\Windows\SoftwareDistribution\Download\Install\Windows-KB890830-V5.86.exe,2021-02-10 19:55:23,NA,False,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Windows\System32\config\SYSTEM
1,14,C:\Windows\winsxs\x86_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.17763.1750_none_faa78b13e0d8d74c\TiWorker.exe,2018-09-15 04:08:41,NA,False,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Windows\System32\config\SYSTEM
1,15,C:\Windows\TEMP\A79DAB5E-C96D-487F-9855-0B61FD9D516D\dismhost.exe,2021-02-02 01:44:47,NA,False,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Windows\System32\config\SYSTEM
1,16,C:\Windows\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.331.994.0.exe,2021-02-10 19:55:06,NA,False,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Windows\System32\config\SYSTEM
1,17,C:\Windows\system32\gpupdate.exe,2021-02-02 01:44:56,NA,False,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Windows\System32\config\SYSTEM
1,18,C:\Windows\System32\SystemSettingsBroker.exe,2021-02-02 01:44:25,NA,False,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Windows\System32\config\SYSTEM
1,19,C:\Windows\TEMP\E8C170EB-12C9-48B3-8A47-01A10077ECD4\dismhost.exe,2021-02-02 01:44:47,NA,False,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Windows\System32\config\SYSTEM
1,20,C:\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\SwReporter\88.253.200\software_reporter_tool.exe,2021-01-21 21:40:42,NA,False,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Windows\System32\config\SYSTEM
