RunTime,ExecutableName
2020-08-07 18:47:22.2843025,\VOLUME{01d668558f114fbd-188f1fca}\PROGRAMDATA\CHOCOLATEY\TOOLS\7Z.EXE
2020-08-07 17:50:20.5097624,\VOLUME{01d668558f114fbd-188f1fca}\USERS\ANIT.GHOSH\APPDATA\LOCAL\MICROSOFT\WINDOWS\INETCACHE\IE\YMUVFSTO\7Z1900.EXE
2021-02-14 02:22:13.3885555,\VOLUME{01d668558f114fbd-188f1fca}\PROGRAM FILES\7-ZIP\7ZFM.EXE
2021-02-14 02:15:33.0150022,\VOLUME{01d668558f114fbd-188f1fca}\PROGRAM FILES\7-ZIP\7ZFM.EXE
2021-02-14 02:15:24.9191500,\VOLUME{01d668558f114fbd-188f1fca}\PROGRAM FILES\7-ZIP\7ZFM.EXE
2021-02-14 02:20:07.4490196,\VOLUME{01d668558f114fbd-188f1fca}\PROGRAM FILES\7-ZIP\7ZG.EXE
2020-08-01 21:01:36.2872232,88.0.4324.150_CHROME_INSTALLE
2020-08-01 23:40:02.7015201,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SYSTEMAPPS\MICROSOFT.ACCOUNTSCONTROL_CW5N1H2TXYEWY\ACCOUNTSCONTROLHOST.EXE
2020-08-01 23:38:04.7882642,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SYSTEMAPPS\MICROSOFT.ACCOUNTSCONTROL_CW5N1H2TXYEWY\ACCOUNTSCONTROLHOST.EXE
2020-08-01 23:37:26.7257642,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SYSTEMAPPS\MICROSOFT.ACCOUNTSCONTROL_CW5N1H2TXYEWY\ACCOUNTSCONTROLHOST.EXE
2020-08-01 21:02:06.0176558,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SOFTWAREDISTRIBUTION\DOWNLOAD\INSTALL\AM_BASE_PATCH1.EXE
2020-08-01 21:02:06.8510534,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SOFTWAREDISTRIBUTION\DOWNLOAD\INSTALL\AM_DELTA.EXE
2021-02-14 02:10:10.4680767,AM_DELTA_PATCH_1.331.1033.0.E
2021-02-10 19:55:08.2662673,AM_DELTA_PATCH_1.331.994.0.EX
2021-02-14 02:32:39.2248965,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2021-02-14 02:04:44.4662057,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2021-02-13 19:57:08.7714467,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2021-02-13 19:52:50.2337597,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SYSTEM32\ATBROKER.EXE
2020-08-01 21:46:15.3803217,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SYSTEM32\AUDIODG.EXE
2020-08-01 21:39:13.4479152,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SYSTEM32\AUDIODG.EXE
2020-08-01 21:20:45.2619535,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SYSTEM32\AUDIODG.EXE
2020-08-01 21:00:21.0446766,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SYSTEM32\AUDIODG.EXE
2021-02-13 19:51:20.4525099,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-08-01 18:50:41.5534588,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2021-02-14 02:33:37.9555683,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2021-02-14 02:15:27.8972901,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2021-02-14 02:05:57.0332908,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2021-02-10 19:51:28.7445540,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-12-10 19:12:57.9684161,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-11-17 18:05:51.3076146,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-10-15 16:01:17.2184693,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-09-09 20:20:41.5910444,\VOLUME{01d668558f114fbd-188f1fca}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-08-09 20:20:34.7091627,\VOLUME{01d668558f114fbd-188f1fca}\PROGRAM FILES\GIT\USR\BIN\BASH.EXE
2020-08-09 20:20:34.8029127,\VOLUME{01d668558f114fbd-188f1fca}\PROGRAM FILES\GIT\USR\BIN\BASH.EXE
2020-08-07 18:52:05.2645568,\VOLUME{01d668558f114fbd-188f1fca}\PROGRAM FILES\GIT\USR\BIN\BASH.EXE
2020-08-07 18:52:05.7333072,\VOLUME{01d668558f114fbd-188f1fca}\PROGRAM FILES\GIT\USR\BIN\BASH.EXE
2020-08-07 18:52:05.7020558,\VOLUME{01d668558f114fbd-188f1fca}\PROGRAM FILES\GIT\USR\BIN\BASH.EXE
2020-08-07 18:52:05.6864311,\VOLUME{01d668558f114fbd-188f1fca}\PROGRAM FILES\GIT\USR\BIN\BASH.EXE
2020-08-07 18:52:05.6864311,\VOLUME{01d668558f114fbd-188f1fca}\PROGRAM FILES\GIT\USR\BIN\BASH.EXE
2020-08-07 18:52:05.6708051,\VOLUME{01d668558f114fbd-188f1fca}\PROGRAM FILES\GIT\USR\BIN\BASH.EXE
2020-08-07 19:27:47.7712577,\VOLUME{01d668558f114fbd-188f1fca}\USERS\ANIT.GHOSH\APPDATA\LOCAL\PROGRAMS\GIT\USR\BIN\BASH.EXE
2020-08-07 19:16:34.3508900,\VOLUME{01d668558f114fbd-188f1fca}\USERS\ANIT.GHOSH\APPDATA\LOCAL\PROGRAMS\GIT\USR\BIN\BASH.EXE
2020-08-07 19:16:34.4133908,\VOLUME{01d668558f114fbd-188f1fca}\USERS\ANIT.GHOSH\APPDATA\LOCAL\PROGRAMS\GIT\USR\BIN\BASH.EXE
2020-08-07 19:16:34.3977657,\VOLUME{01d668558f114fbd-188f1fca}\USERS\ANIT.GHOSH\APPDATA\LOCAL\PROGRAMS\GIT\USR\BIN\BASH.EXE
2020-08-07 18:33:08.6157691,\VOLUME{01d668558f114fbd-188f1fca}\USERS\ANIT.GHOSH\APPDATA\LOCAL\PROGRAMS\GIT\USR\BIN\BASH.EXE
2020-08-07 18:33:09.3501443,\VOLUME{01d668558f114fbd-188f1fca}\USERS\ANIT.GHOSH\APPDATA\LOCAL\PROGRAMS\GIT\USR\BIN\BASH.EXE
2020-08-07 18:33:09.3032693,\VOLUME{01d668558f114fbd-188f1fca}\USERS\ANIT.GHOSH\APPDATA\LOCAL\PROGRAMS\GIT\USR\BIN\BASH.EXE
2020-08-07 18:33:09.2876442,\VOLUME{01d668558f114fbd-188f1fca}\USERS\ANIT.GHOSH\APPDATA\LOCAL\PROGRAMS\GIT\USR\BIN\BASH.EXE
2020-08-07 18:26:21.3333125,\VOLUME{01d668558f114fbd-188f1fca}\PROGRAMDATA\ORACLE\JAVA\INSTALLCACHE\502788781.TMP\BSPATCH.EXE
2020-08-09 20:21:37.5823010,\VOLUME{01d668558f114fbd-188f1fca}\PROGRAM FILES\GIT\USR\BIN\CAT.EXE
2020-08-09 20:21:29.3048610,\VOLUME{01d668558f114fbd-188f1fca}\PROGRAM FILES\GIT\USR\BIN\CAT.EXE
2020-08-09 20:21:17.0079858,\VOLUME{01d668558f114fbd-188f1fca}\PROGRAM FILES\GIT\USR\BIN\CAT.EXE
2020-08-09 20:20:37.2404739,\VOLUME{01d668558f114fbd-188f1fca}\PROGRAM FILES\GIT\USR\BIN\CAT.EXE
2020-08-09 20:20:34.8341645,\VOLUME{01d668558f114fbd-188f1fca}\PROGRAM FILES\GIT\USR\BIN\CAT.EXE
2020-08-07 18:33:09.3188935,\VOLUME{01d668558f114fbd-188f1fca}\USERS\ANIT.GHOSH\APPDATA\LOCAL\PROGRAMS\GIT\USR\BIN\CHMOD.EXE
2020-08-07 18:52:05.7176802,\VOLUME{01d668558f114fbd-188f1fca}\PROGRAM FILES\GIT\USR\BIN\CHMOD.EXE
