CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
0,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\anit.ghosh\Desktop\sdelete.exe,AppCompatCache,2020-11-25 14:59:48.0000000
1,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\TEMP\94617D4E-D813-4D30-8BF0-2C5F5465FD49\dismhost.exe,AppCompatCache,2021-02-02 01:44:47.1168808
2,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\MusNotifyIcon.exe,AppCompatCache,2021-02-02 01:44:41.1358323
3,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\srtasks.exe,AppCompatCache,2021-02-02 01:45:00.1167284
4,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\winsat.exe,AppCompatCache,2021-02-02 01:44:59.3286165
5,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\WinBioPlugIns\FaceFodUninstaller.exe,AppCompatCache,2021-02-02 01:44:51.0424091
6,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\tzsync.exe,AppCompatCache,2018-09-15 05:06:32.0917643
7,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\dstokenclean.exe,AppCompatCache,2018-09-15 05:06:34.4200786
8,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\dmclient.exe,AppCompatCache,2021-02-02 01:44:25.5550619
9,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\disksnapshot.exe,AppCompatCache,2021-02-02 01:44:36.3058812
10,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\speech_onecore\common\SpeechModelDownload.exe,AppCompatCache,2021-02-02 01:44:41.8928627
11,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\wbem\WmiApSrv.exe,AppCompatCache,2018-09-15 05:06:29.2477782
12,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\MRT.exe,AppCompatCache,2021-02-10 19:59:32.8938179
13,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\Windows-KB890830-V5.86.exe,AppCompatCache,2021-02-10 19:55:23.9872925
14,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\winsxs\x86_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.17763.1750_none_faa78b13e0d8d74c\TiWorker.exe,AppCompatCache,2018-09-15 04:08:41.6205805
15,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\TEMP\A79DAB5E-C96D-487F-9855-0B61FD9D516D\dismhost.exe,AppCompatCache,2021-02-02 01:44:47.1168808
16,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.331.994.0.exe,AppCompatCache,2021-02-10 19:55:06.9850297
17,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\gpupdate.exe,AppCompatCache,2021-02-02 01:44:56.0217471
18,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\SystemSettingsBroker.exe,AppCompatCache,2021-02-02 01:44:25.2412204
19,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\TEMP\E8C170EB-12C9-48B3-8A47-01A10077ECD4\dismhost.exe,AppCompatCache,2021-02-02 01:44:47.1168808
20,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\SwReporter\88.253.200\software_reporter_tool.exe,AppCompatCache,2021-01-21 21:40:42.0000000
21,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\Java\jre1.8.0_181\bin\awt.dll,AppCompatCache,2020-08-07 18:26:25.9114382
22,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\Java\jre1.8.0_181\bin\jp2launcher.exe,AppCompatCache,2020-08-07 18:26:26.0364379
23,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\Java\jre1.8.0_181\bin\javaws.exe,AppCompatCache,2020-08-07 18:26:25.9426875
24,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\Common Files\Java\Java Update\jucheck.exe,AppCompatCache,2018-07-07 10:54:14.0000000
25,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\Java\jdk1.8.0_181\bin\jmc.exe,AppCompatCache,2020-08-07 18:25:51.1154583
26,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\Git\git-cmd.exe,AppCompatCache,2021-02-09 18:58:14.0000000
27,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\Git\usr\bin\cat.exe,AppCompatCache,2021-02-09 19:11:38.0000000
28,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\Git\usr\bin\bash.exe,AppCompatCache,2021-02-09 19:11:38.0000000
