Program,BatchKeyPath,ExecutionTime,BatchValueName
\Device\HarddiskVolume2\Windows\System32\oobe\FirstLogonAnim.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-18,2021-02-13 19:52:27.2025108,\Device\HarddiskVolume2\Windows\System32\oobe\FirstLogonAnim.exe
Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3064058907-2826536974-2889819764-1106,2021-02-14 02:33:33.3783273,Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy
Microsoft.Windows.Cortana_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3064058907-2826536974-2889819764-1106,2021-02-14 02:35:40.6093097,Microsoft.Windows.Cortana_cw5n1h2txyewy
InputApp_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3064058907-2826536974-2889819764-1106,2021-02-14 02:35:51.8639807,InputApp_cw5n1h2txyewy
Microsoft.LockApp_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3064058907-2826536974-2889819764-1106,2020-08-07 19:28:15.7400088,Microsoft.LockApp_cw5n1h2txyewy
windows.immersivecontrolpanel_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3064058907-2826536974-2889819764-1106,2021-02-14 02:37:13.1421713,windows.immersivecontrolpanel_cw5n1h2txyewy
Microsoft.AccountsControl_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3064058907-2826536974-2889819764-1106,2020-08-01 23:40:49.1077775,Microsoft.AccountsControl_cw5n1h2txyewy
Microsoft.Windows.Apprep.ChxApp_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3064058907-2826536974-2889819764-1106,2020-08-07 18:29:32.3044762,Microsoft.Windows.Apprep.ChxApp_cw5n1h2txyewy
Microsoft.Windows.SecHealthUI_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3064058907-2826536974-2889819764-1106,2020-08-07 18:34:34.3867545,Microsoft.Windows.SecHealthUI_cw5n1h2txyewy
\Device\HarddiskVolume2\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3064058907-2826536974-2889819764-1106,2021-02-14 02:32:42.3967715,\Device\HarddiskVolume2\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
\Device\HarddiskVolume2\Windows\explorer.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3064058907-2826536974-2889819764-1106,2021-02-14 02:33:32.3783268,\Device\HarddiskVolume2\Windows\explorer.exe
\Device\HarddiskVolume2\Windows\System32\ApplicationFrameHost.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3064058907-2826536974-2889819764-1106,2021-02-14 02:33:45.1624598,\Device\HarddiskVolume2\Windows\System32\ApplicationFrameHost.exe
\Device\HarddiskVolume2\Program Files\Google\Chrome\Application\chrome.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3064058907-2826536974-2889819764-1106,2021-02-14 02:36:38.7530384,\Device\HarddiskVolume2\Program Files\Google\Chrome\Application\chrome.exe
\Device\HarddiskVolume2\Windows\System32\OpenWith.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3064058907-2826536974-2889819764-1106,2021-02-14 02:15:20.3909957,\Device\HarddiskVolume2\Windows\System32\OpenWith.exe
\Device\HarddiskVolume2\Program Files\7-Zip\7zFM.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3064058907-2826536974-2889819764-1106,2021-02-14 02:24:39.8038146,\Device\HarddiskVolume2\Program Files\7-Zip\7zFM.exe
\Device\HarddiskVolume2\Program Files\Microsoft VS Code\Code.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3064058907-2826536974-2889819764-1106,2021-02-14 02:24:40.3871849,\Device\HarddiskVolume2\Program Files\Microsoft VS Code\Code.exe
\Device\HarddiskVolume2\Program Files\7-Zip\7zG.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3064058907-2826536974-2889819764-1106,2021-02-14 02:21:42.7484375,\Device\HarddiskVolume2\Program Files\7-Zip\7zG.exe
\Device\HarddiskVolume2\Windows\System32\cmd.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3064058907-2826536974-2889819764-1106,2021-02-14 02:38:14.1347138,\Device\HarddiskVolume2\Windows\System32\cmd.exe
\Device\HarddiskVolume2\Windows\System32\rundll32.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3064058907-2826536974-2889819764-1106,2021-02-14 02:37:11.2560588,\Device\HarddiskVolume2\Windows\System32\rundll32.exe
\Device\HarddiskVolume2\Users\anit.ghosh\Desktop\sdelete.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3064058907-2826536974-2889819764-1106,2021-02-14 02:38:09.7635800,\Device\HarddiskVolume2\Users\anit.ghosh\Desktop\sdelete.exe
Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3064058907-2826536974-2889819764-500,2020-08-01 22:56:33.5467834,Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy
Microsoft.Windows.Cortana_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3064058907-2826536974-2889819764-500,2020-08-01 22:56:33.5467834,Microsoft.Windows.Cortana_cw5n1h2txyewy
\Device\HarddiskVolume2\Windows\System32\cmd.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3064058907-2826536974-2889819764-500,2021-02-14 02:24:40.2153104,\Device\HarddiskVolume2\Windows\System32\cmd.exe
