FirstNetwork,BatchKeyPath,NetworkName,BatchValueName,NameType,FirstConnectLOCAL,LastConnectedLOCAL,Managed,DNSSuffix,GatewayMacAddress,ProfileGUID
Network 5,ROOT\Microsoft\Windows NT\CurrentVersion\NetworkList\Profiles\{1945880E-CA3E-4B8A-A63D-6BC3E5AAE219},Network 5,Multiple,Wired,2020-08-09 14:18:43.2980000,2020-08-09 14:18:43.2980000,False,mshome.net,00-15-5D-E6-E2-FA,{1945880E-CA3E-4B8A-A63D-6BC3E5AAE219}
Network 6,ROOT\Microsoft\Windows NT\CurrentVersion\NetworkList\Profiles\{5D521F9E-30B4-41B8-82D9-9C17D29AA15F},Network 6,Multiple,Wired,2020-08-09 16:57:32.7680000,2021-02-10 14:50:37.7160000,False,mshome.net,00-15-5D-78-68-80,{5D521F9E-30B4-41B8-82D9-9C17D29AA15F}
praivacymatrix.com,ROOT\Microsoft\Windows NT\CurrentVersion\NetworkList\Profiles\{8148D564-B67F-423F-9C2C-9CA1D61F18AE},praivacymatrix.com,Multiple,Wired,2020-08-01 16:01:57.8820000,2020-08-07 11:44:20.1620000,True,praivacymatrix.com,00-0C-29-67-10-19,{8148D564-B67F-423F-9C2C-9CA1D61F18AE}
Network 8,ROOT\Microsoft\Windows NT\CurrentVersion\NetworkList\Profiles\{A40232B8-BA7B-461E-A3CF-778FCEEC34D3},Network 8,Multiple,Wired,2021-02-13 21:31:40.5230000,2021-02-13 21:32:51.0970000,False,mshome.net,00-15-5D-52-7A-BF,{A40232B8-BA7B-461E-A3CF-778FCEEC34D3}
Network,ROOT\Microsoft\Windows NT\CurrentVersion\NetworkList\Profiles\{C8EC1450-4A10-4BF4-98BD-58D3877C4711},Network,Multiple,Wired,2020-08-01 14:48:45.3720000,2020-08-07 11:45:49.5390000,False,<none>,00-15-5D-8E-46-E9,{C8EC1450-4A10-4BF4-98BD-58D3877C4711}
praivacymatrix.com 2,ROOT\Microsoft\Windows NT\CurrentVersion\NetworkList\Profiles\{CF9C2599-1E05-4D9D-8537-5DDB95A01F55},praivacymatrix.com 2,Multiple,Wired,2020-08-01 16:46:50.6080000,2020-08-01 16:46:50.6080000,True,praivacymatrix.com,00-0C-29-67-10-19,{CF9C2599-1E05-4D9D-8537-5DDB95A01F55}
Network 2,ROOT\Microsoft\Windows NT\CurrentVersion\NetworkList\Profiles\{D4BA51F6-8576-40A9-953A-42027C41ED4F},Network 2,Multiple,Wired,2020-08-01 15:07:05.1940000,2020-08-01 15:07:05.1940000,False,<none>,76-4D-28-01-B3-DD,{D4BA51F6-8576-40A9-953A-42027C41ED4F}
Network 3,ROOT\Microsoft\Windows NT\CurrentVersion\NetworkList\Profiles\{D9CC79CD-5EAF-478D-9827-54528C48BB3D},Network 3,Multiple,Wired,2020-08-07 13:50:02.8890000,2020-08-07 13:50:02.8890000,False,mshome.net,00-15-5D-D2-F0-64,{D9CC79CD-5EAF-478D-9827-54528C48BB3D}
Network 4,ROOT\Microsoft\Windows NT\CurrentVersion\NetworkList\Profiles\{DAD032A2-E2FC-4DAE-807A-028F8EB167A1},Network 4,Multiple,Wired,2020-08-07 14:00:52.2010000,2020-08-07 14:14:18.7050000,False,mshome.net,00-15-5D-3B-3F-2B,{DAD032A2-E2FC-4DAE-807A-028F8EB167A1}
Network 7,ROOT\Microsoft\Windows NT\CurrentVersion\NetworkList\Profiles\{F4D364E9-D86E-4D21-8431-C2083D44FBBA},Network 7,Multiple,Wired,2021-02-13 21:03:56.9670000,2021-02-13 21:03:56.9670000,False,mshome.net,00-15-5D-6A-E2-A8,{F4D364E9-D86E-4D21-8431-C2083D44FBBA}
