Timestamp,BatchKeyPath,DriverDesc,BatchValueName,DriverDate,DriverVersion,ProviderName,DeviceInstanceid
2020-08-01 21:48:00.7745284,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0000,Microsoft Kernel Debug Network Adapter,Multiple,6-21-2006,10.0.17763.1,Microsoft,ROOT\KDNIC\0000
2020-08-01 21:48:00.7745284,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0001,Microsoft Hyper-V Network Adapter,Multiple,6-21-2006,10.0.17763.1577,Microsoft,VMBUS\{f8615163-df3e-46c5-913f-f2d2f965ed0e}\{a757d53a-d12e-463c-9123-5d1bcff28c34}
2021-02-13 19:57:08.5214475,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002,WAN Miniport (SSTP),Multiple,6-21-2006,10.0.17763.1,Microsoft,SWD\MSRRAS\MS_SSTPMINIPORT
2021-02-13 19:57:08.5214475,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0003,WAN Miniport (IKEv2),Multiple,6-21-2006,10.0.17763.1,Microsoft,SWD\MSRRAS\MS_AGILEVPNMINIPORT
2021-02-13 19:57:08.5214475,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0004,WAN Miniport (L2TP),Multiple,6-21-2006,10.0.17763.1,Microsoft,SWD\MSRRAS\MS_L2TPMINIPORT
2021-02-13 19:57:08.5214475,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0005,WAN Miniport (PPTP),Multiple,6-21-2006,10.0.17763.1,Microsoft,SWD\MSRRAS\MS_PPTPMINIPORT
2021-02-13 19:57:08.5214475,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0006,WAN Miniport (PPPOE),Multiple,6-21-2006,10.0.17763.1,Microsoft,SWD\MSRRAS\MS_PPPOEMINIPORT
2021-02-13 19:57:08.4120704,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0007,WAN Miniport (IP),Multiple,6-21-2006,10.0.17763.1,Microsoft,SWD\MSRRAS\MS_NDISWANIP
2021-02-13 19:57:08.4589458,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0008,WAN Miniport (IPv6),Multiple,6-21-2006,10.0.17763.1,Microsoft,SWD\MSRRAS\MS_NDISWANIPV6
2021-02-13 19:57:08.4901959,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0009,WAN Miniport (Network Monitor),Multiple,6-21-2006,10.0.17763.1,Microsoft,SWD\MSRRAS\MS_NDISWANBH
