BatchKeyPath,BatchValueName,ProgramName,RunCounter,FocusCount,FocusTime,LastExecuted
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,HRZR_PGYPHNPbhag:pgbe,UEME_CTLCUACount:ctor,0,0,"0d, 0h, 00m, 00s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{Q65231O0-O2S1-4857-N4PR-N8R7P6RN7Q27}\FavccvatGbby.rkr,{System32 x86}\SnippingTool.exe,14,21,"0d, 0h, 07m, 00s",2020-08-01 22:54:25.1882177
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,HRZR_PGYFRFFVBA,UEME_CTLSESSION,24,38,"0d, 0h, 12m, 11s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{Q65231O0-O2S1-4857-N4PR-N8R7P6RN7Q27}\zfcnvag.rkr,{System32 x86}\mspaint.exe,8,12,"0d, 0h, 04m, 00s",2020-08-01 22:54:25.1882177
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{Q65231O0-O2S1-4857-N4PR-N8R7P6RN7Q27}\abgrcnq.rkr,{System32 x86}\notepad.exe,2,3,"0d, 0h, 01m, 00s",2020-08-01 22:54:25.1882177
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Jvaqbjf.Pbegnan_pj5a1u2gklrjl!PbegnanHV,Microsoft.Windows.Cortana_cw5n1h2txyewy!CortanaUI,0,0,"0d, 0h, 00m, 02s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Jvaqbjf.FuryyRkcrevraprUbfg_pj5a1u2gklrjl!Ncc,Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy!App,0,2,"0d, 0h, 00m, 08s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,HRZR_PGYPHNPbhag:pgbe,UEME_CTLCUACount:ctor,0,0,"0d, 0h, 00m, 00s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{0139Q44R-6NSR-49S2-8690-3QNSPNR6SSO8}\Npprffbevrf\Favccvat Gbby.yax,{Common Programs}\Accessories\Snipping Tool.lnk,14,0,"0d, 0h, 00m, 00s",2020-08-01 22:54:25.1882177
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,HRZR_PGYFRFFVBA,UEME_CTLSESSION,24,0,"0d, 0h, 00m, 00s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{0139Q44R-6NSR-49S2-8690-3QNSPNR6SSO8}\Npprffbevrf\Cnvag.yax,{Common Programs}\Accessories\Paint.lnk,8,0,"0d, 0h, 00m, 00s",2020-08-01 22:54:25.1882177
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{N77S5Q77-2R2O-44P3-N6N2-NON601054N51}\Npprffbevrf\Abgrcnq.yax,{Programs}\Accessories\Notepad.lnk,2,0,"0d, 0h, 00m, 00s",2020-08-01 22:54:25.1882177
