ID,VisitTime,LastVisitedTime,URLTitle,URL,VisitCount,TypedCount,Hidden,VisitID,FromVisitID,VisitDurationInSeconds,SourceFile
4,2020-11-17 13:06:10,2021-02-13 21:34:44,/wstarnes/ — PM Continuous Integration,http://ci.pm.internal/wstarnes/,5,1,No,86,0,0,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\History
2,2020-11-17 13:06:10,2020-12-10 14:13:03,prAIvacy mAtrIx Git,http://git.pm.internal/,9,0,No,87,0,0,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\History
56,2020-11-17 13:06:10,2020-12-10 14:13:03,Why virtual team-building activities feel agonising - BBC Worklife,https://www.bbc.com/worklife/article/20201229-why-virtual-team-building-activities-feel-agonizing,2,0,No,88,0,0,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\History
66,2020-11-17 13:06:18,2020-11-17 13:06:19,java null pointer exception - Поиск в Google,https://www.google.com/search?q=java+null+pointer+exception&oq=java+null+&aqs=chrome.2.69i57j0l7.6891j0j7&sourceid=chrome&ie=UTF-8,2,0,No,89,0,0,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\History
66,2020-11-17 13:06:19,2020-11-17 13:06:19,java null pointer exception - Поиск в Google,https://www.google.com/search?q=java+null+pointer+exception&oq=java+null+&aqs=chrome.2.69i57j0l7.6891j0j7&sourceid=chrome&ie=UTF-8,2,0,No,90,0,0,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\History
67,2020-11-17 13:06:24,2020-11-17 13:06:24,"java - What is a NullPointerException, and how do I fix it? - Stack Overflow",https://stackoverflow.com/questions/218384/what-is-a-nullpointerexception-and-how-do-i-fix-it,1,0,No,91,0,0,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\History
68,2020-11-17 13:06:44,2020-11-17 13:08:05,Sign In - prAIvacy mAtrIx Git,http://git.pm.internal/user/login?redirect_to=%2f,2,0,No,92,0,0,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\History
2,2020-11-17 13:07:34,2020-12-10 14:13:03,prAIvacy mAtrIx Git,http://git.pm.internal/,9,0,No,94,93,0,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\History
69,2020-11-17 13:07:34,2021-02-13 21:10:38,git.pm.internal,http://git.pm.internal/user/login,7,0,No,93,0,0,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\History
2,2020-11-17 13:07:34,2020-12-10 14:13:03,prAIvacy mAtrIx Git,http://git.pm.internal/,9,0,No,95,0,0,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\History
70,2020-11-17 13:07:52,2020-11-17 13:07:57,Pull Requests - prAIvacy mAtrIx Git,http://git.pm.internal/pulls,2,0,No,96,0,0,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\History
2,2020-11-17 13:07:54,2020-12-10 14:13:03,prAIvacy mAtrIx Git,http://git.pm.internal/,9,0,No,97,0,0,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\History
2,2020-11-17 13:07:54,2020-12-10 14:13:03,prAIvacy mAtrIx Git,http://git.pm.internal/,9,0,No,98,0,0,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\History
71,2020-11-17 13:07:55,2020-11-17 13:07:55,Issues - prAIvacy mAtrIx Git,http://git.pm.internal/issues,1,0,No,99,0,0,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\History
70,2020-11-17 13:07:57,2020-11-17 13:07:57,Pull Requests - prAIvacy mAtrIx Git,http://git.pm.internal/pulls,2,0,No,100,0,0,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\History
2,2020-11-17 13:08:01,2020-12-10 14:13:03,prAIvacy mAtrIx Git,http://git.pm.internal/,9,0,No,101,100,0,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\History
