LastAccessTime,TextTyped,FillIntoEdit,URL,Contents,Description,Type,Keyword,TimesSelectedByUser,ID,SourceFile
2020-08-09 19:02:23,http;//git.pm.internal,git.pm.internal/,http://git.pm.internal/,git.pm.internal,,1,,1,82f4314a-ffc3-4d00-b3b2-e5aaa0a73743,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2020-09-08 14:16:07,git,git.pm.internal/,http://git.pm.internal/,git.pm.internal,prAIvacy mAtrIx Git,1,,1,cf8b9faf-d85d-4be1-ba93-49f54aa9adaf,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2020-11-17 13:06:18,"java null ",java null pointer exception,https://www.google.com/search?q=java+null+pointer+exception&oq=java+null+&aqs=chrome.2.69i57j0l7.6891j0j7&sourceid=chrome&ie=UTF-8,java null pointer exception,,7,google.com,1,98f67626-d7bc-4ebc-8bdc-eed2e6b829f2,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2020-11-17 13:09:10,imdb,imdb,https://www.google.com/search?q=imdb&oq=imdb&aqs=chrome..69i57j0i433l2j0l4j5.1655j0j7&sourceid=chrome&ie=UTF-8,imdb,Google Search,7,google.com,2,9cd2f91e-9bb0-4f5d-9fb3-76a7ab8d3a7d,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2020-12-10 14:14:39,https://www.bbc.com,https://www.bbc.com,https://www.bbc.com/,https://www.bbc.com,BBC - Homepage,1,,1,d51cc57a-2de5-4518-b5f8-b5dc10f5fadc,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2021-02-10 14:54:18,linux loop until time,linux loop until time,https://www.google.com/search?q=linux+loop+until+time&oq=linux+loop+until+time&aqs=chrome..69i57j0i22i30l6.6152j0j7&sourceid=chrome&ie=UTF-8,linux loop until time,Google Search,7,google.com,1,7719a81d-e9f5-4668-a19f-fa8afc734553,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2021-02-10 14:54:38,linux send mail fro,linux send mail from command line,https://www.google.com/search?q=linux+send+mail+from+command+line&oq=linux+send+mail+fro&aqs=chrome.3.69i57j0l7.8387j0j7&sourceid=chrome&ie=UTF-8,linux send mail from command line,,7,google.com,1,cae89ed4-fd35-4119-a2ea-2c13a568874e,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2021-02-10 14:55:11,https://protonmail.com,https://protonmail.com,https://protonmail.com/,https://protonmail.com,,1,,1,ae95ac73-26c1-46ba-b98c-1e6dd43e6363,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2021-02-13 21:10:38,http://git.pm.internal/GBringley/xraicommend/archive/761263a55b8cfed4bcb8f87cbbb68beaf2ec2423.tar.gz,http://git.pm.internal/GBringley/xraicommend/archive/761263a55b8cfed4bcb8f87cbbb68beaf2ec2423.tar.gz,http://git.pm.internal/GBringley/xraicommend/archive/761263a55b8cfed4bcb8f87cbbb68beaf2ec2423.tar.gz,http://git.pm.internal/GBringley/xraicommend/archive/761263a55b8cfed4bcb8f87cbbb68beaf2ec2423.tar.gz,,1,,1,61d97b27-4542-47f9-8362-1fafe0977b91,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2021-02-13 21:12:42,7z pack with pass,7z pack with password,https://www.google.com/search?q=7z+pack+with+password&oq=&sourceid=chrome&ie=UTF-8,7z pack with password,,7,google.com,1,e2334418-0280-41f3-b9cc-a90a8e7b641d,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2021-02-13 21:12:59,anonymous file upload,anonymous file upload,https://www.google.com/search?q=anonymous+file+upload&oq=anonymous+file+upload&aqs=chrome..69i57j0i22i30l9.9613j1j7&sourceid=chrome&ie=UTF-8,anonymous file upload,Google Search,7,google.com,1,ae8c61e8-7382-4098-afba-1c0fee60092b,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2021-02-13 21:13:36,anonfiles.com,anonfiles.com,http://anonfiles.com/,anonfiles.com,,1,,1,da5d2bbf-cd43-453c-8ad9-5dca950a238a,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2021-02-13 21:22:06,windows secure file de,windows secure file delete,https://www.google.com/search?q=windows+secure+file+delete&oq=windows+secure+file+de&aqs=chrome.0.0i19j69i57j0i19i22i30l2.173735j0j7&sourceid=chrome&ie=UTF-8,windows secure file delete,Google Search,7,google.com,1,1f7f4c7a-441c-4de6-baf1-53ac2c34a380,C:\Users\CFUser\OneDrive - Kroll\Training\BelkasoftCTFImages\BelkaDay_SUSPECT_LAPTOP\tout\F\Users\anit.ghosh\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
